sat,tothrs,colgpa,athlete,verbmath,hsize,hsrank,hsperc,female,white,black,hsizesq
1150,100,2.8399999141693115,0,0.7968800067901611,5.95,301,50.588233947753906,1,1,0,35.40250015258789
1040,112,2.930000066757202,0,0.9622600078582764,0.91,30,32.96703338623047,0,1,0,0.8281000256538391
970,17,2.2899999618530273,0,0.7962999939918518,4.36,41,9.403669357299805,1,1,0,19.009599685668945
1200,39,2.380000114440918,0,0.9047600030899048,8.12,209,25.738916397094727,1,1,0,65.93440246582031
1090,118,3.9200000762939453,0,0.7580599784851074,0.6,2,3.3333332538604736,1,1,0,0.36000001430511475
1340,46,2.2300000190734863,0,0.8356199860572815,3.76,130,34.574466705322266,0,1,0,14.13759994506836
740,12,1.3300000429153442,0,1.3125,5.32,390,73.30827331542969,1,1,0,28.302400588989258
880,85,2.809999942779541,0,0.7599999904632568,3.8,71,18.6842098236084,0,1,0,14.4399995803833
820,42,2.0899999141693115,1,0.9069799780845642,2.28,155,67.98245239257812,0,1,0,5.198400020599365
1060,43,2.25,0,0.8596500158309937,5.51,248,45.00907516479492,0,1,0,30.36009979248047
730,50,1.899999976158142,1,0.780489981174469,4.82,273,56.63900375366211,0,0,1,23.23240089416504
820,16,3.0,0,0.8636400103569031,3.9,102,26.153846740722656,1,1,0,15.210000038146973
780,71,2.4000000953674316,1,0.6956499814987183,0.78,17,21.794872283935547,0,1,0,0.6083999872207642
1040,78,2.1600000858306885,0,1.0392199754714966,4.92,92,18.699186325073242,0,1,0,24.20639991760254
870,13,2.069999933242798,0,1.1749999523162842,1.86,86,46.2365608215332,1,1,0,3.4595999717712402
940,19,2.2100000381469727,0,1.292680025100708,1.85,41,22.16216278076172,0,1,0,3.422499895095825
980,47,2.0,1,0.9215700030326843,1.52,45,29.605262756347656,0,0,1,2.3104000091552734
1020,103,2.9100000858306885,0,0.9615399837493896,0.1,2,20.0,1,1,0,0.009999999776482582
1180,105,3.0,1,0.8730199933052063,6.37,255,40.03139877319336,0,1,0,40.576900482177734
1100,72,2.7200000286102295,0,1.115380048751831,0.12,2,16.66666603088379,0,1,0,0.014399999752640724
1030,18,3.549999952316284,0,1.1020400524139404,2.52,27,10.714285850524902,0,1,0,6.350399971008301
960,16,3.25,0,1.042549967765808,0.1,5,50.0,1,1,0,0.009999999776482582
910,15,2.859999895095825,0,1.4594600200653076,1.27,28,22.047245025634766,0,1,0,1.6129000186920166
1060,42,2.0399999618530273,0,0.9629600048065186,0.13,1,7.692307472229004,0,1,0,0.016899999231100082
880,14,1.9199999570846558,0,1.3783799409866333,0.03,1,33.33333206176758,1,1,0,0.0008999999845400453
1010,17,3.5799999237060547,0,0.9423099756240845,0.28,2,7.142857074737549,1,1,0,0.07840000092983246
700,38,2.390000104904175,1,1.0,0.32,22,68.75,0,1,0,0.10239999741315842
930,15,3.4600000381469727,0,0.8600000143051147,3.72,67,18.010753631591797,1,1,0,13.838399887084961
900,18,3.1600000858306885,0,0.9148899912834167,2.54,69,27.165353775024414,0,1,0,6.451600074768066
1090,29,1.0299999713897705,0,0.9122800230979919,2.02,121,59.9009895324707,0,1,0,4.080399990081787
1120,79,3.0,0,1.2400000095367432,4.7,78,16.595745086669922,1,0,0,22.09000015258789
960,15,2.3299999237060547,1,0.7777799963951111,4.47,320,71.58836364746094,0,0,1,19.980899810791016
890,37,2.450000047683716,1,0.7799999713897705,1.24,50,40.32258224487305,0,1,0,1.537600040435791
1240,47,3.6500000953674316,0,0.7971000075340271,5.37,31,5.7728118896484375,0,1,0,28.83690071105957
1090,113,3.609999895095825,0,0.8474599719047546,3.64,50,13.736263275146484,1,1,0,13.249600410461426
820,47,3.25,0,1.102560043334961,6.34,68,10.72555160522461,1,1,0,40.19559860229492
940,16,3.809999942779541,0,0.773580014705658,3.42,53,15.497076034545898,0,1,0,11.696399688720703
820,40,2.25,1,1.102560043334961,5.71,344,60.245182037353516,0,0,0,32.60409927368164
970,39,2.4100000858306885,1,0.6724100112915039,5.66,83,14.664311408996582,0,1,0,32.03559875488281
790,17,2.819999933242798,1,1.078950047492981,5.97,72,12.060301780700684,0,1,0,35.640899658203125
1080,13,2.299999952316284,0,1.117650032043457,0.1,7,70.0,1,1,0,0.009999999776482582
850,48,3.2699999809265137,0,0.8085100054740906,3.1,54,17.419355392456055,1,1,0,9.609999656677246
850,15,2.6600000858306885,1,0.8085100054740906,0.73,5,6.849315166473389,1,1,0,0.5328999757766724
820,95,2.259999990463257,1,0.708329975605011,1.31,98,74.80915832519531,0,1,0,1.7160999774932861
1120,12,2.3299999237060547,1,0.6716399788856506,4.88,20,4.098360538482666,0,1,0,23.81439971923828
880,43,2.369999885559082,1,1.0952399969100952,4.07,70,17.199016571044922,1,1,0,16.564899444580078
1540,85,4.0,0,0.9743599891662598,2.3,1,0.43478259444236755,0,1,0,5.289999961853027
780,86,3.809999942779541,0,1.0,3.47,38,10.951008796691895,0,1,0,12.040900230407715
1280,55,3.869999885559082,0,1.031749963760376,2.03,3,1.477832555770874,1,1,0,4.1209001541137695
1260,13,4.0,0,0.75,2.17,5,2.304147481918335,1,1,0,4.708899974822998
830,83,1.9500000476837158,1,0.8444399833679199,2.0,84,42.0,0,0,1,4.0
980,16,2.430000066757202,0,0.6896600127220154,0.92,28,30.434782028198242,0,1,0,0.8464000225067139
500,14,1.2100000381469727,1,1.2727299928665161,4.57,329,71.99124908447266,0,1,0,20.884899139404297
1040,15,3.0,0,0.9622600078582764,3.61,31,8.587257385253906,0,1,0,13.032099723815918
930,12,1.75,0,0.8235300183296204,3.25,26,8.0,1,0,0,10.5625
570,79,1.7300000190734863,1,0.9655200242996216,3.24,187,57.71604919433594,0,0,1,10.497599601745605
820,13,1.840000033378601,0,0.8222200274467468,3.03,147,48.51485061645508,1,1,0,9.180899620056152
1310,16,2.25,0,0.9552199840545654,4.67,122,26.124197006225586,0,1,0,21.808900833129883
770,15,2.130000114440918,0,0.7907000184059143,1.0,30,30.0,1,0,0,1.0
1180,18,3.7699999809265137,0,0.8730199933052063,4.8,48,10.0,0,1,0,23.040000915527344
1310,53,3.2200000286102295,0,0.9264699816703796,3.2,30,9.375,0,1,0,10.239999771118164
1150,63,2.1700000762939453,0,1.1296299695968628,3.02,64,21.192052841186523,0,1,0,9.120400428771973
1130,113,2.7699999809265137,0,0.9152500033378601,1.66,33,19.879518508911133,0,0,0,2.7555999755859375
1110,122,3.359999895095825,0,1.0943399667739868,2.04,9,4.411764621734619,1,1,0,4.161600112915039
1210,16,3.619999885559082,0,1.0166699886322021,2.93,14,4.7781572341918945,0,1,0,8.58489990234375
1090,20,3.700000047683716,0,1.0185199975967407,1.87,6,3.2085561752319336,1,1,0,3.4969000816345215
1040,54,2.0,0,0.8245599865913391,3.55,82,23.098590850830078,1,1,0,12.602499961853027
1340,81,3.690000057220459,0,1.0303000211715698,1.11,15,13.513513565063477,1,1,0,1.232100009918213
900,76,1.75,0,0.9148899912834167,0.86,16,18.604650497436523,0,1,0,0.7396000027656555
650,52,2.190000057220459,1,0.8055599927902222,2.06,57,27.669902801513672,0,1,0,4.243599891662598
1190,77,3.4000000953674316,0,0.6760600209236145,4.24,26,6.132075309753418,1,1,0,17.97760009765625
990,16,1.4299999475479126,0,0.736840009689331,2.51,39,15.537848472595215,1,1,0,6.300099849700928
1160,50,2.7799999713897705,0,0.7313399910926819,3.72,79,21.23655891418457,1,1,0,13.838399887084961
1140,71,2.609999895095825,1,0.583329975605011,2.41,24,9.95850658416748,0,1,0,5.80810022354126
1180,87,3.0899999141693115,1,1.185189962387085,4.69,36,7.675906181335449,0,1,0,21.9960994720459
1120,49,2.8299999237060547,0,0.8360700011253357,0.1,1,10.0,1,1,0,0.009999999776482582
1010,15,1.9299999475479126,0,0.7719299793243408,3.19,157,49.21630096435547,1,1,0,10.17609977722168
1160,113,2.880000114440918,0,0.9660999774932861,4.02,15,3.7313432693481445,0,1,0,16.160400390625
1200,16,3.309999942779541,0,1.1052600145339966,4.32,209,48.37963104248047,1,1,0,18.662399291992188
720,16,1.9299999475479126,1,0.9459499716758728,4.3,230,53.488372802734375,1,0,0,18.489999771118164
1190,36,2.4100000858306885,0,0.9193500280380249,2.61,97,37.16474914550781,0,1,0,6.812099933624268
970,14,2.9200000762939453,0,0.7636399865150452,3.41,116,34.01759719848633,1,1,0,11.628100395202637
1210,17,3.5199999809265137,0,0.9516100287437439,5.11,1,0.1956947147846222,1,1,0,26.11210060119629
930,49,2.930000066757202,0,0.7222200036048889,2.0,65,32.5,0,1,0,4.0
1000,74,2.2799999713897705,0,0.8518499732017517,2.36,75,31.779661178588867,0,1,0,5.5696001052856445
970,42,1.9500000476837158,0,0.7636399865150452,4.33,130,30.023094177246094,0,1,0,18.748899459838867
960,45,3.0199999809265137,1,0.8823500275611877,0.1,3,30.0,1,1,0,0.009999999776482582
980,47,3.25,0,1.2790700197219849,0.1,4,40.0,0,1,0,0.009999999776482582
960,118,3.319999933242798,0,0.9200000166893005,2.26,96,42.477874755859375,0,1,0,5.107600212097168
970,79,2.0299999713897705,1,0.7321400046348572,0.1,3,30.0,0,1,0,0.009999999776482582
960,79,2.3399999141693115,0,1.0,0.74,7,9.45945930480957,1,1,0,0.5475999712944031
1160,96,3.4100000858306885,0,0.9333299994468689,2.12,19,8.962264060974121,0,1,0,4.4944000244140625
1080,80,2.559999942779541,0,0.6875,2.12,100,47.1698112487793,0,1,0,4.4944000244140625
990,14,4.0,0,0.800000011920929,3.05,3,0.9836065769195557,1,1,0,9.302499771118164
1130,18,1.3300000429153442,0,0.7936499714851379,2.35,91,38.72340393066406,1,1,0,5.522500038146973
1060,12,2.25,0,0.8596500158309937,2.35,66,28.085105895996094,0,1,0,5.522500038146973
1060,15,2.5999999046325684,0,0.8928599953651428,2.35,44,18.723403930664062,1,1,0,5.522500038146973
1120,73,2.630000114440918,0,0.7777799963951111,2.95,15,5.08474588394165,0,1,0,8.702500343322754
1030,17,2.5799999237060547,0,0.6349200010299683,2.78,59,21.2230224609375,0,1,0,7.728400230407715
1070,48,3.0399999618530273,0,0.7833300232887268,3.15,99,31.428571701049805,0,1,0,9.922499656677246
910,13,2.759999990463257,0,0.75,3.72,85,22.849462509155273,0,1,0,13.838399887084961
1100,108,1.9500000476837158,0,1.0,3.73,188,50.40214538574219,0,1,0,13.9128999710083
1000,106,2.9200000762939453,0,0.7857099771499634,3.73,127,34.048255920410156,0,1,0,13.9128999710083
1000,17,3.4100000858306885,0,0.7543900012969971,3.71,99,26.68463706970215,0,1,0,13.764100074768066
970,46,2.7300000190734863,0,0.6724100112915039,4.1,113,27.560976028442383,1,1,0,16.809999465942383
1070,35,2.5399999618530273,0,0.5507199764251709,6.0,62,10.333333015441895,0,1,0,36.0
950,15,3.059999942779541,0,0.666670024394989,2.85,24,8.421052932739258,0,1,0,8.1225004196167
1140,16,1.9299999475479126,0,0.8688499927520752,2.17,34,15.66820240020752,1,1,0,4.708899974822998
1060,17,3.2300000190734863,0,0.8928599953651428,1.56,27,17.30769157409668,0,1,0,2.4335999488830566
940,50,2.5399999618530273,1,0.709089994430542,2.51,45,17.928287506103516,0,1,0,6.300099849700928
960,48,2.2200000286102295,0,0.7142900228500366,1.0,39,39.0,0,1,0,1.0
890,104,1.9900000095367432,0,0.9347800016403198,2.1,38,18.095237731933594,0,1,0,4.409999847412109
1120,41,1.75,0,0.8983100056648254,3.28,152,46.34146499633789,1,1,0,10.758399963378906
1150,14,3.140000104904175,0,0.8253999948501587,0.1,4,40.0,0,1,0,0.009999999776482582
1270,107,3.240000009536743,0,0.7887300252914429,0.1,4,40.0,0,1,0,0.009999999776482582
1100,18,2.0,0,0.833329975605011,0.1,4,40.0,1,1,0,0.009999999776482582
1150,14,2.5,0,0.949150025844574,0.1,5,50.0,0,1,0,0.009999999776482582
1090,15,1.600000023841858,0,0.9122800230979919,1.5,79,52.66666793823242,0,1,0,2.25
1220,110,3.049999952316284,0,0.8484799861907959,0.1,5,50.0,1,1,0,0.009999999776482582
1070,102,2.4100000858306885,0,0.7541000247001648,0.1,5,50.0,0,1,0,0.009999999776482582
1030,15,2.7300000190734863,0,1.019610047340393,1.36,4,2.941176414489746,1,1,0,1.8495999574661255
980,49,2.930000066757202,0,0.6333299875259399,3.2,17,5.3125,0,1,0,10.239999771118164
930,44,2.5,0,0.8235300183296204,2.71,40,14.760148048400879,1,1,0,7.344099998474121
1030,43,2.690000057220459,0,0.9807699918746948,3.08,62,20.12986946105957,1,1,0,9.48639965057373
1100,71,2.609999895095825,1,0.8032799959182739,3.06,99,32.35293960571289,0,1,0,9.36359977722168
1100,18,2.940000057220459,0,0.9298200011253357,3.1,28,9.032258033752441,0,1,0,9.609999656677246
1070,50,3.440000057220459,0,0.9107099771499634,1.78,10,5.617977619171143,0,1,0,3.1684000492095947
980,16,3.119999885559082,0,0.75,2.27,21,9.25110149383545,0,1,0,5.152900218963623
1000,50,3.4600000381469727,0,1.1276600360870361,1.78,23,12.921348571777344,1,1,0,3.1684000492095947
1190,17,3.640000104904175,0,1.016950011253357,1.78,40,22.47191047668457,1,1,0,3.1684000492095947
1060,35,2.569999933242798,0,0.65625,2.61,76,29.1187744140625,0,0,0,6.812099933624268
1240,16,3.430000066757202,0,0.8507500290870667,2.94,41,13.945578575134277,1,1,0,8.643600463867188
950,115,2.240000009536743,0,0.8627499938011169,2.12,70,33.01886749267578,1,1,0,4.4944000244140625
1300,42,2.7799999713897705,0,0.666670024394989,2.61,142,54.406131744384766,0,1,0,6.812099933624268
860,92,2.130000114440918,1,0.4576300084590912,2.74,110,40.1459846496582,0,1,0,7.507599830627441
1010,94,2.690000057220459,0,0.741379976272583,2.56,74,28.90625,0,1,0,6.553599834442139
1180,117,3.2899999618530273,0,0.7611899971961975,2.56,94,36.71875,1,1,0,6.553599834442139
1040,69,2.309999942779541,0,1.0,0.1,4,40.0,1,1,0,0.009999999776482582
1010,16,2.309999942779541,0,0.741379976272583,1.95,36,18.461538314819336,1,1,0,3.802500009536743
1000,17,1.8799999952316284,0,0.8518499732017517,1.96,35,17.85714340209961,0,1,0,3.841599941253662
1030,17,2.4700000286102295,0,0.7457600235939026,0.1,3,30.0,0,1,0,0.009999999776482582
1100,18,2.6600000858306885,0,0.9298200011253357,2.36,22,9.322033882141113,0,1,0,5.5696001052856445
1240,92,2.7699999809265137,0,0.7714300155639648,0.58,16,27.586206436157227,0,1,0,0.33640000224113464
1110,45,3.7699999809265137,1,0.9137899875640869,0.48,20,41.66666793823242,1,1,0,0.2303999960422516
1070,14,1.0,0,0.8771899938583374,1.86,87,46.774192810058594,0,1,0,3.4595999717712402
1040,47,2.0199999809265137,0,0.8909100294113159,1.95,60,30.769229888916016,0,1,0,3.802500009536743
1290,93,3.430000066757202,0,1.080649971961975,2.31,1,0.43290042877197266,1,1,0,5.336100101470947
1010,78,2.690000057220459,0,0.836359977722168,2.31,36,15.584415435791016,0,1,0,5.336100101470947
1080,50,3.700000047683716,0,0.7419400215148926,0.51,8,15.686274528503418,0,1,0,0.26010000705718994
1120,41,3.680000066757202,0,0.6231899857521057,3.44,8,2.3255813121795654,1,1,0,11.833600044250488
1210,49,1.9700000286102295,0,0.7536200284957886,3.44,120,34.88372039794922,0,1,0,11.833600044250488
990,16,2.930000066757202,0,0.9800000190734863,4.01,94,23.441396713256836,1,1,0,16.08009910583496
1130,13,2.2300000190734863,0,0.7384600043296814,1.1,64,58.181819915771484,0,1,0,1.2100000381469727
840,16,2.119999885559082,1,0.7872300148010254,0.48,32,66.66666412353516,1,1,0,0.2303999960422516
1050,45,3.6600000858306885,0,0.875,5.5,39,7.090909004211426,1,1,0,30.25
1050,15,1.7999999523162842,1,0.75,6.2,266,42.90322494506836,0,1,0,38.439998626708984
1000,50,2.4800000190734863,0,0.8867899775505066,5.5,117,21.272727966308594,1,1,0,30.25
1020,81,2.9700000286102295,0,1.3720899820327759,4.63,28,6.047516345977783,1,1,0,21.436899185180664
960,48,1.7000000476837158,0,0.6842100024223328,5.5,163,29.636363983154297,1,0,0,30.25
890,75,1.9800000190734863,1,1.225000023841858,7.68,451,58.72395706176758,1,1,0,58.982398986816406
1320,16,4.0,0,0.7599999904632568,8.54,3,0.3512880504131317,0,1,0,72.93160247802734
1140,32,3.369999885559082,0,0.8688499927520752,1.61,4,2.4844720363616943,1,1,0,2.592099905014038
1000,106,1.840000033378601,0,0.7241399884223938,1.52,41,26.973684310913086,0,1,0,2.3104000091552734
1040,40,2.1500000953674316,0,0.7627099752426147,1.61,89,55.279502868652344,0,1,0,2.592099905014038
850,11,1.809999942779541,1,1.0238100290298462,1.79,153,85.47486114501953,0,1,0,3.2040998935699463
1050,116,3.559999942779541,0,0.8421099781990051,6.0,21,3.5,1,1,0,36.0
1140,14,2.069999933242798,0,0.8688499927520752,2.7,16,5.9259257316589355,0,1,0,7.289999961853027
1120,73,2.2300000190734863,0,0.9649099707603455,4.63,42,9.071274757385254,1,1,0,21.436899185180664
1060,126,3.109999895095825,0,0.9272699952125549,1.52,21,13.815789222717285,1,1,0,2.3104000091552734
1090,18,2.7200000286102295,0,0.9122800230979919,6.61,159,24.054462432861328,0,1,0,43.692100524902344
1080,70,2.109999895095825,0,1.25,0.4,21,52.5,0,1,0,0.1599999964237213
1070,48,2.75,0,0.9454500079154968,5.12,70,13.671875,1,1,0,26.214399337768555
1130,18,3.1600000858306885,0,1.054550051689148,5.84,100,17.123287200927734,0,1,0,34.10559844970703
1410,49,3.690000057220459,0,0.9054099917411804,3.61,19,5.263157844543457,0,1,0,13.032099723815918
1000,11,2.450000047683716,0,1.1276600360870361,3.93,73,18.575063705444336,0,1,0,15.444899559020996
1130,44,3.7200000286102295,0,1.0178600549697876,3.61,28,7.756232738494873,0,1,0,13.032099723815918
1130,42,2.0199999809265137,0,0.8524600267410278,3.61,60,16.620498657226562,1,1,0,13.032099723815918
1120,58,3.130000114440918,0,0.9649099707603455,3.53,29,8.21529769897461,1,1,0,12.46090030670166
1180,17,2.759999990463257,0,0.7611899971961975,2.75,4,1.454545497894287,0,1,0,7.5625
1020,78,2.869999885559082,0,1.2173899412155151,5.8,22,3.7931034564971924,1,1,0,33.63999938964844
810,16,2.430000066757202,0,0.9285699725151062,6.47,69,10.664606094360352,1,1,0,41.86090087890625
940,15,3.059999942779541,0,0.8431400060653687,2.34,14,5.982905864715576,1,1,0,5.475599765777588
880,16,2.75,0,0.833329975605011,3.21,51,15.887850761413574,1,1,0,10.304100036621094
910,52,2.4600000381469727,1,0.895829975605011,3.86,190,49.22279739379883,0,0,1,14.8996000289917
1490,106,4.0,0,0.9866700172424316,4.0,1,0.25,1,1,0,16.0
1040,54,3.009999990463257,0,0.7627099752426147,4.35,35,8.045976638793945,0,1,0,18.922500610351562
1220,55,3.299999952316284,0,0.7428600192070007,4.35,93,21.379310607910156,0,1,0,18.922500610351562
1140,47,3.4200000762939453,0,0.7272700071334839,1.59,4,2.51572322845459,1,1,0,2.52810001373291
1170,16,3.430000066757202,0,0.800000011920929,5.61,89,15.864527702331543,0,1,0,31.47209930419922
910,15,0.6000000238418579,1,0.8199999928474426,5.63,328,58.25932693481445,0,1,0,31.6968994140625
1290,45,3.7100000381469727,0,0.791670024394989,5.21,19,3.6468329429626465,0,1,0,27.144100189208984
1340,78,3.380000114440918,0,0.7866700291633606,4.99,4,0.8016031980514526,0,1,0,24.900100708007812
1110,127,2.619999885559082,0,0.656719982624054,3.44,99,28.779069900512695,0,1,0,11.833600044250488
1040,81,3.490000009536743,0,0.9259300231933594,3.2,20,6.25,0,1,0,10.239999771118164
1070,13,2.5299999713897705,0,0.6718800067901611,0.37,11,29.7297306060791,0,1,0,0.13689999282360077
1200,18,3.7699999809265137,0,1.0,3.25,7,2.153846263885498,0,1,0,10.5625
950,90,2.6500000953674316,0,0.9387800097465515,3.4,46,13.529411315917969,0,1,0,11.5600004196167
1110,46,2.6700000762939453,1,0.7903199791908264,0.04,2,50.0,1,1,0,0.0015999999595806003
970,40,2.3499999046325684,0,0.901960015296936,4.54,140,30.837003707885742,0,1,0,20.611600875854492
1090,83,2.6700000762939453,0,0.8474599719047546,3.64,33,9.065934181213379,1,1,0,13.249600410461426
960,35,2.049999952316284,0,0.8823500275611877,3.71,110,29.649595260620117,1,1,0,13.764100074768066
980,41,2.309999942779541,0,0.8490599989891052,0.1,6,60.0,1,1,0,0.009999999776482582
1070,14,2.9200000762939453,0,0.8771899938583374,3.62,61,16.850828170776367,0,1,0,13.104399681091309
1040,17,2.940000057220459,0,0.8245599865913391,1.27,7,5.511811256408691,0,1,0,1.6129000186920166
1170,73,3.2799999713897705,1,0.7462700009346008,4.7,127,27.021276473999023,0,1,0,22.09000015258789
1010,18,2.7200000286102295,0,0.9056599736213684,4.67,116,24.839401245117188,0,1,0,21.808900833129883
1110,15,2.930000066757202,0,1.0943399667739868,3.96,46,11.616161346435547,1,1,0,15.681599617004395
890,15,2.200000047683716,0,0.9777799844741821,3.96,100,25.252525329589844,1,1,0,15.681599617004395
950,97,2.4200000762939453,0,0.8999999761581421,6.5,75,11.538461685180664,0,1,0,42.25
780,14,2.8499999046325684,1,0.9024400115013123,6.54,81,12.385320663452148,1,0,0,42.77159881591797
1230,97,2.1600000858306885,0,1.0163899660110474,3.39,13,3.834808349609375,1,1,0,11.49209976196289
1160,18,3.549999952316284,0,0.9333299994468689,1.94,4,2.0618555545806885,1,1,0,3.7636001110076904
1020,41,2.4600000381469727,0,1.125,2.52,56,22.22222137451172,1,1,0,6.350399971008301
1200,84,2.259999990463257,0,0.935479998588562,0.1,3,30.0,0,1,0,0.009999999776482582
1230,46,3.4700000286102295,0,0.7571399807929993,2.68,6,2.2388060092926025,0,1,0,7.182400226593018
1110,129,2.200000047683716,0,1.0943399667739868,0.1,4,40.0,1,1,0,0.009999999776482582
1250,38,2.3399999141693115,0,0.9230800271034241,1.15,11,9.565217018127441,0,1,0,1.3224999904632568
980,32,2.180000066757202,0,0.7818199992179871,1.15,55,47.826087951660156,0,1,0,1.3224999904632568
1100,80,3.0999999046325684,0,0.7460299730300903,0.94,44,46.808509826660156,0,1,0,0.8835999965667725
880,38,2.0,0,0.6923099756240845,2.54,116,45.66929244995117,0,1,0,6.451600074768066
1050,57,2.940000057220459,0,0.666670024394989,3.16,8,2.5316455364227295,0,1,0,9.985600471496582
910,117,3.0299999713897705,0,0.784309983253479,5.0,122,24.399999618530273,1,1,0,25.0
1140,46,3.319999933242798,0,0.9655200242996216,5.94,47,7.9124579429626465,1,1,0,35.283599853515625
990,83,3.140000104904175,0,1.25,5.66,8,1.4134275913238525,0,1,0,32.03559875488281
1130,42,2.759999990463257,0,0.7384600043296814,5.94,209,35.185184478759766,0,1,0,35.283599853515625
1010,17,1.2899999618530273,0,1.1041699647903442,6.8,252,37.05882263183594,1,1,0,46.2400016784668
1030,108,3.109999895095825,0,0.9074100255966187,5.44,52,9.558823585510254,1,1,0,29.593599319458008
1070,50,2.119999885559082,0,0.9454500079154968,4.6,8,1.7391303777694702,1,1,0,21.15999984741211
900,29,2.7200000286102295,0,0.7307699918746948,3.11,17,5.466238021850586,1,1,0,9.672100067138672
1030,125,2.819999933242798,0,0.9807699918746948,4.49,33,7.349666118621826,0,1,0,20.16010093688965
940,45,3.109999895095825,0,1.1363600492477417,2.12,7,3.301886796951294,1,1,0,4.4944000244140625
1020,13,2.4600000381469727,0,0.6721299886703491,4.4,61,13.863636016845703,0,1,0,19.360000610351562
980,76,3.009999990463257,0,0.75,2.13,10,4.694835662841797,1,1,0,4.536900043487549
1060,16,3.180000066757202,0,0.9629600048065186,3.93,47,11.959287643432617,0,1,0,15.444899559020996
1160,80,3.5,0,0.7058799862861633,4.03,20,4.9627790451049805,0,1,0,16.24090003967285
1210,17,2.700000047683716,0,0.8906300067901611,4.35,25,5.747126579284668,0,1,0,18.922500610351562
1050,43,2.759999990463257,0,1.1875,2.5,32,12.800000190734863,1,1,0,6.25
1160,17,2.880000114440918,0,0.8412700295448303,4.94,94,19.028339385986328,0,1,0,24.403600692749023
850,83,3.609999895095825,0,0.8478299975395203,1.73,26,15.028902053833008,1,1,0,2.9928998947143555
950,46,2.7100000381469727,0,1.111109972000122,0.61,16,26.229507446289062,1,1,0,0.37209999561309814
940,16,2.430000066757202,0,0.8076900243759155,4.28,47,10.981307983398438,1,1,0,18.31839942932129
1040,81,3.200000047683716,0,1.0392199754714966,4.01,42,10.47381591796875,1,1,0,16.08009910583496
1090,114,3.0199999809265137,0,0.8474599719047546,3.94,24,6.091370582580566,0,1,0,15.523599624633789
1210,52,4.0,0,0.8059700131416321,4.48,6,1.3392857313156128,0,1,0,20.07040023803711
1100,50,3.200000047683716,0,1.075469970703125,1.24,1,0.8064516186714172,1,1,0,1.537600040435791
1180,81,1.8200000524520874,1,0.8730199933052063,3.21,167,52.02492141723633,0,1,0,10.304100036621094
750,41,1.409999966621399,0,0.7857099771499634,6.15,76,12.357723236083984,0,0,0,37.8224983215332
1280,80,3.759999990463257,0,0.7066699862480164,6.86,44,6.413994312286377,0,1,0,47.059600830078125
940,16,2.619999885559082,0,1.350000023841858,0.1,6,60.0,0,1,0,0.009999999776482582
1010,15,1.9299999475479126,0,0.6833299994468689,0.79,12,15.189873695373535,1,1,0,0.6241000294685364
