district,year,crime,clrprc1,clrprc2,d78,avgclr,lcrime,clcrime,cavgclr,cclrprc1,cclrprc2
34,72,31.459999084472656,28,34,0,31.0,3.448716878890991,,,,
34,78,34.790000915527344,21,24,1,22.5,3.549329996109009,0.10061311721801758,-8.5,-7,-10
35,72,1.649999976158142,67,62,0,64.5,0.5007752776145935,,,,
35,78,6.409999847412109,25,27,1,26.0,1.8578592538833618,1.357084035873413,-38.5,-42,-35
36,72,2.990000009536743,58,53,0,55.5,1.0952733755111694,,,,
36,78,10.020000457763672,53,32,1,42.5,2.3045830726623535,1.209309697151184,-13.0,-5,-21
37,72,8.520000457763672,49,54,0,51.5,2.142416477203369,,,,
37,78,6.239999771118164,50,53,1,51.5,1.8309801816940308,-0.3114362955093384,0.0,1,-1
38,72,8.609999656677246,57,48,0,52.5,2.1529242992401123,,,,
38,78,8.930000305175781,46,43,1,44.5,2.1894164085388184,0.036492109298706055,-8.0,-11,-5
39,72,10.899999618530273,63,55,0,59.0,2.3887627124786377,,,,
39,78,6.230000019073486,62,54,1,58.0,1.8293763399124146,-0.5593863725662231,-1.0,-1,-1
40,72,7.21999979019165,52,47,0,49.5,1.976854920387268,,,,
40,78,10.220000267028809,48,44,1,46.0,2.3243465423583984,0.34749162197113037,-3.5,-4,-3
41,72,31.899999618530273,39,36,0,37.5,3.4626059532165527,,,,
41,78,29.6200008392334,19,22,1,20.5,3.3884499073028564,-0.07415604591369629,-17.0,-20,-14
42,72,8.489999771118164,52,63,0,57.5,2.1388890743255615,,,,
42,78,11.119999885559082,61,59,1,60.0,2.408745288848877,0.26985621452331543,2.5,9,-4
43,72,6.570000171661377,68,57,0,62.5,1.8825138807296753,,,,
43,78,6.489999771118164,51,49,1,50.0,1.8702625036239624,-0.01225137710571289,-12.5,-17,-8
44,72,11.380000114440918,48,56,0,52.0,2.4318573474884033,,,,
44,78,11.5,36,50,1,43.0,2.4423470497131348,0.010489702224731445,-9.0,-12,-6
45,72,17.479999542236328,54,58,0,56.0,2.8610572814941406,,,,
45,78,15.90999984741211,47,35,1,41.0,2.7669477462768555,-0.09410953521728516,-15.0,-7,-23
46,72,13.710000038146973,52,49,0,50.5,2.6181254386901855,,,,
46,78,13.289999961853027,35,35,1,35.0,2.5870118141174316,-0.031113624572753906,-15.5,-17,-14
47,72,8.109999656677246,51,54,0,52.5,2.0930979251861572,,,,
47,78,10.020000457763672,48,50,1,49.0,2.3045830726623535,0.2114851474761963,-3.5,-3,-4
48,72,10.369999885559082,44,46,0,45.0,2.3389170169830322,,,,
48,78,14.3100004196167,53,45,1,49.0,2.6609585285186768,0.32204151153564453,4.0,9,-1
49,72,17.65999984741211,43,46,0,44.5,2.8713021278381348,,,,
49,78,24.420000076293945,37,33,1,35.0,3.1954023838043213,0.3241002559661865,-9.5,-6,-13
50,72,6.300000190734863,78,62,0,70.0,1.8405497074127197,,,,
50,78,11.130000114440918,42,35,1,38.5,2.40964412689209,0.5690944194793701,-31.5,-36,-27
51,72,15.619999885559082,53,43,0,48.0,2.748552083969116,,,,
51,78,10.539999961853027,47,41,1,44.0,2.355177640914917,-0.3933744430541992,-4.0,-6,-2
52,72,6.769999980926514,53,56,0,54.5,1.9125010967254639,,,,
52,78,6.25,40,69,1,54.5,1.8325815200805664,-0.07991957664489746,0.0,-13,13
53,72,14.289999961853027,43,59,0,51.0,2.659559965133667,,,,
53,78,23.5,43,37,1,40.0,3.1570003032684326,0.4974403381347656,-11.0,0,-22
