studyid,black,hispanic,female,appyear,mnce,select,choice,selectyrs,choiceyrs,mnce90,selectyrs1,selectyrs2,selectyrs3,selectyrs4,choiceyrs1,choiceyrs2,choiceyrs3,choiceyrs4
312,1,0,1,90,51,1,1,4,4,31,0,0,0,1,0,0,0,1
314,1,0,0,90,85,1,1,4,3,,0,0,0,1,0,0,1,0
316,1,0,1,90,50,1,1,4,4,31,0,0,0,1,0,0,0,1
317,1,0,0,90,13,1,1,4,4,,0,0,0,1,0,0,0,1
320,1,0,1,90,48,1,1,4,4,,0,0,0,1,0,0,0,1
321,1,0,1,90,80,1,1,4,3,,0,0,0,1,0,0,1,0
322,1,0,0,90,73,1,1,4,4,,0,0,0,1,0,0,0,1
323,1,0,0,90,59,1,1,4,4,,0,0,0,1,0,0,0,1
324,1,0,0,90,35,1,1,4,4,,0,0,0,1,0,0,0,1
325,1,0,1,90,10,1,0,4,2,32,0,0,0,1,0,1,0,0
340,1,0,1,90,48,1,1,4,4,,0,0,0,1,0,0,0,1
341,0,1,1,90,38,1,1,4,4,,0,0,0,1,0,0,0,1
342,0,1,0,90,67,1,0,4,1,55,0,0,0,1,1,0,0,0
353,0,1,1,90,48,1,1,4,3,32,0,0,0,1,0,0,1,0
354,0,1,1,90,45,1,0,4,1,,0,0,0,1,1,0,0,0
370,1,0,0,91,32,1,1,3,2,,0,0,1,0,0,1,0,0
371,1,0,1,91,46,1,1,3,2,,0,0,1,0,0,1,0,0
372,0,1,1,91,36,1,1,3,2,59,0,0,1,0,0,1,0,0
379,1,0,0,93,32,1,1,1,1,,1,0,0,0,1,0,0,0
380,1,0,0,91,42,1,0,3,1,20,0,0,1,0,1,0,0,0
381,1,0,0,93,67,1,1,1,1,,1,0,0,0,1,0,0,0
382,1,0,1,91,59,1,1,3,3,58,0,0,1,0,0,0,1,0
385,1,0,0,91,99,1,1,3,2,,0,0,1,0,0,1,0,0
387,1,0,0,91,7,1,1,3,2,,0,0,1,0,0,1,0,0
391,1,0,0,91,40,1,1,3,3,39,0,0,1,0,0,0,1,0
392,1,0,0,91,45,1,1,3,2,,0,0,1,0,0,1,0,0
394,1,0,1,91,31,1,1,3,3,56,0,0,1,0,0,0,1,0
396,1,0,1,91,55,1,1,3,3,,0,0,1,0,0,0,1,0
397,1,0,1,91,61,1,1,3,2,,0,0,1,0,0,1,0,0
398,1,0,1,91,41,1,1,3,3,,0,0,1,0,0,0,1,0
402,1,0,1,91,52,1,1,3,3,57,0,0,1,0,0,0,1,0
403,1,0,1,91,47,1,1,3,3,,0,0,1,0,0,0,1,0
405,1,0,1,91,56,1,1,3,2,,0,0,1,0,0,1,0,0
412,1,0,0,91,32,1,1,3,3,,0,0,1,0,0,0,1,0
415,1,0,1,91,17,1,1,3,3,,0,0,1,0,0,0,1,0
421,1,0,0,91,46,1,1,3,2,,0,0,1,0,0,1,0,0
427,1,0,1,91,28,1,0,3,1,41,0,0,1,0,1,0,0,0
432,1,0,1,91,38,1,1,3,2,,0,0,1,0,0,1,0,0
436,1,0,1,91,68,1,1,3,3,,0,0,1,0,0,0,1,0
438,1,0,1,91,36,1,1,3,3,,0,0,1,0,0,0,1,0
439,1,0,1,91,29,1,1,3,2,15,0,0,1,0,0,1,0,0
440,1,0,0,91,34,1,1,3,2,,0,0,1,0,0,1,0,0
442,1,0,0,91,17,1,0,3,0,25,0,0,1,0,0,0,0,0
443,1,0,1,93,25,1,1,1,2,,1,0,0,0,0,1,0,0
444,1,0,1,91,38,1,1,3,1,,0,0,1,0,1,0,0,0
451,1,0,0,91,62,1,1,3,3,,0,0,1,0,0,0,1,0
452,1,0,0,91,44,1,1,3,2,,0,0,1,0,0,1,0,0
453,1,0,1,91,34,1,1,3,3,,0,0,1,0,0,0,1,0
457,1,0,0,91,51,1,1,3,2,,0,0,1,0,0,1,0,0
459,1,0,0,91,90,1,1,3,2,,0,0,1,0,0,1,0,0
484,1,0,1,92,48,1,1,2,1,,0,1,0,0,1,0,0,0
490,0,1,1,91,1,1,1,3,2,,0,0,1,0,0,1,0,0
492,1,0,1,91,7,1,1,3,2,,0,0,1,0,0,1,0,0
494,0,0,0,91,28,1,1,3,2,,0,0,1,0,0,1,0,0
497,0,1,0,91,34,1,1,3,1,,0,0,1,0,1,0,0,0
498,1,0,0,91,20,1,1,3,3,41,0,0,1,0,0,0,1,0
503,1,0,0,91,52,1,1,3,3,,0,0,1,0,0,0,1,0
504,1,0,1,91,39,1,1,3,3,,0,0,1,0,0,0,1,0
505,1,0,0,91,17,1,1,3,3,,0,0,1,0,0,0,1,0
508,1,0,1,91,35,1,0,3,2,,0,0,1,0,0,1,0,0
510,1,0,0,91,28,1,1,3,2,,0,0,1,0,0,1,0,0
511,1,0,1,91,35,1,1,3,2,1,0,0,1,0,0,1,0,0
514,1,0,0,91,1,1,0,3,1,,0,0,1,0,1,0,0,0
515,1,0,1,91,62,1,1,3,3,48,0,0,1,0,0,0,1,0
516,1,0,0,91,17,1,0,3,1,25,0,0,1,0,1,0,0,0
518,1,0,0,91,10,1,1,3,3,15,0,0,1,0,0,0,1,0
519,1,0,0,91,31,1,1,3,3,,0,0,1,0,0,0,1,0
520,1,0,0,91,47,1,1,3,3,41,0,0,1,0,0,0,1,0
522,1,0,0,91,38,1,1,3,3,10,0,0,1,0,0,0,1,0
523,1,0,1,91,17,1,0,3,2,34,0,0,1,0,0,1,0,0
525,1,0,1,91,45,1,1,3,3,,0,0,1,0,0,0,1,0
526,1,0,1,91,41,1,1,3,3,,0,0,1,0,0,0,1,0
529,1,0,1,91,31,1,0,3,2,,0,0,1,0,0,1,0,0
531,1,0,0,91,48,1,1,3,3,,0,0,1,0,0,0,1,0
533,1,0,0,91,46,1,0,3,1,,0,0,1,0,1,0,0,0
535,1,0,0,91,81,1,0,3,2,,0,0,1,0,0,1,0,0
536,1,0,1,91,22,1,1,3,3,,0,0,1,0,0,0,1,0
538,1,0,1,91,51,1,1,3,3,,0,0,1,0,0,0,1,0
543,1,0,0,91,20,1,1,3,1,,0,0,1,0,1,0,0,0
545,1,0,1,91,45,1,1,3,1,,0,0,1,0,1,0,0,0
555,1,0,0,91,44,1,1,3,3,45,0,0,1,0,0,0,1,0
556,1,0,1,91,46,1,1,3,3,59,0,0,1,0,0,0,1,0
558,1,0,0,91,30,1,0,3,1,,0,0,1,0,1,0,0,0
559,1,0,0,91,54,1,1,3,3,,0,0,1,0,0,0,1,0
560,1,0,1,91,38,1,1,3,3,,0,0,1,0,0,0,1,0
563,1,0,0,91,22,1,1,3,2,,0,0,1,0,0,1,0,0
564,1,0,1,91,22,1,1,3,3,34,0,0,1,0,0,0,1,0
567,1,0,0,91,1,1,1,3,3,,0,0,1,0,0,0,1,0
580,1,0,0,91,48,1,1,3,3,,0,0,1,0,0,0,1,0
585,1,0,1,91,17,1,1,3,3,,0,0,1,0,0,0,1,0
588,1,0,1,91,34,1,1,3,3,,0,0,1,0,0,0,1,0
592,1,0,0,91,10,1,1,3,3,,0,0,1,0,0,0,1,0
595,1,0,0,91,48,1,1,3,3,,0,0,1,0,0,0,1,0
596,1,0,1,91,46,1,1,3,3,,0,0,1,0,0,0,1,0
597,1,0,0,91,46,1,1,3,3,,0,0,1,0,0,0,1,0
598,1,0,1,91,41,1,1,3,3,,0,0,1,0,0,0,1,0
612,1,0,0,91,40,1,0,3,1,36,0,0,1,0,1,0,0,0
625,1,0,0,91,48,1,1,3,3,,0,0,1,0,0,0,1,0
627,1,0,0,91,46,1,1,3,3,,0,0,1,0,0,0,1,0
628,1,0,1,91,61,1,1,3,2,,0,0,1,0,0,1,0,0
631,1,0,1,91,48,1,1,3,3,,0,0,1,0,0,0,1,0
632,1,0,0,91,51,1,1,3,3,,0,0,1,0,0,0,1,0
633,1,0,1,91,44,1,1,3,3,,0,0,1,0,0,0,1,0
635,1,0,1,91,20,1,1,3,3,,0,0,1,0,0,0,1,0
636,1,0,0,91,42,1,0,3,1,25,0,0,1,0,1,0,0,0
637,1,0,1,91,55,1,1,3,3,,0,0,1,0,0,0,1,0
638,1,0,1,91,25,1,1,3,3,,0,0,1,0,0,0,1,0
639,1,0,0,91,53,1,1,3,3,,0,0,1,0,0,0,1,0
640,1,0,1,91,44,1,1,3,3,,0,0,1,0,0,0,1,0
641,1,0,1,91,28,1,1,3,3,,0,0,1,0,0,0,1,0
642,0,1,1,91,45,1,1,3,3,,0,0,1,0,0,0,1,0
645,1,0,0,91,64,1,1,3,1,,0,0,1,0,1,0,0,0
651,0,1,0,91,42,1,1,3,1,,0,0,1,0,1,0,0,0
656,0,1,1,91,48,1,1,3,1,,0,0,1,0,1,0,0,0
667,0,1,1,91,25,1,1,3,1,,0,0,1,0,1,0,0,0
668,0,1,1,91,90,1,1,3,2,,0,0,1,0,0,1,0,0
669,0,1,1,91,32,1,1,3,2,,0,0,1,0,0,1,0,0
672,0,1,1,91,34,1,1,3,2,,0,0,1,0,0,1,0,0
674,0,1,1,91,56,1,1,3,2,,0,0,1,0,0,1,0,0
675,0,1,0,92,90,1,1,2,1,,0,1,0,0,1,0,0,0
676,0,1,1,91,61,1,1,3,2,,0,0,1,0,0,1,0,0
678,0,1,0,91,41,1,1,3,2,,0,0,1,0,0,1,0,0
682,0,1,0,91,44,1,1,3,2,,0,0,1,0,0,1,0,0
683,0,1,1,91,72,1,1,3,2,,0,0,1,0,0,1,0,0
688,0,1,0,91,41,1,1,3,2,,0,0,1,0,0,1,0,0
689,0,1,1,91,41,1,1,3,3,,0,0,1,0,0,0,1,0
693,0,1,1,91,13,1,1,3,3,,0,0,1,0,0,0,1,0
697,0,1,1,91,34,1,1,3,3,,0,0,1,0,0,0,1,0
698,0,1,1,91,53,1,1,3,3,,0,0,1,0,0,0,1,0
699,0,1,1,91,13,1,1,3,3,,0,0,1,0,0,0,1,0
701,1,0,0,91,23,1,1,3,3,,0,0,1,0,0,0,1,0
704,0,1,0,91,85,1,1,3,3,,0,0,1,0,0,0,1,0
705,0,1,0,91,56,1,1,3,3,,0,0,1,0,0,0,1,0
707,0,1,0,91,33,1,1,3,3,,0,0,1,0,0,0,1,0
710,0,1,1,91,58,1,1,3,3,,0,0,1,0,0,0,1,0
712,0,1,1,91,46,1,1,3,3,,0,0,1,0,0,0,1,0
713,0,1,1,91,42,1,1,3,3,,0,0,1,0,0,0,1,0
715,0,1,1,91,15,1,1,3,3,,0,0,1,0,0,0,1,0
717,0,1,1,91,37,1,1,3,3,,0,0,1,0,0,0,1,0
718,0,1,0,91,77,1,0,3,0,66,0,0,1,0,0,0,0,0
719,0,1,1,91,70,1,0,3,0,61,0,0,1,0,0,0,0,0
724,1,0,1,91,17,1,0,3,0,29,0,0,1,0,0,0,0,0
727,0,1,0,91,58,1,1,3,3,,0,0,1,0,0,0,1,0
730,0,1,0,91,26,1,1,3,3,,0,0,1,0,0,0,1,0
731,0,1,1,91,20,1,1,3,2,,0,0,1,0,0,1,0,0
733,0,1,0,91,36,1,1,3,3,,0,0,1,0,0,0,1,0
734,0,1,0,91,28,1,1,3,3,,0,0,1,0,0,0,1,0
737,0,1,1,91,22,1,1,3,3,,0,0,1,0,0,0,1,0
738,0,1,0,91,46,1,1,3,3,,0,0,1,0,0,0,1,0
742,0,1,0,91,33,1,1,3,3,,0,0,1,0,0,0,1,0
743,0,1,1,91,28,1,1,3,3,,0,0,1,0,0,0,1,0
751,0,1,1,91,56,1,1,3,3,,0,0,1,0,0,0,1,0
754,0,1,1,91,87,1,1,3,3,,0,0,1,0,0,0,1,0
768,1,0,1,91,54,1,1,3,2,,0,0,1,0,0,1,0,0
769,1,0,0,90,51,1,1,4,4,,0,0,0,1,0,0,0,1
770,1,0,1,90,31,1,1,4,4,56,0,0,0,1,0,0,0,1
772,1,0,1,90,46,1,1,4,4,,0,0,0,1,0,0,0,1
774,1,0,1,90,59,1,0,4,3,68,0,0,0,1,0,0,1,0
775,1,0,1,90,32,1,1,4,4,1,0,0,0,1,0,0,0,1
776,1,0,1,90,42,1,1,4,2,,0,0,0,1,0,1,0,0
783,1,0,1,90,50,1,1,4,4,,0,0,0,1,0,0,0,1
784,1,0,0,90,28,1,1,4,3,15,0,0,0,1,0,0,1,0
786,1,0,0,90,1,1,1,4,4,,0,0,0,1,0,0,0,1
787,1,0,0,90,15,1,1,4,4,,0,0,0,1,0,0,0,1
789,1,0,0,91,42,1,1,3,1,,0,0,1,0,1,0,0,0
791,1,0,1,91,63,1,1,3,3,,0,0,1,0,0,0,1,0
792,1,0,1,91,48,1,1,3,3,,0,0,1,0,0,0,1,0
797,0,0,0,91,1,1,1,3,1,,0,0,1,0,1,0,0,0
798,0,1,1,91,1,1,1,3,2,,0,0,1,0,0,1,0,0
799,0,1,1,91,15,1,1,3,3,38,0,0,1,0,0,0,1,0
800,0,1,1,91,33,1,1,3,3,,0,0,1,0,0,0,1,0
801,0,1,0,91,30,1,1,3,3,,0,0,1,0,0,0,1,0
840,1,0,0,90,29,1,0,4,2,10,0,0,0,1,0,1,0,0
845,1,0,0,90,45,1,1,4,4,31,0,0,0,1,0,0,0,1
847,1,0,1,90,55,1,1,4,4,,0,0,0,1,0,0,0,1
867,1,0,0,90,45,1,1,4,4,28,0,0,0,1,0,0,0,1
868,1,0,1,90,44,1,1,4,4,25,0,0,0,1,0,0,0,1
871,1,0,1,91,44,1,0,3,2,,0,0,1,0,0,1,0,0
874,0,1,0,90,28,1,0,4,2,,0,0,0,1,0,1,0,0
875,1,0,0,91,64,1,1,3,2,64,0,0,1,0,0,1,0,0
883,1,0,0,91,45,1,1,3,1,,0,0,1,0,1,0,0,0
1006,1,0,1,90,31,0,0,0,0,32,0,0,0,0,0,0,0,0
1008,1,0,0,90,31,0,0,0,0,20,0,0,0,0,0,0,0,0
1009,1,0,0,90,17,0,0,0,0,25,0,0,0,0,0,0,0,0
1013,0,0,1,93,38,1,1,1,1,,1,0,0,0,1,0,0,0
1014,0,1,1,90,59,0,0,0,0,50,0,0,0,0,0,0,0,0
1039,0,1,1,90,81,0,0,0,0,85,0,0,0,0,0,0,0,0
1046,0,1,0,90,52,0,0,0,0,45,0,0,0,0,0,0,0,0
1048,0,1,0,90,1,0,0,0,0,32,0,0,0,0,0,0,0,0
1054,0,1,0,90,93,1,0,4,0,59,0,0,0,1,0,0,0,0
1115,1,0,0,90,10,0,0,0,0,,0,0,0,0,0,0,0,0
1116,1,0,0,90,40,0,0,0,0,,0,0,0,0,0,0,0,0
1172,1,0,1,92,13,1,0,2,1,,0,1,0,0,1,0,0,0
1204,1,0,1,90,17,0,0,0,0,,0,0,0,0,0,0,0,0
1220,1,0,1,93,39,1,1,1,1,,1,0,0,0,1,0,0,0
1222,1,0,0,92,15,1,1,2,1,,0,1,0,0,1,0,0,0
1224,1,0,0,91,66,1,1,3,3,,0,0,1,0,0,0,1,0
1225,1,0,1,92,45,1,1,2,1,,0,1,0,0,1,0,0,0
1243,1,0,1,90,23,0,0,0,0,20,0,0,0,0,0,0,0,0
1249,1,0,0,90,17,0,0,0,0,25,0,0,0,0,0,0,0,0
1269,1,0,0,90,31,0,0,0,0,,0,0,0,0,0,0,0,0
1302,0,0,1,91,64,0,0,0,0,,0,0,0,0,0,0,0,0
1309,1,0,0,91,48,0,0,0,0,44,0,0,0,0,0,0,0,0
1312,1,0,0,93,45,1,1,1,1,,1,0,0,0,1,0,0,0
1332,0,0,0,91,37,0,0,0,0,,0,0,0,0,0,0,0,0
1333,1,0,1,92,48,1,1,2,2,,0,1,0,0,0,1,0,0
1340,1,0,1,91,46,1,1,3,3,,0,0,1,0,0,0,1,0
1343,1,0,0,92,38,1,1,2,2,,0,1,0,0,0,1,0,0
1351,1,0,0,91,25,1,0,3,0,,0,0,1,0,0,0,0,0
1353,1,0,0,91,1,0,0,0,0,22,0,0,0,0,0,0,0,0
1362,1,0,1,92,61,1,1,2,2,,0,1,0,0,0,1,0,0
1364,1,0,1,92,44,1,1,2,2,,0,1,0,0,0,1,0,0
1396,1,0,0,92,39,1,1,2,2,,0,1,0,0,0,1,0,0
1398,1,0,0,92,64,1,1,2,2,,0,1,0,0,0,1,0,0
1411,1,0,0,91,22,0,0,0,0,,0,0,0,0,0,0,0,0
1434,0,1,1,92,32,1,1,2,1,,0,1,0,0,1,0,0,0
1460,0,1,1,92,7,1,1,2,2,,0,1,0,0,0,1,0,0
1461,0,1,1,92,59,1,1,2,2,,0,1,0,0,0,1,0,0
1467,0,1,1,92,61,1,1,2,2,55,0,1,0,0,0,1,0,0
1471,0,1,0,93,53,1,1,1,1,,1,0,0,0,1,0,0,0
1474,1,0,0,92,1,0,0,0,0,38,0,0,0,0,0,0,0,0
1481,1,0,1,93,54,1,1,1,1,,1,0,0,0,1,0,0,0
1495,1,0,1,93,58,1,1,1,1,,1,0,0,0,1,0,0,0
1513,1,0,1,92,59,0,0,0,0,,0,0,0,0,0,0,0,0
1530,1,0,0,92,48,0,0,0,0,20,0,0,0,0,0,0,0,0
1549,0,0,0,92,47,1,1,2,2,,0,1,0,0,0,1,0,0
1554,0,0,0,92,52,0,0,0,0,64,0,0,0,0,0,0,0,0
1555,0,1,1,92,64,0,0,0,0,66,0,0,0,0,0,0,0,0
1580,0,1,1,92,66,0,0,0,0,,0,0,0,0,0,0,0,0
1592,1,0,0,92,33,1,1,2,2,,0,1,0,0,0,1,0,0
1595,1,0,1,92,52,0,0,0,0,87,0,0,0,0,0,0,0,0
1606,1,0,1,92,47,0,0,0,0,42,0,0,0,0,0,0,0,0
1612,1,0,1,93,29,1,1,1,1,,1,0,0,0,1,0,0,0
1624,1,0,1,93,61,1,1,1,1,,1,0,0,0,1,0,0,0
1637,0,1,1,92,45,0,0,0,0,,0,0,0,0,0,0,0,0
1638,1,0,1,93,25,1,1,1,1,,1,0,0,0,1,0,0,0
1659,1,0,0,92,1,0,0,0,0,7,0,0,0,0,0,0,0,0
1661,1,0,0,93,1,1,1,1,1,,1,0,0,0,1,0,0,0
1667,1,0,1,92,10,0,0,0,0,15,0,0,0,0,0,0,0,0
1677,1,0,0,93,29,1,1,1,1,,1,0,0,0,1,0,0,0
1678,1,0,0,92,1,1,1,2,2,,0,1,0,0,0,1,0,0
1687,1,0,0,93,26,1,1,1,1,15,1,0,0,0,1,0,0,0
1707,1,0,1,92,23,0,0,0,0,,0,0,0,0,0,0,0,0
1710,1,0,1,93,25,1,1,1,1,,1,0,0,0,1,0,0,0
1715,1,0,0,93,64,1,1,1,1,,1,0,0,0,1,0,0,0
1720,1,0,1,92,38,0,0,0,0,,0,0,0,0,0,0,0,0
1726,1,0,0,92,72,0,0,0,0,,0,0,0,0,0,0,0,0
1772,1,0,0,93,10,0,0,0,0,,0,0,0,0,0,0,0,0
1773,1,0,1,93,33,0,1,0,1,,0,0,0,0,1,0,0,0
1777,1,0,1,93,25,0,0,0,0,,0,0,0,0,0,0,0,0
1785,1,0,0,93,64,1,1,1,1,,1,0,0,0,1,0,0,0
1795,1,0,1,93,44,0,0,0,0,41,0,0,0,0,0,0,0,0
1866,1,0,0,93,31,0,0,0,0,,0,0,0,0,0,0,0,0
1880,1,0,1,93,47,0,0,0,0,,0,0,0,0,0,0,0,0
1888,1,0,0,93,41,0,0,0,0,,0,0,0,0,0,0,0,0
1893,1,0,0,93,37,0,0,0,0,22,0,0,0,0,0,0,0,0
1899,1,0,1,93,10,0,0,0,0,1,0,0,0,0,0,0,0,0
1935,1,0,0,93,10,0,0,0,0,,0,0,0,0,0,0,0,0
1938,1,0,1,93,44,0,0,0,0,29,0,0,0,0,0,0,0,0
1939,1,0,0,93,75,0,0,0,0,,0,0,0,0,0,0,0,0
10007,1,0,1,91,51,0,0,0,0,,0,0,0,0,0,0,0,0
10088,1,0,0,93,34,0,0,0,0,,0,0,0,0,0,0,0,0
10092,0,0,1,93,77,0,0,0,0,,0,0,0,0,0,0,0,0
10142,1,0,1,92,58,0,0,0,0,,0,0,0,0,0,0,0,0
10144,1,0,1,92,28,0,0,0,0,,0,0,0,0,0,0,0,0
10149,1,0,1,93,40,0,0,0,0,,0,0,0,0,0,0,0,0
10163,0,0,1,92,38,0,0,0,0,,0,0,0,0,0,0,0,0
10186,0,0,1,92,69,0,0,0,0,,0,0,0,0,0,0,0,0
10194,1,0,1,93,51,0,0,0,0,,0,0,0,0,0,0,0,0
10220,0,0,0,92,99,0,0,0,0,,0,0,0,0,0,0,0,0
10225,1,0,0,93,19,0,0,0,0,,0,0,0,0,0,0,0,0
10250,1,0,1,92,40,0,0,0,0,,0,0,0,0,0,0,0,0
10257,0,0,0,93,54,0,0,0,0,,0,0,0,0,0,0,0,0
10280,1,0,0,93,34,0,0,0,0,,0,0,0,0,0,0,0,0
10304,0,0,0,91,75,0,0,0,0,,0,0,0,0,0,0,0,0
10305,0,0,1,91,64,0,0,0,0,,0,0,0,0,0,0,0,0
10351,1,0,0,93,20,0,0,0,0,,0,0,0,0,0,0,0,0
10359,0,0,0,93,57,0,0,0,0,,0,0,0,0,0,0,0,0
10369,1,0,0,91,61,0,0,0,0,,0,0,0,0,0,0,0,0
10385,0,1,1,92,41,0,0,0,0,,0,0,0,0,0,0,0,0
10406,0,1,0,91,36,0,0,0,0,,0,0,0,0,0,0,0,0
10458,1,0,1,91,51,0,0,0,0,,0,0,0,0,0,0,0,0
10469,0,0,0,93,46,0,0,0,0,,0,0,0,0,0,0,0,0
10562,0,1,0,91,7,0,0,0,0,,0,0,0,0,0,0,0,0
10566,0,0,1,93,54,0,0,0,0,,0,0,0,0,0,0,0,0
10569,0,0,1,92,66,0,0,0,0,,0,0,0,0,0,0,0,0
10580,1,0,1,91,57,0,0,0,0,,0,0,0,0,0,0,0,0
10584,1,0,1,91,71,0,0,0,0,,0,0,0,0,0,0,0,0
10620,0,0,1,93,23,0,0,0,0,,0,0,0,0,0,0,0,0
10621,1,0,1,91,48,0,0,0,0,,0,0,0,0,0,0,0,0
10624,1,0,1,91,40,0,0,0,0,,0,0,0,0,0,0,0,0
