year,workstat,prestige,divorce,widowed,educ,reg16,babies,preteen,teens,income,region,attend,happy,owngun,tvhours,vhappy,mothfath16,black,gwbush04,female,blackfemale,gwbush00,occattend,regattend,y94,y96,y98,y00,y02,y04,y06,unem10
1994,working parttime,47,,,16,middle atlantic,0,0,0,$10000 - 14999,middle atlantic,more thn once wk,pretty happy,iap,3,0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,
1994,working parttime,74,,iap,20,middle atlantic,0,0,0,$25000 or more,middle atlantic,never,not too happy,iap,,0,1,0,,0,0,,0,0,1,0,0,0,0,0,0,0
1994,working fulltime,44,,,12,middle atlantic,0,0,0,$25000 or more,middle atlantic,never,pretty happy,iap,4,0,1,0,,0,0,,0,0,1,0,0,0,0,0,0,
1994,retired,52,,,16,new england,0,0,0,,middle atlantic,never,pretty happy,iap,,0,1,0,,0,0,,0,0,1,0,0,0,0,0,0,1
1994,working fulltime,74,,,16,middle atlantic,0,0,0,$25000 or more,middle atlantic,never,pretty happy,,1,0,1,0,,0,0,,0,0,1,0,0,0,0,0,0,0
1994,working fulltime,44,yes,iap,8,foreign,0,0,0,,middle atlantic,never,pretty happy,iap,4,0,0,0,,0,0,,0,0,1,0,0,0,0,0,0,
1994,other,,,iap,12,foreign,0,0,0,$5000 to 5999,middle atlantic,every week,pretty happy,,4,0,0,0,,1,0,,0,0,1,0,0,0,0,0,0,0
1994,keeping house,,,,8,foreign,0,0,0,$3000 to 3999,middle atlantic,once a year,not too happy,,8,0,1,1,,1,1,,0,0,1,0,0,0,0,0,0,1
1994,keeping house,,no,iap,12,foreign,0,0,1,$25000 or more,middle atlantic,every week,pretty happy,iap,2,0,1,0,,1,0,,0,0,1,0,0,0,0,0,0,
1994,working fulltime,64,,iap,17,w. sou. central,0,0,1,,middle atlantic,2-3x a month,pretty happy,iap,2,0,0,1,,1,1,,1,0,1,0,0,0,0,0,0,
1994,keeping house,41,yes,,13,middle atlantic,0,0,0,$8000 to 9999,middle atlantic,lt once a year,pretty happy,,2,0,0,1,,1,1,,0,0,1,0,0,0,0,0,0,0
1994,working fulltime,42,,,12,middle atlantic,0,0,0,$25000 or more,middle atlantic,lt once a year,pretty happy,,2,0,0,0,,0,0,,0,0,1,0,0,0,0,0,0,1
1994,keeping house,24,,iap,12,foreign,1,2,0,$6000 to 6999,middle atlantic,2-3x a month,pretty happy,iap,4,0,1,1,,1,1,,1,0,1,0,0,0,0,0,0,
1994,keeping house,28,,iap,16,foreign,0,0,0,$1000 to 2999,middle atlantic,every week,not too happy,,7,0,1,1,,1,1,,0,0,1,0,0,0,0,0,0,1
1994,keeping house,60,no,iap,16,middle atlantic,2,0,0,$25000 or more,middle atlantic,lt once a year,not too happy,iap,2,0,0,0,,1,0,,0,0,1,0,0,0,0,0,0,
1994,working fulltime,44,no,iap,16,middle atlantic,0,0,0,$25000 or more,middle atlantic,sevrl times a yr,not too happy,iap,,0,1,0,,1,0,,1,0,1,0,0,0,0,0,0,0
1994,working fulltime,65,,,16,middle atlantic,0,0,0,$25000 or more,middle atlantic,lt once a year,pretty happy,iap,1,0,1,0,,0,0,,0,0,1,0,0,0,0,0,0,
1994,other,32,,,13,middle atlantic,0,0,0,$5000 to 5999,middle atlantic,never,not too happy,iap,,0,1,0,,0,0,,0,0,1,0,0,0,0,0,0,0
1994,working parttime,58,yes,,19,e. nor. central,0,0,0,,middle atlantic,never,pretty happy,iap,,0,1,0,,1,0,,0,0,1,0,0,0,0,0,0,1
1994,working fulltime,51,,,18,w. sou. central,0,0,0,$25000 or more,middle atlantic,sevrl times a yr,pretty happy,,1,0,0,0,,0,0,,1,0,1,0,0,0,0,0,0,0
1994,keeping house,59,no,iap,16,middle atlantic,1,0,0,$25000 or more,middle atlantic,once a month,very happy,,4,1,0,0,,1,0,,1,0,1,0,0,0,0,0,0,0
1994,working fulltime,64,,,18,middle atlantic,0,0,0,$25000 or more,middle atlantic,every week,pretty happy,,3,0,1,0,,1,0,,0,0,1,0,0,0,0,0,0,0
1994,"unempl, laid off",47,,iap,17,foreign,1,0,0,$25000 or more,middle atlantic,never,pretty happy,iap,2,0,0,0,,1,0,,0,0,1,0,0,0,0,0,0,
1994,retired,60,no,,12,middle atlantic,0,0,0,$25000 or more,middle atlantic,never,pretty happy,iap,,0,0,0,,1,0,,0,0,1,0,0,0,0,0,0,0
1994,temp not working,28,,,13,foreign,0,0,0,,middle atlantic,never,not too happy,iap,,0,0,0,,1,0,,0,0,1,0,0,0,0,0,0,0
1994,working fulltime,25,,,14,middle atlantic,0,0,0,$15000 - 19999,middle atlantic,sevrl times a yr,very happy,iap,2,1,1,0,,1,0,,1,0,1,0,0,0,0,0,0,
1994,keeping house,29,,iap,12,foreign,1,1,0,,middle atlantic,sevrl times a yr,not too happy,iap,3,0,1,1,,1,1,,1,0,1,0,0,0,0,0,0,
1994,school,29,,iap,18,foreign,0,0,0,$3000 to 3999,middle atlantic,once a year,not too happy,iap,2,0,0,1,,0,0,,0,0,1,0,0,0,0,0,0,
1994,keeping house,29,,,11,middle atlantic,2,1,0,$15000 - 19999,middle atlantic,sevrl times a yr,pretty happy,,2,0,0,1,,1,1,,1,0,1,0,0,0,0,0,0,0
1994,keeping house,52,,iap,12,south atlantic,0,0,0,$1000 to 2999,middle atlantic,once a year,not too happy,iap,,0,0,1,,1,1,,0,0,1,0,0,0,0,0,0,1
1994,keeping house,46,no,,12,south atlantic,0,0,1,$10000 - 14999,middle atlantic,sevrl times a yr,pretty happy,iap,,0,1,1,,1,1,,1,0,1,0,0,0,0,0,0,0
1994,working fulltime,42,,,15,middle atlantic,0,0,0,$25000 or more,middle atlantic,every week,pretty happy,,2,0,1,1,,0,0,,0,0,1,0,0,0,0,0,0,0
1994,retired,50,no,,12,south atlantic,0,0,0,,middle atlantic,2-3x a month,not too happy,iap,3,0,1,1,,0,0,,1,0,1,0,0,0,0,0,0,
1994,keeping house,33,no,iap,14,middle atlantic,0,2,0,$25000 or more,middle atlantic,every week,pretty happy,iap,2,0,1,0,,1,0,,0,0,1,0,0,0,0,0,0,
1994,working fulltime,51,,,13,middle atlantic,0,0,0,$25000 or more,middle atlantic,2-3x a month,pretty happy,,6,0,1,0,,1,0,,1,0,1,0,0,0,0,0,0,0
1994,working fulltime,31,no,iap,16,middle atlantic,0,0,2,$25000 or more,middle atlantic,once a year,very happy,iap,,1,1,0,,0,0,,0,0,1,0,0,0,0,0,0,0
1994,working fulltime,30,yes,iap,13,foreign,0,0,1,$25000 or more,middle atlantic,every week,very happy,,2,1,1,0,,0,0,,0,0,1,0,0,0,0,0,0,1
1994,working fulltime,45,yes,iap,13,middle atlantic,0,0,0,$25000 or more,middle atlantic,lt once a year,pretty happy,iap,4,0,1,0,,0,0,,0,0,1,0,0,0,0,0,0,
1994,working fulltime,64,yes,iap,19,middle atlantic,1,1,1,$25000 or more,middle atlantic,once a year,very happy,,1,1,0,0,,1,0,,0,0,1,0,0,0,0,0,0,0
1994,working fulltime,22,no,iap,9,foreign,0,0,1,$25000 or more,middle atlantic,never,pretty happy,iap,5,0,1,0,,0,0,,0,0,1,0,0,0,0,0,0,
1994,working fulltime,17,,iap,12,foreign,0,0,0,,middle atlantic,nrly every week,pretty happy,iap,1,0,0,0,,0,0,,0,1,1,0,0,0,0,0,0,
1994,keeping house,,,,16,south atlantic,1,0,3,,middle atlantic,never,pretty happy,iap,,0,1,1,,1,1,,0,0,1,0,0,0,0,0,0,
1994,working fulltime,41,yes,iap,12,south atlantic,0,0,0,,middle atlantic,once a year,pretty happy,iap,3,0,0,1,,1,1,,0,0,1,0,0,0,0,0,0,
1994,retired,40,no,iap,11,south atlantic,0,0,0,$25000 or more,middle atlantic,more thn once wk,pretty happy,iap,,0,1,1,,0,0,,0,1,1,0,0,0,0,0,0,0
1994,school,,,,15,middle atlantic,0,0,0,,middle atlantic,once a year,very happy,iap,,1,0,1,,0,0,,0,0,1,0,0,0,0,0,0,0
1994,working fulltime,40,yes,iap,12,middle atlantic,0,0,0,$25000 or more,middle atlantic,lt once a year,pretty happy,iap,2,0,1,1,,0,0,,0,0,1,0,0,0,0,0,0,
1994,working fulltime,42,,iap,12,foreign,0,0,0,,middle atlantic,every week,very happy,,2,1,1,1,,1,1,,0,0,1,0,0,0,0,0,0,0
1994,working fulltime,74,,,16,middle atlantic,0,0,0,,middle atlantic,2-3x a month,very happy,iap,2,1,0,1,,1,1,,1,0,1,0,0,0,0,0,0,
1994,working parttime,40,,,16,middle atlantic,0,0,0,,middle atlantic,once a year,not too happy,,3,0,1,1,,1,1,,0,0,1,0,0,0,0,0,0,1
1994,other,37,yes,iap,10,middle atlantic,2,1,0,$15000 - 19999,middle atlantic,once a month,pretty happy,,5,0,1,0,,0,0,,1,0,1,0,0,0,0,0,0,0
1994,keeping house,,,iap,10,middle atlantic,2,0,0,$6000 to 6999,middle atlantic,never,pretty happy,iap,,0,0,0,,1,0,,0,0,1,0,0,0,0,0,0,0
1994,keeping house,31,no,iap,12,middle atlantic,0,2,0,$8000 to 9999,middle atlantic,once a month,pretty happy,iap,,0,1,0,,1,0,,1,0,1,0,0,0,0,0,0,
1994,working fulltime,21,no,iap,8,foreign,0,1,1,$10000 - 14999,middle atlantic,sevrl times a yr,very happy,iap,,1,1,0,,0,0,,1,0,1,0,0,0,0,0,0,0
1994,keeping house,,,,12,middle atlantic,1,0,0,$5000 to 5999,middle atlantic,nrly every week,pretty happy,,6,0,1,1,,1,1,,0,1,1,0,0,0,0,0,0,1
1994,working parttime,36,no,,12,middle atlantic,0,0,2,$8000 to 9999,middle atlantic,never,pretty happy,,4,0,1,1,,1,1,,0,0,1,0,0,0,0,0,0,0
1994,working parttime,17,,iap,12,middle atlantic,0,2,2,$5000 to 5999,middle atlantic,2-3x a month,pretty happy,iap,,0,0,1,,1,1,,1,0,1,0,0,0,0,0,0,0
1994,retired,49,no,,8,foreign,0,0,0,,middle atlantic,lt once a year,not too happy,iap,,0,1,0,,0,0,,0,0,1,0,0,0,0,0,0,0
1994,working fulltime,61,yes,iap,16,w. nor. central,1,0,0,$25000 or more,new england,every week,very happy,yes,1,1,0,0,,0,0,,0,0,1,0,0,0,0,0,0,
1994,working fulltime,75,no,iap,19,south atlantic,0,2,0,$25000 or more,new england,sevrl times a yr,pretty happy,iap,2,0,0,0,,0,0,,1,0,1,0,0,0,0,0,0,
1994,retired,50,no,iap,16,e. nor. central,0,0,0,$25000 or more,new england,every week,very happy,iap,1,1,0,0,,0,0,,0,0,1,0,0,0,0,0,0,
1994,working fulltime,86,no,iap,20,middle atlantic,0,0,0,$25000 or more,new england,once a year,pretty happy,yes,0,0,0,0,,1,0,,0,0,1,0,0,0,0,0,0,
1994,working parttime,23,,iap,16,new england,0,0,0,$8000 to 9999,new england,every week,pretty happy,iap,1,0,1,0,,1,0,,0,0,1,0,0,0,0,0,0,
1994,retired,47,,,16,middle atlantic,0,0,0,$15000 - 19999,new england,every week,very happy,iap,2,1,0,0,,0,0,,0,0,1,0,0,0,0,0,0,
1994,working fulltime,65,,,16,new england,0,0,0,,middle atlantic,never,very happy,iap,,1,1,0,,0,0,,0,0,1,0,0,0,0,0,0,1
1994,working fulltime,32,no,iap,16,middle atlantic,2,0,0,$25000 or more,middle atlantic,sevrl times a yr,pretty happy,,2,0,1,0,,0,0,,1,0,1,0,0,0,0,0,0,0
1994,temp not working,66,,iap,12,w. sou. central,0,0,0,,middle atlantic,every week,pretty happy,iap,,0,1,1,,1,1,,0,0,1,0,0,0,0,0,0,1
1994,keeping house,48,no,iap,13,middle atlantic,2,1,0,,middle atlantic,sevrl times a yr,very happy,iap,,1,0,0,,1,0,,1,0,1,0,0,0,0,0,0,0
1994,retired,53,no,iap,12,pacific,0,0,0,$25000 or more,middle atlantic,every week,very happy,,1,1,1,0,,0,0,,0,0,1,0,0,0,0,0,0,0
1994,working parttime,23,yes,iap,7,foreign,1,0,0,$25000 or more,middle atlantic,once a month,very happy,,2,1,1,0,,1,0,,1,0,1,0,0,0,0,0,0,0
1994,keeping house,23,no,,8,foreign,0,0,0,,middle atlantic,every week,pretty happy,iap,,0,0,0,,1,0,,0,0,1,0,0,0,0,0,0,0
1994,keeping house,46,no,iap,12,middle atlantic,1,1,0,$25000 or more,middle atlantic,once a year,very happy,iap,,1,1,0,,1,0,,0,0,1,0,0,0,0,0,0,1
1994,retired,42,no,,8,middle atlantic,0,0,0,$10000 - 14999,middle atlantic,lt once a year,not too happy,iap,,0,0,0,,1,0,,0,0,1,0,0,0,0,0,0,0
1994,working fulltime,51,,,14,middle atlantic,0,0,0,,middle atlantic,lt once a year,very happy,iap,,1,1,0,,0,0,,0,0,1,0,0,0,0,0,0,0
1994,working fulltime,64,yes,iap,20,middle atlantic,0,0,0,$25000 or more,middle atlantic,once a month,pretty happy,iap,1,0,1,0,,1,0,,1,0,1,0,0,0,0,0,0,
1994,working fulltime,64,yes,iap,20,middle atlantic,0,0,0,$25000 or more,middle atlantic,lt once a year,pretty happy,,1,0,1,0,,1,0,,0,0,1,0,0,0,0,0,0,0
1994,working fulltime,73,no,iap,20,foreign,1,1,0,$25000 or more,middle atlantic,every week,pretty happy,,3,0,1,0,,0,0,,0,0,1,0,0,0,0,0,0,0
1994,keeping house,34,no,iap,12,middle atlantic,0,0,0,$25000 or more,middle atlantic,sevrl times a yr,pretty happy,,3,0,1,0,,1,0,,1,0,1,0,0,0,0,0,0,0
1994,working fulltime,51,,,12,middle atlantic,0,1,0,$25000 or more,middle atlantic,nrly every week,pretty happy,,4,0,1,0,,1,0,,0,1,1,0,0,0,0,0,0,0
1994,keeping house,47,no,iap,12,middle atlantic,1,2,0,$15000 - 19999,middle atlantic,sevrl times a yr,pretty happy,,4,0,0,0,,1,0,,1,0,1,0,0,0,0,0,0,1
1994,keeping house,47,,iap,12,south atlantic,0,0,1,$15000 - 19999,middle atlantic,nrly every week,pretty happy,iap,,0,1,1,,1,1,,0,1,1,0,0,0,0,0,0,1
1994,working fulltime,52,,,16,middle atlantic,0,0,0,$25000 or more,middle atlantic,2-3x a month,pretty happy,iap,,0,0,1,,1,1,,1,0,1,0,0,0,0,0,0,0
1994,working fulltime,52,,,14,middle atlantic,0,0,0,$15000 - 19999,middle atlantic,every week,pretty happy,iap,,0,0,1,,1,1,,0,0,1,0,0,0,0,0,0,0
1994,keeping house,42,no,iap,12,south atlantic,2,2,1,$25000 or more,middle atlantic,2-3x a month,very happy,,1,1,1,1,,1,1,,1,0,1,0,0,0,0,0,0,0
1994,working fulltime,65,yes,iap,12,middle atlantic,0,1,0,$25000 or more,middle atlantic,more thn once wk,very happy,iap,3,1,1,1,,1,1,,0,1,1,0,0,0,0,0,0,
1994,working fulltime,44,,,15,middle atlantic,0,0,1,$25000 or more,middle atlantic,sevrl times a yr,not too happy,iap,,0,1,1,,1,1,,1,0,1,0,0,0,0,0,0,1
1994,keeping house,,no,iap,11,middle atlantic,0,0,0,,middle atlantic,every week,not too happy,,2,0,1,0,,1,0,,0,0,1,0,0,0,0,0,0,0
1994,working fulltime,46,no,iap,13,middle atlantic,0,2,0,,middle atlantic,every week,pretty happy,iap,,0,1,1,,1,1,,0,0,1,0,0,0,0,0,0,0
1994,temp not working,24,,iap,12,south atlantic,1,1,2,$25000 or more,middle atlantic,2-3x a month,pretty happy,,5,0,0,1,,1,1,,1,0,1,0,0,0,0,0,0,0
1994,temp not working,32,no,iap,12,middle atlantic,0,0,0,$20000 - 24999,middle atlantic,once a year,pretty happy,iap,6,0,0,1,,1,1,,0,0,1,0,0,0,0,0,0,
1994,school,66,no,iap,16,middle atlantic,0,0,0,$25000 or more,middle atlantic,lt once a year,pretty happy,,6,0,1,0,,1,0,,0,0,1,0,0,0,0,0,0,0
1994,school,47,,,14,middle atlantic,0,0,0,$4000 to 4999,middle atlantic,never,very happy,,0,1,1,0,,0,0,,0,0,1,0,0,0,0,0,0,0
1994,retired,74,no,iap,20,middle atlantic,0,0,0,,middle atlantic,never,pretty happy,iap,1,0,1,0,,0,0,,0,0,1,0,0,0,0,0,0,
1994,working fulltime,49,,,10,middle atlantic,0,0,0,$25000 or more,middle atlantic,never,very happy,iap,,1,1,0,,0,0,,0,0,1,0,0,0,0,0,0,1
1994,working fulltime,51,no,iap,16,middle atlantic,0,0,0,$25000 or more,middle atlantic,never,pretty happy,,3,0,1,1,,0,0,,0,0,1,0,0,0,0,0,0,1
1994,working fulltime,86,,,20,middle atlantic,0,0,0,$20000 - 24999,middle atlantic,once a year,pretty happy,iap,0,0,0,0,,0,0,,0,0,1,0,0,0,0,0,0,
1994,working fulltime,22,yes,iap,8,middle atlantic,0,0,0,$15000 - 19999,middle atlantic,lt once a year,very happy,iap,,1,0,0,,0,0,,0,0,1,0,0,0,0,0,0,0
1994,working fulltime,27,no,,8,middle atlantic,0,0,0,$20000 - 24999,middle atlantic,lt once a year,very happy,yes,8,1,0,0,,0,0,,0,0,1,0,0,0,0,0,0,
1994,working fulltime,51,,,18,middle atlantic,0,0,0,$25000 or more,middle atlantic,every week,pretty happy,iap,2,0,0,0,,0,0,,0,0,1,0,0,0,0,0,0,
1994,keeping house,,no,iap,12,middle atlantic,0,2,0,$20000 - 24999,middle atlantic,every week,not too happy,iap,,0,1,0,,1,0,,0,0,1,0,0,0,0,0,0,
1994,working fulltime,40,yes,iap,10,middle atlantic,0,0,0,$25000 or more,middle atlantic,never,pretty happy,iap,2,0,1,0,,0,0,,0,0,1,0,0,0,0,0,0,
1994,working fulltime,46,no,iap,12,middle atlantic,0,0,0,$25000 or more,middle atlantic,once a year,very happy,yes,3,1,1,0,,0,0,,0,0,1,0,0,0,0,0,0,
1994,"unempl, laid off",43,no,iap,15,middle atlantic,0,0,0,$15000 - 19999,middle atlantic,never,pretty happy,iap,,0,1,0,,1,0,,0,0,1,0,0,0,0,0,0,1
1994,working fulltime,64,yes,iap,20,foreign,0,1,0,$25000 or more,middle atlantic,never,not too happy,,1,0,1,0,,0,0,,0,0,1,0,0,0,0,0,0,0
1994,working fulltime,48,,,16,middle atlantic,0,0,0,$25000 or more,middle atlantic,once a month,very happy,,2,1,0,0,,1,0,,1,0,1,0,0,0,0,0,0,0
1994,working fulltime,44,no,iap,14,middle atlantic,0,1,0,$25000 or more,middle atlantic,sevrl times a yr,pretty happy,iap,,0,1,0,,0,0,,1,0,1,0,0,0,0,0,0,0
1994,working fulltime,49,,iap,14,middle atlantic,0,0,0,$25000 or more,middle atlantic,every week,pretty happy,,2,0,1,0,,0,0,,0,0,1,0,0,0,0,0,0,1
1994,working fulltime,44,no,iap,13,middle atlantic,1,1,1,$25000 or more,middle atlantic,never,very happy,,2,1,1,0,,0,0,,0,0,1,0,0,0,0,0,0,0
1994,working parttime,33,yes,iap,12,middle atlantic,1,3,0,$25000 or more,middle atlantic,nrly every week,very happy,iap,,1,1,0,,0,0,,0,1,1,0,0,0,0,0,0,0
1994,working fulltime,42,no,iap,12,middle atlantic,0,2,0,$25000 or more,middle atlantic,sevrl times a yr,very happy,iap,2,1,0,0,,1,0,,1,0,1,0,0,0,0,0,0,
1994,working fulltime,41,no,iap,13,middle atlantic,0,0,2,$25000 or more,middle atlantic,more thn once wk,pretty happy,iap,,0,0,1,,1,1,,0,1,1,0,0,0,0,0,0,1
1994,retired,30,no,iap,5,foreign,0,1,0,$25000 or more,middle atlantic,lt once a year,pretty happy,iap,5,0,0,1,,0,0,,0,0,1,0,0,0,0,0,0,
1994,working fulltime,68,no,iap,14,foreign,0,1,0,$25000 or more,middle atlantic,2-3x a month,very happy,iap,3,1,1,1,,0,0,,1,0,1,0,0,0,0,0,0,
1994,working fulltime,30,,iap,12,foreign,0,0,1,$25000 or more,middle atlantic,sevrl times a yr,pretty happy,iap,,0,0,0,,0,0,,1,0,1,0,0,0,0,0,0,1
1994,working parttime,42,,iap,9,middle atlantic,0,0,0,$8000 to 9999,middle atlantic,nrly every week,not too happy,iap,,0,0,1,,1,1,,0,1,1,0,0,0,0,0,0,1
1994,working fulltime,40,,iap,13,middle atlantic,0,0,0,$10000 - 14999,middle atlantic,once a year,pretty happy,iap,4,0,0,1,,1,1,,0,0,1,0,0,0,0,0,0,
1994,working fulltime,35,no,iap,14,south atlantic,0,0,0,$25000 or more,middle atlantic,every week,pretty happy,iap,3,0,0,1,,0,0,,0,0,1,0,0,0,0,0,0,
1994,working fulltime,33,,,11,middle atlantic,1,1,0,$15000 - 19999,middle atlantic,sevrl times a yr,not too happy,iap,,0,0,0,,1,0,,1,0,1,0,0,0,0,0,0,1
1994,working fulltime,47,no,iap,11,middle atlantic,0,0,0,$25000 or more,middle atlantic,once a year,pretty happy,,2,0,1,0,,0,0,,0,0,1,0,0,0,0,0,0,1
1994,working fulltime,75,no,iap,16,middle atlantic,0,0,0,$25000 or more,middle atlantic,sevrl times a yr,very happy,iap,,1,1,0,,0,0,,1,0,1,0,0,0,0,0,0,0
1994,retired,66,no,iap,17,e. nor. central,0,0,0,$25000 or more,middle atlantic,every week,pretty happy,iap,3,0,1,1,,1,1,,0,0,1,0,0,0,0,0,0,
1994,"unempl, laid off",33,no,,12,middle atlantic,0,1,1,$25000 or more,middle atlantic,once a month,very happy,,6,1,0,1,,1,1,,1,0,1,0,0,0,0,0,0,1
1994,temp not working,40,no,,12,middle atlantic,0,0,0,$25000 or more,middle atlantic,never,pretty happy,,1,0,1,0,,1,0,,0,0,1,0,0,0,0,0,0,0
1994,working fulltime,40,no,iap,16,middle atlantic,0,1,1,$25000 or more,middle atlantic,sevrl times a yr,pretty happy,yes,,0,0,1,,0,0,,1,0,1,0,0,0,0,0,0,0
1994,working fulltime,38,no,iap,12,middle atlantic,1,0,0,$25000 or more,middle atlantic,2-3x a month,pretty happy,yes,,0,1,1,,0,0,,1,0,1,0,0,0,0,0,0,0
1994,keeping house,52,no,iap,20,e. nor. central,0,1,0,$25000 or more,middle atlantic,every week,pretty happy,,4,0,0,1,,1,1,,0,0,1,0,0,0,0,0,0,0
1994,retired,60,,iap,12,middle atlantic,1,1,0,$25000 or more,middle atlantic,2-3x a month,not too happy,iap,,0,0,1,,1,1,,1,0,1,0,0,0,0,0,0,0
1994,working fulltime,64,no,yes,20,middle atlantic,0,0,0,$25000 or more,middle atlantic,2-3x a month,pretty happy,yes,3,0,1,1,,1,1,,1,0,1,0,0,0,0,0,0,
1994,"unempl, laid off",31,no,,12,e. sou. central,0,0,0,,middle atlantic,never,not too happy,iap,6,0,0,1,,0,0,,0,0,1,0,0,0,0,0,0,
1994,working fulltime,42,no,iap,12,south atlantic,0,0,1,$25000 or more,middle atlantic,2-3x a month,pretty happy,iap,,0,1,1,,0,0,,1,0,1,0,0,0,0,0,0,0
1994,working fulltime,40,no,iap,12,e. sou. central,0,1,0,$25000 or more,middle atlantic,once a month,pretty happy,iap,4,0,0,1,,1,1,,1,0,1,0,0,0,0,0,0,
1994,working parttime,53,no,iap,16,middle atlantic,1,1,0,$25000 or more,middle atlantic,sevrl times a yr,pretty happy,iap,,0,1,0,,1,0,,1,0,1,0,0,0,0,0,0,0
1994,keeping house,,no,iap,16,middle atlantic,0,0,1,,middle atlantic,sevrl times a yr,very happy,iap,6,1,1,0,,1,0,,1,0,1,0,0,0,0,0,0,
1994,working fulltime,53,no,iap,16,middle atlantic,1,0,0,,middle atlantic,sevrl times a yr,pretty happy,,1,0,1,0,,0,0,,1,0,1,0,0,0,0,0,0,0
1994,working fulltime,65,no,iap,16,middle atlantic,0,3,1,$25000 or more,middle atlantic,every week,very happy,,1,1,0,0,,0,0,,0,0,1,0,0,0,0,0,0,0
1994,working fulltime,51,no,iap,17,middle atlantic,0,0,1,$25000 or more,middle atlantic,every week,pretty happy,iap,1,0,1,0,,0,0,,0,0,1,0,0,0,0,0,0,
1994,working fulltime,34,no,iap,16,middle atlantic,1,0,0,$25000 or more,middle atlantic,nrly every week,pretty happy,iap,1,0,1,0,,0,0,,0,1,1,0,0,0,0,0,0,
