mnthborn,yearborn,age,electric,radio,tv,bicycle,educ,ceb,agefbrth,children,knowmeth,usemeth,monthfm,yearfm,agefm,idlnchld,heduc,agesq,urban,urb_educ,spirit,protest,catholic,frsthalf,educ0,evermarr
9,49,39,1,1,1,0,12,3,20,3,1,1,12,68,19,4,12,1521,1,12,0,0,0,0,0,1
12,54,33,1,1,1,0,17,2,25,2,1,1,5,78,23,2,17,1089,1,17,0,0,0,0,0,1
11,69,18,0,1,0,0,10,1,17,1,1,1,,,,4,,324,1,10,0,1,0,0,0,0
2,60,28,1,1,1,1,11,2,22,2,1,1,5,82,22,4,12,784,1,11,0,0,1,1,0,1
11,64,24,0,0,0,0,7,1,21,1,1,1,,,,4,,576,1,7,1,0,0,0,0,0
5,63,25,1,1,1,0,10,3,18,3,1,1,10,87,24,3,16,625,1,10,0,1,0,1,0,1
11,67,21,0,0,0,0,7,0,,0,1,1,,,,4,,441,1,7,0,1,0,0,0,0
12,71,16,0,0,0,0,7,0,,0,1,1,,,,4,,256,1,7,1,0,0,0,0,0
8,65,23,0,1,0,0,7,2,16,2,1,1,,,,4,,529,1,7,0,0,0,0,0,0
8,63,25,0,1,0,0,10,2,16,2,1,1,,,,3,,625,1,10,0,0,0,0,0,0
6,49,39,1,1,1,0,12,6,17,6,1,1,3,66,16,4,12,1521,1,12,0,0,0,1,0,1
7,51,37,1,1,1,1,20,2,30,2,1,1,10,79,28,2,20,1369,1,20,0,0,0,0,0,1
6,56,32,1,0,1,1,13,1,28,1,1,1,7,82,26,3,17,1024,1,13,0,0,1,1,0,1
7,41,47,1,0,0,0,4,5,22,5,1,1,4,62,20,2,0,2209,1,4,1,0,0,0,0,1
5,49,39,1,1,1,1,14,4,21,4,1,1,6,70,21,4,16,1521,1,14,0,1,0,1,0,1
12,60,28,1,1,1,0,12,0,,0,1,1,,,,2,,784,1,12,0,1,0,0,0,0
9,57,31,0,0,0,0,12,3,20,3,1,1,2,77,19,4,12,961,1,12,0,0,1,0,0,1
11,64,24,1,1,1,0,12,0,,0,1,1,,,,2,,576,1,12,0,1,0,0,0,0
8,48,40,1,1,1,0,5,7,19,5,1,1,9,66,18,4,0,1600,1,5,1,0,0,0,0,1
12,70,18,1,1,1,0,0,0,,0,1,0,11,88,17,,,324,1,0,0,0,0,0,1,1
5,57,31,1,1,1,0,12,3,20,3,1,1,2,86,28,3,17,961,1,12,0,0,1,1,0,1
12,50,38,1,1,1,0,7,1,22,1,1,1,12,80,30,4,10,1444,1,7,1,0,0,0,0,1
6,73,15,1,1,1,0,7,0,,0,1,0,,,,0,,225,1,7,1,0,0,1,0,0
6,60,28,1,1,1,0,12,1,21,1,1,1,,,,3,,784,1,12,0,0,1,1,0,0
9,45,43,1,1,1,0,10,4,18,3,1,1,8,71,25,4,7,1849,1,10,0,1,0,0,0,1
12,63,25,1,1,1,,7,1,16,1,1,1,,,,4,,625,1,7,0,0,1,0,0,0
5,67,21,1,1,1,0,10,1,17,1,1,1,,,,1,,441,1,10,0,1,0,1,0,0
6,47,41,1,1,1,1,18,3,27,3,1,1,1,73,25,4,17,1681,1,18,0,0,1,1,0,1
11,48,40,1,1,1,1,12,3,23,3,1,1,12,70,22,2,15,1600,1,12,0,0,0,0,0,1
9,63,25,0,1,0,0,6,3,19,3,1,1,1,87,23,5,7,625,1,6,0,0,0,0,0,1
9,53,35,1,1,1,0,12,2,20,2,1,1,6,71,17,2,15,1225,1,12,0,0,0,0,0,1
8,68,20,1,1,1,1,7,0,,0,1,1,,,,4,,400,1,7,0,1,0,0,0,0
4,59,29,1,1,1,1,0,1,25,1,1,1,,,,2,,841,1,0,0,0,0,1,1,0
10,64,24,1,1,0,0,12,2,18,2,1,1,7,88,23,4,14,576,1,12,0,0,0,0,0,1
6,70,18,1,1,0,0,8,0,,0,1,0,,,,,,324,1,8,0,0,0,1,0,0
6,67,21,1,1,0,0,12,0,,0,1,1,,,,4,,441,1,12,1,0,0,1,0,0
11,62,26,1,1,0,0,10,2,18,2,1,1,8,88,25,6,9,676,1,10,0,1,0,0,0,1
6,51,37,1,1,1,1,12,3,24,3,1,1,3,78,26,4,0,1369,1,12,0,1,0,1,0,1
11,61,27,1,1,0,0,12,2,22,2,1,1,,,,2,,729,1,12,1,0,0,0,0,0
7,62,26,1,1,0,0,12,2,21,2,1,1,5,86,23,4,10,676,1,12,0,1,0,0,0,1
7,54,34,1,1,1,0,15,1,22,1,1,1,,,,2,,1156,1,15,0,1,0,0,0,0
10,54,34,1,1,1,0,9,6,15,6,1,1,2,70,15,6,12,1156,1,9,0,0,1,0,0,1
11,51,37,1,1,1,0,12,3,22,3,1,1,9,73,21,3,10,1369,1,12,0,1,0,0,0,1
6,70,18,1,1,1,0,9,0,,0,1,1,,,,4,,324,1,9,1,0,0,1,0,0
3,53,35,1,1,1,0,12,3,24,3,1,1,4,82,29,3,10,1225,1,12,0,0,1,1,0,1
6,66,22,1,1,1,0,7,1,19,1,1,1,,,,3,,484,1,7,0,1,0,1,0,0
2,40,48,1,1,1,0,6,10,16,9,1,1,6,56,16,4,7,2304,1,6,1,0,0,1,0,1
6,59,29,1,1,1,0,12,4,19,4,1,1,7,87,28,4,15,841,1,12,1,0,0,1,0,1
3,65,23,1,1,1,0,5,1,18,1,1,1,,,,4,,529,1,5,0,1,0,1,0,0
4,59,29,1,1,1,1,12,2,26,2,1,1,4,84,25,3,13,841,1,12,0,1,0,1,0,1
12,66,21,1,1,1,1,12,2,19,2,1,1,1,86,19,3,10,441,1,12,0,0,0,0,0,1
10,72,16,1,1,1,1,10,0,,0,1,0,,,,2,,256,1,10,0,0,0,0,0,0
11,45,43,1,1,0,0,7,2,23,2,1,1,6,66,20,4,15,1849,1,7,0,1,0,0,0,1
10,65,23,1,1,1,1,7,1,19,1,1,1,,,,3,,529,1,7,1,0,0,0,0,0
12,66,22,1,1,1,1,12,0,,0,1,0,,,,4,,484,1,12,0,1,0,0,0,0
4,62,26,1,1,1,0,12,1,21,1,1,1,6,82,20,4,12,676,1,12,0,1,0,1,0,1
8,69,19,1,1,1,1,10,0,,0,1,1,,,,4,,361,1,10,1,0,0,0,0,0
2,64,24,0,1,0,0,12,1,18,1,1,1,11,85,21,3,12,576,1,12,0,1,0,1,0,1
5,53,35,1,1,1,1,14,3,24,3,1,1,4,81,27,3,14,1225,1,14,1,0,0,1,0,1
11,69,19,1,1,1,1,8,0,,0,1,1,,,,2,,361,1,8,0,1,0,0,0,0
3,64,24,1,1,1,1,12,0,,0,1,1,,,,3,,576,1,12,0,1,0,1,0,0
7,54,34,1,1,1,1,12,1,30,1,1,1,,,,2,,1156,1,12,0,1,0,0,0,0
8,63,25,1,1,1,1,12,1,24,1,1,1,,,,5,,625,1,12,0,0,1,0,0,0
7,63,25,1,1,0,0,5,1,18,1,1,1,,,,5,,625,1,5,1,0,0,0,0,0
1,68,20,1,1,0,0,7,0,,0,1,0,,,,2,,400,1,7,1,0,0,1,0,0
5,52,36,1,1,1,0,12,3,22,3,1,1,5,73,21,3,12,1296,1,12,1,0,0,1,0,1
10,60,28,1,1,1,0,16,2,21,1,1,1,6,83,22,3,10,784,1,16,0,1,0,0,0,1
3,60,28,1,1,0,0,12,2,23,2,1,1,7,81,21,2,12,784,1,12,0,0,1,1,0,1
8,47,41,1,1,1,1,12,3,17,3,1,1,9,64,17,3,12,1681,1,12,0,0,1,0,0,1
8,57,31,1,0,1,1,12,1,27,1,1,1,12,78,21,1,12,961,1,12,0,0,1,0,0,1
9,40,48,1,1,1,0,12,2,21,2,1,1,9,60,20,2,12,2304,1,12,0,1,0,0,0,1
6,59,29,1,1,1,1,12,2,18,2,1,1,12,76,17,2,12,841,1,12,0,0,1,1,0,1
5,44,44,1,1,0,0,5,1,28,1,1,0,3,78,33,11,,1936,1,5,0,0,1,1,0,1
10,53,35,1,1,1,1,12,3,22,3,1,1,11,72,19,3,12,1225,1,12,0,0,0,0,0,1
2,66,22,0,0,0,0,7,2,18,2,1,1,,,,4,,484,1,7,0,0,0,1,0,0
2,61,27,0,0,0,0,7,3,19,2,1,1,,,,4,,729,1,7,1,0,0,1,0,0
2,73,15,1,1,1,0,9,0,,0,1,0,,,,2,,225,1,9,0,0,0,1,0,0
9,48,40,1,1,1,0,16,2,30,2,1,1,4,78,29,2,14,1600,1,16,0,0,0,0,0,1
11,45,42,1,1,1,0,16,1,35,1,1,0,9,80,34,2,16,1764,1,16,0,0,0,0,0,1
8,39,49,1,1,1,0,15,2,22,2,1,1,3,86,46,4,15,2401,1,15,0,1,0,0,0,1
7,65,23,0,0,0,0,7,1,20,1,1,1,,,,4,,529,1,7,1,0,0,0,0,0
8,56,32,1,1,1,1,12,2,24,2,1,1,12,79,23,4,12,1024,1,12,0,0,1,0,0,1
8,62,26,1,1,1,1,10,1,16,1,1,1,1,85,22,1,10,676,1,10,0,0,1,0,0,1
6,63,25,1,1,1,1,7,1,21,1,1,1,7,86,23,4,,625,1,7,0,0,0,1,0,1
9,63,25,1,1,1,0,9,2,19,2,1,1,4,85,21,5,10,625,1,9,1,0,0,0,0,1
9,68,20,1,1,0,0,10,1,19,1,1,1,4,85,16,2,14,400,1,10,0,1,0,0,0,1
10,68,20,1,1,0,0,7,0,,0,1,1,7,86,17,2,7,400,1,7,1,0,0,0,0,1
5,54,34,1,1,1,0,12,4,17,4,1,1,6,75,21,4,12,1156,1,12,1,0,0,1,0,1
6,43,45,1,1,1,1,5,5,22,5,1,1,10,64,21,3,7,2025,1,5,0,0,0,1,0,1
8,65,23,1,1,1,1,9,1,20,1,0,0,11,82,17,10,,529,1,9,0,0,0,0,0,1
9,66,22,1,1,1,1,9,2,16,2,1,1,1,82,15,2,9,484,1,9,0,0,0,0,0,1
12,71,16,1,1,1,0,7,0,,0,1,0,8,88,16,4,12,256,1,7,1,0,0,0,0,1
7,43,45,1,1,1,0,9,3,26,3,0,0,8,70,27,3,10,2025,1,9,1,0,0,0,0,1
9,69,19,1,1,1,1,10,0,,0,1,1,,,,3,,361,1,10,1,0,0,0,0,0
12,59,28,0,0,0,0,3,2,19,2,1,1,,,,4,,784,1,3,0,0,0,0,0,0
3,65,23,0,1,0,0,11,1,21,1,1,1,1,85,19,4,10,529,1,11,0,1,0,1,0,1
2,59,29,0,1,0,0,0,1,19,1,1,1,,,,6,,841,1,0,0,0,0,1,1,0
6,68,20,0,1,0,1,7,0,,0,1,1,10,86,18,6,7,400,1,7,1,0,0,1,0,1
4,61,27,0,0,0,0,10,1,21,1,1,1,,,,3,,729,1,10,0,1,0,1,0,0
5,55,33,0,0,0,1,9,4,22,4,1,1,6,76,21,5,10,1089,1,9,1,0,0,1,0,1
11,69,19,0,1,0,1,10,0,,0,1,1,,,,4,,361,1,10,0,0,0,0,0,0
1,49,39,1,1,1,1,10,2,27,2,1,0,2,75,26,6,12,1521,1,10,0,0,1,1,0,1
10,72,16,1,1,1,1,6,0,,0,0,0,,,,2,,256,1,6,0,0,1,0,0,0
8,58,30,1,1,1,1,16,2,27,2,1,1,6,82,23,4,10,900,1,16,0,0,1,0,0,1
5,66,22,0,0,0,0,7,1,21,0,1,1,,,,4,,484,1,7,0,1,0,1,0,0
5,60,28,1,1,1,0,12,0,,0,1,1,11,87,27,2,12,784,1,12,0,1,0,1,0,1
6,59,29,0,0,0,0,7,2,19,2,1,1,,,,4,,841,1,7,1,0,0,1,0,0
1,64,24,0,0,0,0,0,0,,0,1,1,,,,5,,576,1,0,0,1,0,1,1,0
2,51,37,1,1,1,0,10,3,22,3,1,1,8,75,24,4,10,1369,1,10,1,0,0,1,0,1
6,57,31,0,0,0,0,0,3,17,3,1,1,,,,6,,961,1,0,0,0,0,1,1,0
12,54,33,1,1,1,0,12,4,20,4,1,1,9,75,20,3,12,1089,1,12,0,1,0,0,0,1
8,66,22,0,0,0,0,0,1,18,1,1,1,,,,2,,484,1,0,0,1,0,0,1,0
12,40,47,0,1,0,0,3,9,22,9,1,1,7,78,37,10,7,2209,1,3,0,1,0,0,0,1
12,47,40,0,0,0,0,12,4,23,4,1,1,11,72,24,6,10,1600,1,12,0,1,0,0,0,1
5,73,15,0,1,0,0,7,0,,0,1,0,,,,2,,225,1,7,0,0,0,1,0,0
12,61,26,0,1,0,0,7,3,18,3,1,0,12,79,18,4,7,676,1,7,0,0,0,0,0,1
6,59,29,0,1,0,0,7,1,24,1,1,1,,,,2,,841,1,7,0,0,0,1,0,0
6,56,32,0,1,0,1,6,5,16,4,1,1,1,88,31,6,0,1024,1,6,1,0,0,1,0,1
1,51,37,0,1,1,0,6,0,,0,1,0,8,72,21,,5,1369,1,6,0,1,0,1,0,1
12,66,21,0,1,1,0,10,0,,0,1,1,,,,6,,441,1,10,0,1,0,0,0,0
12,60,27,0,1,0,0,10,1,20,1,1,1,,,,2,,729,1,10,1,0,0,0,0,0
12,50,37,0,0,0,0,7,0,,0,1,0,7,82,31,4,10,1369,1,7,0,1,0,0,0,1
10,62,26,0,0,0,0,7,3,15,2,1,0,4,85,22,5,5,676,1,7,0,1,0,0,0,1
6,54,34,0,1,0,0,0,3,18,3,1,0,6,70,16,4,8,1156,1,0,0,0,0,1,1,1
11,72,15,0,1,0,0,7,0,,0,1,0,,,,0,,225,1,7,0,1,0,0,0,0
6,40,48,0,1,0,0,0,9,17,3,1,1,8,56,16,5,0,2304,1,0,0,0,0,1,1,1
8,65,23,0,1,0,0,5,1,17,1,1,1,,,,4,,529,1,5,0,1,0,0,0,0
4,65,23,0,1,0,1,9,1,20,1,1,0,,,,4,,529,1,9,1,0,0,1,0,0
7,65,23,1,1,1,1,13,0,,0,1,0,9,87,22,3,14,529,1,13,0,0,0,0,0,1
7,58,30,1,1,1,1,14,2,16,2,1,0,1,74,15,2,14,900,1,14,0,0,1,0,0,1
12,58,29,1,0,0,0,10,2,23,2,1,1,,,,4,,841,1,10,0,0,1,0,0,0
8,43,45,1,1,0,0,4,0,,0,0,0,,,,10,,2025,1,4,1,0,0,0,0,0
12,58,29,1,1,1,0,14,3,20,3,1,1,7,77,18,3,13,841,1,14,1,0,0,0,0,1
1,58,30,1,1,1,0,9,2,19,2,1,1,,,,4,,900,1,9,1,0,0,1,0,0
3,61,27,1,1,1,1,12,2,17,2,1,1,2,78,16,2,12,729,1,12,0,1,0,1,0,1
11,60,28,1,1,0,0,12,4,21,4,1,1,,,,4,,784,1,12,0,0,1,0,0,0
1,59,29,1,1,0,0,0,3,18,3,1,0,,,,6,,841,1,0,0,1,0,1,1,0
5,61,27,1,1,0,0,0,2,21,2,1,1,,,,4,,729,1,0,0,0,1,1,1,0
6,62,26,1,1,0,0,10,3,19,3,1,1,4,79,16,4,10,676,1,10,0,0,1,1,0,1
7,58,30,1,1,0,0,4,6,17,6,1,1,3,77,18,,10,900,1,4,0,0,1,0,0,1
9,62,26,1,1,0,0,10,1,20,1,1,1,4,82,19,4,10,676,1,10,1,0,0,0,0,1
7,55,33,1,1,1,0,9,3,21,2,1,1,11,75,20,6,2,1089,1,9,1,0,0,0,0,1
11,55,33,1,1,0,0,10,3,23,3,1,1,,,,2,,1089,1,10,1,0,0,0,0,0
4,72,16,1,1,0,0,9,0,,0,1,1,,,,2,,256,1,9,1,0,0,1,0,0
11,70,18,1,1,0,0,7,0,,0,1,1,,,,4,,324,1,7,1,0,0,0,0,0
4,49,39,1,1,1,0,10,1,30,1,1,0,4,75,26,4,10,1521,1,10,1,0,0,1,0,1
6,71,17,1,1,1,0,7,1,16,1,1,0,,,,4,,289,1,7,1,0,0,1,0,0
1,66,22,1,1,0,0,0,1,20,1,1,1,,,,5,,484,1,0,0,0,0,1,1,0
4,66,22,1,1,0,0,7,0,,0,0,0,,,,5,,484,1,7,0,0,0,1,0,0
12,52,35,1,1,0,0,9,4,21,3,1,1,6,75,22,4,7,1225,1,9,0,1,0,0,0,1
7,69,19,1,1,0,0,4,1,16,1,1,1,,,,4,,361,1,4,1,0,0,0,0,0
4,60,28,0,1,0,0,9,4,17,4,1,1,3,83,22,6,7,784,1,9,1,0,0,1,0,1
4,66,22,0,1,0,0,8,2,17,2,1,1,4,83,17,6,10,484,1,8,0,0,1,1,0,1
10,62,26,0,1,0,0,0,3,18,3,1,1,3,82,19,5,,676,1,0,1,0,0,0,1,1
6,50,38,0,0,0,0,6,4,15,4,1,0,1,63,12,5,2,1444,1,6,1,0,0,1,0,1
8,52,36,0,1,0,0,4,6,21,6,1,1,,,,3,,1296,1,4,0,1,0,0,0,0
6,59,29,0,1,0,0,5,4,16,3,1,1,,,,6,,841,1,5,0,1,0,1,0,0
11,60,28,1,1,0,0,10,1,22,1,1,1,,,,4,,784,1,10,0,0,1,0,0,0
12,65,23,1,1,0,1,3,0,,0,1,0,,,,4,,529,1,3,1,0,0,0,0,0
9,64,24,0,1,0,0,10,1,18,1,1,1,,,,4,,576,1,10,0,0,0,0,0,0
2,70,18,0,1,0,0,0,0,,0,1,0,,,,2,,324,1,0,0,0,0,1,1,0
4,66,22,0,1,0,0,10,1,21,1,1,1,,,,4,,484,1,10,0,0,0,1,0,0
7,48,40,0,1,0,0,10,1,26,1,1,0,6,81,32,4,7,1600,1,10,0,0,1,0,0,1
10,72,16,0,1,1,1,9,0,,0,1,0,,,,5,,256,1,9,0,0,0,0,0,0
3,58,30,0,1,0,1,10,2,25,1,1,1,1,83,24,4,7,900,1,10,0,0,1,1,0,1
10,63,25,0,1,0,0,10,1,19,1,1,0,6,85,21,5,0,625,1,10,0,0,0,0,0,1
3,41,47,0,1,0,0,0,1,21,1,1,0,7,60,19,8,4,2209,1,0,1,0,0,1,1,1
10,50,38,1,1,1,0,12,2,22,2,1,1,1,72,21,2,12,1444,1,12,0,0,1,0,0,1
9,44,44,0,1,1,0,5,3,15,3,1,1,,,,3,,1936,1,5,0,0,1,0,0,0
5,47,41,0,1,0,1,7,4,27,4,1,1,11,85,38,6,6,1681,1,7,1,0,0,1,0,1
3,62,26,0,1,0,0,10,0,,0,1,1,,,,4,,676,1,10,0,1,0,1,0,0
9,67,21,0,1,0,0,5,0,,0,1,0,,,,2,,441,1,5,0,0,0,0,0,0
6,62,26,0,0,0,0,5,3,20,2,1,1,,,,5,,676,1,5,0,0,0,1,0,0
