state,district,democ,vote90,vote88,inexp90,chexp90,inexp88,chexp88,prtystr,rptchall,tenure,lawyer,linexp90,lchexp90,linexp88,lchexp88,incshr90,incshr88,cvote,clinexp,clchexp,cincshr,win88,win90,cwin
CA,19,0,55,50,658365.0,241815.0,1470674.0,1548193.0,54,0,16,1,13.397514343261719,12.395928382873535,14.201231002807617,14.252598762512207,73.13703918457031,48.71609115600586,5,-0.8037166595458984,-1.8566703796386719,24.420948028564453,1,1,0
CA,23,1,62,64,201404.0,360389.0,140486.0,100956.0,56,1,14,1,12.213068008422852,12.794939041137695,11.852863311767578,11.522439956665039,35.850215911865234,58.18622970581055,-2,0.36020469665527344,1.2724990844726562,-22.336013793945312,1,1,0
CA,24,1,69,72,287505.0,1830.0,191334.0,15449.0,65,1,16,1,12.568995475769043,7.512071132659912,12.161775588989258,9.645299911499023,99.36751556396484,92.52888488769531,-3,0.40721988677978516,-2.1332287788391113,6.838630676269531,1,1,0
CA,26,1,61,70,450401.0,82453.0,409233.0,,55,0,8,1,13.01789379119873,11.31998348236084,12.922039985656738,,84.52615356445312,,-9,0.09585380554199219,,,1,1,0
CA,27,1,58,68,587961.0,146206.0,398597.0,15239.0,54,0,8,1,13.284416198730469,11.89277172088623,12.895706176757812,9.631612777709961,80.08545684814453,96.317626953125,-10,0.38871002197265625,2.2611589431762695,-16.23217010498047,1,1,0
CA,28,1,73,76,113669.0,3799.0,114523.0,,73,1,12,1,11.641045570373535,8.242493629455566,11.648530960083008,,96.76593017578125,,-3,-0.007485389709472656,,,1,1,0
CA,30,1,58,60,186130.0,72867.0,460622.0,382111.0,53,0,8,0,12.134201049804688,11.196391105651855,13.040332794189453,12.853466033935547,71.8656997680664,54.658119201660156,-2,-0.9061317443847656,-1.6570749282836914,17.20758056640625,1,1,0
CA,32,1,62,67,462503.0,7579.0,457410.0,20608.0,49,1,22,0,13.044408798217773,8.933136940002441,13.03333568572998,9.93343448638916,98.38772583007812,95.6888656616211,-5,0.011073112487792969,-1.0002975463867188,2.6988601684570312,1,1,0
CA,33,0,64,69,172451.0,29177.0,186183.0,,62,0,10,0,12.057868003845215,10.281135559082031,12.134485244750977,,85.52928924560547,,-5,-0.07661724090576172,,,1,1,0
CA,34,1,61,63,217810.0,75123.0,227098.0,149886.0,50,0,8,0,12.291378021240234,11.226881980895996,12.333136558532715,11.917630195617676,74.35488891601562,60.240753173828125,-2,-0.04175853729248047,-0.6907482147216797,14.1141357421875,1,1,0
CA,36,1,53,54,822686.0,538156.0,532897.0,218696.0,47,0,18,0,13.620329856872559,13.195903778076172,13.186083793640137,12.295437812805176,60.45418930053711,70.90233612060547,-1,0.4342460632324219,0.9004659652709961,-10.44814682006836,1,1,0
CA,37,0,50,64,602444.0,624560.0,122839.0,13558.0,68,0,8,0,13.30875015258789,13.344802856445312,11.718629837036133,9.514732360839844,49.09878158569336,90.05989837646484,-14,1.5901203155517578,3.8300704956054688,-40.961116790771484,1,1,0
CA,40,0,68,67,682365.0,36124.0,1110126.0,47746.0,68,0,2,1,13.433320045471191,10.494712829589844,13.919983863830566,10.773650169372559,94.97222900390625,95.87640380859375,1,-0.486663818359375,-0.27893733978271484,-0.9041748046875,1,1,0
CA,42,0,59,64,398963.0,28350.0,494487.0,11889.0,65,1,2,0,12.896623611450195,10.252382278442383,13.111275672912598,9.383368492126465,93.36551666259766,97.65213775634766,-5,-0.21465206146240234,0.869013786315918,-4.28662109375,1,1,0
CO,1,1,64,70,521500.0,161266.0,217503.0,26040.0,61,0,18,1,13.164464950561523,11.99081039428711,12.28996753692627,10.167388916015625,76.38048553466797,89.30784606933594,-6,0.8744974136352539,1.8234214782714844,-12.927360534667969,1,1,0
CO,2,1,61,63,396017.0,49080.0,721647.0,85095.0,50,0,4,1,12.889212608337402,10.801206588745117,13.489291191101074,11.351523399353027,88.97319030761719,89.45201873779297,-2,-0.6000785827636719,-0.5503168106079102,-0.47882843017578125,1,1,0
CO,3,1,70,78,335760.0,26917.0,482789.0,17936.0,46,0,4,0,12.724151611328125,10.200512886047363,13.087334632873535,9.794565200805664,92.5782470703125,96.4179916381836,-8,-0.36318302154541016,0.4059476852416992,-3.8397445678710938,1,1,0
CO,5,0,66,75,111435.0,15288.0,183229.0,930.0,67,0,4,0,11.621196746826172,9.6348237991333,12.118492126464844,6.835184574127197,87.9358901977539,99.49500274658203,-9,-0.4972953796386719,2.7996392250061035,-11.559112548828125,1,1,0
CO,6,0,65,63,280103.0,2958.0,636204.0,489303.0,57,0,7,0,12.542912483215332,7.9922685623168945,13.363274574279785,13.100737571716309,98.95499420166016,56.52599334716797,2,-0.8203620910644531,-5.108469009399414,42.42900085449219,1,1,0
CT,2,1,60,64,464500.0,112881.0,727919.0,246903.0,49,0,10,0,13.04871654510498,11.634089469909668,13.497944831848145,12.41675090789795,80.44947814941406,74.67198944091797,-4,-0.44922828674316406,-0.7826614379882812,5.777488708496094,1,1,0
CT,4,0,75,72,397417.0,90634.0,372680.0,44410.0,57,0,3,0,12.892741203308105,11.41458511352539,12.828474998474121,10.70121955871582,81.42939758300781,89.3524169921875,3,0.06426620483398438,0.7133655548095703,-7.9230194091796875,1,1,0
CT,6,0,74,26,556718.0,22211.0,399370.0,128853.0,53,0,8,0,13.229814529418945,10.008342742919922,12.89764404296875,11.766427040100098,96.1634292602539,75.6063232421875,48,0.3321704864501953,-1.7580842971801758,20.557106018066406,1,1,0
DE,1,1,66,68,521336.0,49770.0,371747.0,184712.0,43,0,8,0,13.16415023803711,10.815167427062988,12.825968742370605,12.126553535461426,91.28533172607422,66.80581665039062,-2,0.3381814956665039,-1.3113861083984375,24.479515075683594,1,1,0
FL,1,1,52,67,158280.0,182229.0,210940.0,23912.0,27,0,12,0,11.972121238708496,12.113018989562988,12.259328842163086,10.082136154174805,46.48335266113281,89.81826782226562,-15,-0.28720760345458984,2.0308828353881836,-43.33491516113281,1,1,0
FL,4,0,56,50,634891.0,1067366.0,313415.0,1069699.0,36,0,2,1,13.36120891571045,13.880704879760742,12.65528392791748,13.882887840270996,37.29701232910156,22.660099029541016,6,0.7059249877929688,-0.0021829605102539062,14.636913299560547,1,1,0
FL,6,0,59,54,462925.0,26443.0,408292.0,503654.0,61,0,2,0,13.045320510864258,10.182746887207031,12.919737815856934,13.129644393920898,94.59649658203125,44.77151107788086,5,0.12558269500732422,-2.946897506713867,49.82498550415039,1,1,0
FL,14,1,66,55,469101.0,213139.0,971883.0,777988.0,47,0,2,1,13.058573722839355,12.269700050354004,13.786991119384766,13.56446647644043,68.75894165039062,55.54026412963867,11,-0.7284173965454102,-1.2947664260864258,13.218677520751953,1,1,0
FL,18,0,60,53,560847.0,112071.0,1059283.0,886568.0,58,0,1,0,13.237203598022461,11.626888275146484,13.873103141784668,13.695113182067871,83.34552001953125,54.43803405761719,7,-0.635899543762207,-2.0682249069213867,28.907485961914062,1,1,0
FL,19,1,62,72,500117.0,160220.0,337596.0,4907.0,41,0,36,1,13.122597694396973,11.98430347442627,12.729604721069336,8.498417854309082,75.73663330078125,98.56731414794922,-10,0.3929929733276367,3.4858856201171875,-22.83068084716797,1,1,0
GA,1,1,71,67,399035.0,19130.0,337048.0,40461.0,39,1,8,0,12.896804809570312,9.859012603759766,12.727980613708496,10.608094215393066,95.42524719238281,89.28211212158203,4,0.1688241958618164,-0.7490816116333008,6.143135070800781,1,1,0
GA,4,1,52,60,711015.0,696859.0,516737.0,696301.0,41,0,2,0,13.474449157714844,13.454338073730469,13.155289649963379,13.453536987304688,50.502742767333984,42.59858322143555,-8,0.31915950775146484,0.00080108642578125,7.9041595458984375,1,1,0
GA,5,1,76,78,108118.0,7755.0,101540.0,6047.0,68,1,4,0,11.590978622436523,8.956092834472656,11.528207778930664,8.707317352294922,93.30732727050781,94.37943267822266,-2,0.06277084350585938,0.24877548217773438,-1.0721054077148438,1,1,0
GA,6,0,50,59,1538945.0,333873.0,838708.0,358354.0,67,1,12,0,14.246607780456543,12.71851634979248,13.639617919921875,12.789277076721191,82.17269134521484,70.06387329101562,-9,0.606989860534668,-0.07076072692871094,12.108818054199219,1,1,0
GA,7,1,60,65,404874.0,18692.0,382281.0,60694.0,29,0,7,1,12.911331176757812,9.835850715637207,12.853911399841309,11.01360034942627,95.58699035644531,86.29854583740234,-5,0.057419776916503906,-1.1777496337890625,9.288444519042969,1,1,0
GA,9,1,56,63,318247.0,134772.0,405040.0,64400.0,29,1,14,1,12.67058277130127,11.811339378356934,12.911741256713867,11.072869300842285,70.25025177001953,86.28152465820312,-7,-0.24115848541259766,0.7384700775146484,-16.031272888183594,1,1,0
GA,10,1,58,64,937464.0,154326.0,193123.0,6760.0,35,0,14,1,13.750933647155762,11.946822166442871,12.171082496643066,8.818778038024902,85.86486053466797,96.6180191040039,-6,1.5798511505126953,3.1280441284179688,-10.753158569335938,1,1,0
ID,2,1,64,63,406219.0,141681.0,502083.0,206960.0,33,0,6,0,12.914648056030273,11.861332893371582,13.126521110534668,12.240281105041504,74.14108276367188,70.81136322021484,1,-0.21187305450439453,-0.3789482116699219,3.3297195434570312,1,1,0
IL,1,1,94,96,125509.0,42901.0,145905.0,,95,0,7,0,11.740132331848145,10.666650772094727,11.890710830688477,,74.5258560180664,,-2,-0.15057849884033203,,,1,1,0
IL,4,1,59,50,472757.0,642391.0,359942.0,348339.0,44,0,2,1,13.066336631774902,13.372952461242676,12.79369831085205,12.760931015014648,42.39410400390625,50.819095611572266,9,0.27263832092285156,0.6120214462280273,-8.424991607666016,1,1,0
IL,5,1,66,61,171746.0,42218.0,165144.0,48940.0,48,0,8,0,12.05377197265625,10.650602340698242,12.014573097229004,10.79835033416748,80.26864624023438,77.13981628417969,5,0.039198875427246094,-0.14774799346923828,3.1288299560546875,1,1,0
IL,6,0,67,74,270435.0,1055.0,281229.0,26555.0,68,0,16,1,12.507786750793457,6.961296081542969,12.546924591064453,10.186973571777344,99.61140441894531,91.3721923828125,-7,-0.039137840270996094,-3.225677490234375,8.239212036132812,1,1,0
IL,9,1,71,66,839106.0,15164.0,122900.0,28324.0,61,1,26,1,13.640091896057129,9.626679420471191,11.71912670135498,10.25146484375,98.22491455078125,81.27017211914062,5,1.9209651947021484,-0.6247854232788086,16.954742431640625,1,1,0
IL,11,1,54,65,855952.0,407617.0,239158.0,41259.0,46,0,26,0,13.659969329833984,12.918083190917969,12.384880065917969,10.62762451171875,67.7408218383789,85.28655242919922,-11,1.2750892639160156,2.2904586791992188,-17.545730590820312,1,1,0
IL,17,1,67,65,390401.0,115495.0,471233.0,124133.0,53,0,8,1,12.874929428100586,11.656982421875,13.06310749053955,11.729108810424805,77.17021179199219,79.15013885498047,2,-0.18817806243896484,-0.07212638854980469,-1.9799270629882812,1,1,0
IL,19,1,66,64,258093.0,3581.0,193205.0,16241.0,45,1,6,1,12.461074829101562,8.18339729309082,12.171506881713867,9.695294380187988,98.63150024414062,92.24573516845703,2,0.2895679473876953,-1.511897087097168,6.385765075683594,1,1,0
IL,20,1,66,69,209360.0,44861.0,251634.0,57708.0,49,1,8,1,12.251810073852539,10.711323738098145,12.435730934143066,10.963150978088379,82.35354614257812,81.34491729736328,-3,-0.18392086029052734,-0.2518272399902344,1.0086288452148438,1,1,0
IL,21,1,66,53,380559.0,26230.0,394412.0,69486.0,54,1,2,0,12.849396705627441,10.17465877532959,12.885150909423828,11.148880958557129,93.55194091796875,85.02127838134766,13,-0.03575420379638672,-0.9742221832275391,8.530662536621094,1,1,0
IN,1,1,66,77,299280.0,21355.0,141855.0,,59,0,6,1,12.609134674072266,9.969040870666504,11.862560272216797,,93.33977508544922,,-11,0.7465744018554688,,,1,1,0
IN,2,1,59,53,773178.0,595457.0,444422.0,332880.0,35,1,16,0,13.55826473236084,13.29708480834961,13.00452995300293,12.715537071228027,56.492637634277344,57.17494583129883,6,0.5537347793579102,0.581547737121582,-0.6823081970214844,1,1,0
IN,3,0,49,54,745145.0,473055.0,1085140.0,584006.0,59,0,,,13.521333694458008,13.066967010498047,13.89721965789795,13.277666091918945,61.16770553588867,65.01168823242188,-5,-0.3758859634399414,-0.21069908142089844,-3.843982696533203,1,0,-1
IN,4,1,61,51,752362.0,575363.0,415975.0,401811.0,33,0,1,0,13.530972480773926,13.26275634765625,12.938380241394043,12.90373706817627,56.66550064086914,50.865997314453125,10,0.5925922393798828,0.35901927947998047,5.799503326416016,1,1,0
IN,5,1,53,56,652280.0,781224.0,689086.0,244985.0,35,0,4,0,13.388229370117188,13.56861686706543,13.443120956420898,12.408952713012695,45.50248718261719,73.7723388671875,-3,-0.05489158630371094,1.1596641540527344,-28.269851684570312,1,1,0
IN,6,0,63,73,311727.0,41180.0,333723.0,11743.0,69,0,8,0,12.649883270263672,10.625707626342773,12.718066215515137,9.371012687683105,88.3311996459961,96.60082244873047,-10,-0.06818294525146484,1.254694938659668,-8.269622802734375,1,1,0
IN,8,1,55,62,446040.0,146961.0,551484.0,130243.0,42,0,8,1,13.008163452148438,11.89792251586914,13.220368385314941,11.777156829833984,75.21741485595703,80.8951416015625,-7,-0.2122049331665039,0.12076568603515625,-5.677726745605469,1,1,0
IN,10,1,66,61,14816.0,13201.0,35786.0,24919.0,51,0,16,1,9.603463172912598,9.48804759979248,10.485312461853027,10.123385429382324,52.882179260253906,58.95066452026367,5,-0.8818492889404297,-0.6353378295898438,-6.068485260009766,1,1,0
IA,5,0,68,64,418134.0,63591.0,420730.0,115701.0,47,0,6,0,12.943556785583496,11.060227394104004,12.949746131896973,11.658764839172363,86.79931640625,78.43133544921875,4,-0.0061893463134765625,-0.5985374450683594,8.36798095703125,1,1,0
IA,6,0,72,64,322563.0,42597.0,523108.0,175951.0,50,0,4,0,12.684053421020508,10.659539222717285,13.167543411254883,12.077960968017578,88.33470153808594,74.83030700683594,8,-0.483489990234375,-1.418421745300293,13.50439453125,1,1,0
KS,2,1,63,73,504861.0,84568.0,388866.0,119263.0,46,0,8,1,13.132038116455078,11.345311164855957,12.870989799499512,11.689085960388184,85.65255737304688,76.52899169921875,-10,0.2610483169555664,-0.34377479553222656,9.123565673828125,1,1,0
KS,3,0,60,74,209986.0,76007.0,234583.0,13483.0,54,0,6,0,12.254796028137207,11.238580703735352,12.365564346313477,9.509184837341309,73.42347717285156,94.56475067138672,-14,-0.11076831817626953,1.729395866394043,-21.141273498535156,1,1,0
KS,4,1,71,64,355581.0,4317.0,545755.0,149035.0,43,0,14,1,12.781508445739746,8.370315551757812,13.209925651550293,11.91193675994873,98.80049133300781,78.54963684082031,7,-0.4284172058105469,-3.541621208190918,20.2508544921875,1,1,0
KY,2,1,66,61,6768.0,144315.0,8397.0,84102.0,41,1,37,1,8.819960594177246,11.879754066467285,9.035630226135254,11.3397855758667,4.47965669631958,9.077936172485352,5,-0.2156696319580078,0.5399684906005859,-4.5982794761657715,1,1,0
KY,3,1,61,70,303488.0,327390.0,371431.0,4931.0,53,0,20,1,12.62309741973877,12.698907852172852,12.825118064880371,8.503296852111816,48.105655670166016,98.68982696533203,-9,-0.20202064514160156,4.195611000061035,-50.584171295166016,1,1,0
KY,4,0,69,74,563409.0,76580.0,468870.0,23636.0,65,0,4,0,13.241761207580566,11.24609088897705,13.058080673217773,10.070526123046875,88.03417205810547,95.20087432861328,-5,0.18368053436279297,1.1755647659301758,-7.1667022705078125,1,1,0
KY,7,1,51,59,344561.0,172257.0,411699.0,432403.0,55,1,6,1,12.75002670288086,12.056742668151855,12.928048133850098,12.977113723754883,66.6697006225586,48.77360916137695,-8,-0.17802143096923828,-0.9203710556030273,17.89609146118164,1,1,0
ME,2,0,51,66,306289.0,228344.0,202317.0,68390.0,55,0,12,0,12.632284164428711,12.338608741760254,12.217591285705566,11.13298225402832,57.289581298828125,74.73652648925781,-15,0.41469287872314453,1.2056264877319336,-17.446945190429688,1,1,0
MD,1,1,43,50,771809.0,264932.0,684204.0,118568.0,36,1,,,13.556492805480957,12.487228393554688,13.43601131439209,11.683241844177246,74.44569396972656,85.23017883300781,-7,0.12048149108886719,0.8039865493774414,-10.78448486328125,1,0,-1
MD,3,1,70,73,363847.0,4234.0,354701.0,18893.0,54,0,4,1,12.804489135742188,8.350902557373047,12.779030799865723,9.84654712677002,98.8497085571289,94.94290924072266,-3,0.025458335876464844,-1.4956445693969727,3.90679931640625,1,1,0
MD,4,1,59,68,560909.0,41129.0,599881.0,,42,0,4,0,13.237314224243164,10.624468803405762,13.304486274719238,,93.16837310791016,,-9,-0.06717205047607422,,,1,1,0
MD,5,1,81,79,716469.0,8709.0,416187.0,,59,0,9,1,13.48208999633789,9.072112083435059,12.938889503479004,,98.79905700683594,,2,0.5432004928588867,,,1,1,0
MD,6,1,65,75,325997.0,3557.0,213554.0,,34,0,12,0,12.694643020629883,8.17667293548584,12.271644592285156,,98.92066192626953,,-10,0.42299842834472656,,,1,1,0
MA,4,1,66,60,718160.0,31903.0,343097.0,34368.0,57,0,10,1,13.484447479248047,10.370455741882324,12.745768547058105,10.444881439208984,95.74662017822266,90.89505004882812,6,0.7386789321899414,-0.07442569732666016,4.851570129394531,1,1,0
MA,5,1,52,84,861333.0,236851.0,344930.0,15396.0,47,0,6,0,13.666236877441406,12.375186920166016,12.751096725463867,9.641862869262695,78.43248748779297,95.72720336914062,-32,0.9151401519775391,2.7333240509033203,-17.294715881347656,1,1,0
MA,6,1,65,70,333912.0,19771.0,337199.0,63013.0,50,0,12,0,12.718632698059082,9.891971588134766,12.728428840637207,11.051095962524414,94.40996551513672,84.25509643554688,-5,-0.009796142578125,-1.1591243743896484,10.154869079589844,1,1,0
MA,10,1,53,67,620387.0,271902.0,235946.0,121056.0,51,1,18,0,13.338098526000977,12.51319694519043,12.371357917785645,11.704008102416992,69.527587890625,66.09095001220703,-14,0.966740608215332,0.8091888427734375,3.4366378784179688,1,1,0
MI,1,1,89,91,288906.0,545.0,124823.0,,89,0,26,1,12.573856353759766,6.300786018371582,11.734651565551758,,99.81171417236328,,-2,0.8392047882080078,,,1,1,0
MI,2,0,64,54,135801.0,9573.0,876779.0,750493.0,58,0,14,0,11.81894588470459,9.166702270507812,13.68401050567627,13.528485298156738,93.4149169921875,53.88029861450195,10,-1.8650646209716797,-4.361783027648926,39.53461837768555,1,1,0
MI,3,1,58,57,815244.0,274106.0,600940.0,164856.0,45,0,12,0,13.611242294311523,12.521269798278809,13.30625057220459,12.01282787322998,74.83765411376953,78.47259521484375,1,0.3049917221069336,0.5084419250488281,-3.6349411010742188,1,1,0
MI,4,0,58,71,503164.0,78392.0,323829.0,8577.0,63,0,4,0,13.128671646118164,11.269476890563965,12.687971115112305,9.056839942932129,86.52030181884766,97.41972351074219,-13,0.4407005310058594,2.212636947631836,-10.899421691894531,1,1,0
MI,7,1,68,76,222531.0,6382.0,150594.0,1310.0,55,0,14,0,12.312821388244629,8.761237144470215,11.922342300415039,7.1777825355529785,97.21204376220703,99.13761138916016,-8,0.39047908782958984,1.5834546089172363,-1.925567626953125,1,1,0
MI,8,1,69,72,176815.0,433.0,128400.0,2188.0,50,0,16,1,12.08285903930664,6.070737838745117,11.762906074523926,7.6907429695129395,99.75570678710938,98.32450103759766,-3,0.31995296478271484,-1.6200051307678223,1.4312057495117188,1,1,0
MI,9,0,55,70,452960.0,22155.0,450801.0,14866.0,62,0,24,1,13.0235595703125,10.005818367004395,13.018781661987305,9.606831550598145,95.33692169189453,96.80758666992188,-15,0.0047779083251953125,0.39898681640625,-1.4706649780273438,1,1,0
MI,11,0,61,60,325232.0,4072.0,680819.0,415660.0,52,0,12,0,12.692294120788574,8.3118896484375,13.431052207946777,12.937623023986816,98.7634506225586,62.09138488769531,1,-0.7387580871582031,-4.625733375549316,36.67206573486328,1,1,0
MI,12,1,63,54,1188905.0,295184.0,434200.0,143886.0,39,0,14,0,13.988543510437012,12.595354080200195,12.981260299682617,11.876776695251465,80.1100845336914,75.10993194580078,9,1.0072832107543945,0.7185773849487305,5.000152587890625,1,1,0
MI,14,1,64,63,187545.0,1068.0,137560.0,3537.0,44,1,10,1,12.14177417755127,6.973543167114258,11.831815719604492,8.17103385925293,99.43376159667969,97.49321746826172,1,0.30995845794677734,-1.1974906921386719,1.9405441284179688,1,1,0
MI,15,1,61,64,354964.0,42834.0,234435.0,7993.0,45,1,26,1,12.77977180480957,10.665087699890137,12.364933967590332,8.986321449279785,89.23222351074219,96.70294189453125,-3,0.4148378372192383,1.6787662506103516,-7.4707183837890625,1,1,0
MI,16,1,67,97,602952.0,3774.0,462180.0,,46,0,35,1,13.309593200683594,8.23589038848877,13.043709754943848,,99.37797546386719,,-30,0.2658834457397461,,,1,1,0
MI,18,0,66,77,78205.0,78205.0,77103.0,9459.0,70,0,34,0,11.267088890075684,11.267088890075684,11.252897262573242,9.154722213745117,50.0,89.07257080078125,-11,0.014191627502441406,2.1123666763305664,-39.07257080078125,1,1,0
MN,2,0,62,38,670606.0,17778.0,623776.0,152295.0,51,0,10,0,13.415937423706055,9.785717010498047,13.343546867370605,11.933574676513672,97.41742706298828,80.37615203857422,24,0.07239055633544922,-2.147857666015625,17.041275024414062,1,1,0
MN,4,1,65,72,266699.0,57415.0,216172.0,35789.0,61,1,14,0,12.493875503540039,10.958061218261719,12.283829689025879,10.485395431518555,82.28555297851562,85.79581451416016,-7,0.21004581451416016,0.47266578674316406,-3.5102615356445312,1,1,0
MN,5,1,73,72,321644.0,9497.0,281455.0,16915.0,65,1,12,0,12.681200981140137,9.158731460571289,12.547727584838867,9.735956192016602,97.13203430175781,94.33086395263672,1,0.13347339630126953,-0.5772247314453125,2.8011703491210938,1,1,0
MN,6,1,65,65,378087.0,16219.0,320219.0,100941.0,51,0,8,1,12.842879295349121,9.693938255310059,12.67676067352295,11.52229118347168,95.8866958618164,76.03262329101562,0,0.16611862182617188,-1.828352928161621,19.85407257080078,1,1,0
MN,7,0,55,46,487224.0,242364.0,288782.0,320437.0,51,0,,,13.096479415893555,12.39819622039795,12.573427200317383,12.677440643310547,66.78070068359375,47.402000427246094,9,0.5230522155761719,-0.27924442291259766,19.378700256347656,1,1,0
MN,8,1,73,75,229262.0,16681.0,157802.0,7743.0,60,1,16,0,12.342620849609375,9.722025871276855,11.969096183776855,8.954544067382812,93.21753692626953,95.32272338867188,-2,0.37352466583251953,0.767481803894043,-2.1051864624023438,1,1,0
MS,1,1,65,78,96254.0,14750.0,58370.0,,40,0,49,1,11.474745750427246,9.598998069763184,10.974556922912598,,86.71218872070312,,-13,0.5001888275146484,,,1,1,0
MO,1,1,61,72,196909.0,12666.0,134200.0,,72,0,22,0,12.190497398376465,9.446676254272461,11.807086944580078,,93.95633697509766,,-11,0.3834104537963867,,,1,1,0
MO,2,0,50,66,670758.0,340390.0,693066.0,254492.0,61,0,,,13.416163444519043,12.737847328186035,13.448880195617676,12.44702434539795,66.3362808227539,73.14232635498047,-16,-0.03271675109863281,0.29082298278808594,-6.8060455322265625,1,1,0
