year,fcode,employ,sales,avgsal,scrap,rework,tothrs,union,grant,d89,d88,totrain,hrsemp,lscrap,lemploy,lsales,lrework,lhrsemp,lscrap_1,grant_1,clscrap,cgrant,clemploy,clsales,lavgsal,clavgsal,cgrant_1,chrsemp,clhrsemp
1989,410523.0,98,15000000.0,23920.0,0.05000000074505806,,60,0,0,1,0,40,24.489795684814453,-2.995732307434082,4.584967613220215,16.523561477661133,,3.2382781505584717,-2.995732307434082,0,0.0,0,0.14231634140014648,0.31015586853027344,10.082469940185547,0.06744098663330078,0,5.666265487670898,0.25140857696533203
1987,410529.0,45,1535242.0,20000.0,,,0,0,0,0,0,0,0.0,,3.8066625595092773,14.2441987991333,,0.0,,0,,0,,,9.903487205505371,,,,
1988,410529.0,47,3209188.0,22000.0,,,0,0,0,0,1,0,0.0,,3.8501474857330322,14.981528282165527,,0.0,,0,,0,0.04348492622375488,0.7373294830322266,9.998797416687012,0.09531021118164062,0,0.0,0.0
1989,410529.0,51,4030352.0,23650.0,,,2,0,0,1,0,2,0.0784313753247261,,3.931825637817383,15.20936393737793,,0.07550755143165588,,0,,0,0.08167815208435059,0.22783565521240234,10.071118354797363,0.07232093811035156,0,0.0784313753247261,0.07550755143165588
1987,410531.0,200,10000000.0,17500.0,,5.0,0,1,0,0,0,0,0.0,,5.2983174324035645,16.11809539794922,1.6094379425048828,0.0,,0,,0,,,9.769956588745117,,,,
1988,410531.0,200,10000000.0,18700.0,,4.0,20,1,0,0,1,6,0.6000000238418579,,5.2983174324035645,16.11809539794922,1.3862943649291992,0.4700036346912384,,0,,0,0.0,0.0,9.836278915405273,0.06632232666015625,0,0.6000000238418579,0.4700036346912384
1989,410531.0,190,9000000.0,18300.0,,2.2200000286102295,20,1,0,1,0,10,1.0526316165924072,,5.247024059295654,16.01273536682129,0.7975072264671326,0.7191227078437805,,0,,0,-0.051293373107910156,-0.10536003112792969,9.814656257629395,-0.021622657775878906,0,0.4526315927505493,0.24911907315254211
1987,410533.0,14,1600000.0,11500.0,,,68,0,0,0,0,3,14.571428298950195,,2.6390573978424072,14.285513877868652,,2.7454376220703125,,0,,0,,,9.350102424621582,,,,
1988,410533.0,12,900000.0,13000.0,,,75,0,0,0,1,5,31.25,,2.4849066734313965,13.710149765014648,,3.473518133163452,,0,,0,-0.15415072441101074,-0.5753641128540039,9.472704887390137,0.12260246276855469,0,16.678571701049805,0.7280805110931396
1989,410533.0,16,1300000.0,14700.0,,,35,0,0,1,0,9,19.6875,,2.7725887298583984,14.077875137329102,,3.029529571533203,,0,,0,0.28768205642700195,0.3677253723144531,9.595602989196777,0.12289810180664062,0,-11.5625,-0.443988561630249
1987,410535.0,10,420664.0,4237.0,,,0,0,0,0,0,0,0.0,,2.3025851249694824,12.949589729309082,,0.0,,0,,0,,,8.351611137390137,,,,
1988,410535.0,11,544602.0,7484.0,,,0,0,0,0,1,0,0.0,,2.397895336151123,13.207810401916504,,0.0,,0,,0,0.09531021118164062,0.2582206726074219,8.920522689819336,0.5689115524291992,0,0.0,0.0
1989,410535.0,9,495331.0,9548.0,,,0,0,0,1,0,0,0.0,,2.1972246170043945,13.112981796264648,,0.0,,0,,0,-0.20067071914672852,-0.09482860565185547,9.164087295532227,0.24356460571289062,0,0.0,0.0
1987,410536.0,15,1502502.0,11742.0,,,12,0,0,0,0,2,1.600000023841858,,2.70805025100708,14.222641944885254,,0.9555114507675171,,0,,0,,,9.370927810668945,,,,
1988,410536.0,16,1840912.0,12740.0,,,12,0,0,0,1,2,1.5,,2.7725887298583984,14.425771713256836,,0.9162907600402832,,0,,0,0.06453847885131836,0.20312976837158203,9.452502250671387,0.0815744400024414,0,-0.10000002384185791,-0.03922069072723389
1989,410536.0,18,2273869.0,13700.0,,,8,0,0,1,0,3,1.3333333730697632,,2.890371799468994,14.636993408203125,,0.8472979068756104,,0,,0,0.1177830696105957,0.21122169494628906,9.525151252746582,0.07264900207519531,0,-0.16666662693023682,-0.06899285316467285
1987,410538.0,,,19760.0,2.640000104904175,,0,1,0,0,0,0,,0.9707789421081543,,,,,,0,,0,,,9.891414642333984,,,,
1988,410538.0,,6276271.0,20800.0,2.740000009536743,,0,1,0,0,1,0,,1.007957935333252,,15.652286529541016,,,0.9707789421081543,0,0.037178993225097656,0,,,9.942708015441895,0.051293373107910156,0,,
1989,410538.0,60,5286605.0,20800.0,2.5399999618530273,,30,1,0,1,0,50,25.0,0.9321640729904175,4.094344615936279,15.480687141418457,,3.25809645652771,1.007957935333252,0,-0.07579386234283447,0,,-0.1715993881225586,9.942708015441895,0.0,0,,
1987,410540.0,50,5200000.0,20000.0,,,0,0,0,0,0,0,0.0,,3.9120230674743652,15.4641695022583,,0.0,,0,,0,,,9.903487205505371,,,,
1988,410540.0,50,6500000.0,23000.0,,,0,0,0,0,1,0,0.0,,3.9120230674743652,15.687313079833984,,0.0,,0,,0,0.0,0.2231435775756836,10.043249130249023,0.13976192474365234,0,0.0,0.0
1989,410540.0,55,5600000.0,25000.0,,,0,0,0,1,0,0,0.0,,4.007333278656006,15.538277626037598,,0.0,,0,,0,0.09531021118164062,-0.14903545379638672,10.126630783081055,0.08338165283203125,0,0.0,0.0
1987,410544.0,30,,19760.0,,,0,0,0,0,0,0,0.0,,3.4011974334716797,,,0.0,,0,,0,,,9.891414642333984,,,,
1988,410544.0,32,,20280.0,,,10,0,0,0,1,4,1.25,,3.465735912322998,,,0.8109301924705505,,0,,0,0.06453847885131836,,9.917390823364258,0.025976181030273438,0,1.25,0.8109301924705505
1989,410544.0,34,,20800.0,,,10,0,0,1,0,6,1.7647058963775635,,3.526360511779785,,,1.0169342756271362,,0,,0,0.06062459945678711,,9.942708015441895,0.02531719207763672,0,0.5147058963775635,0.2060040831565857
1987,410546.0,153,10000000.0,12500.0,,,8,0,0,0,0,7,0.3660130798816681,,5.03043794631958,16.11809539794922,,0.31189632415771484,,0,,0,,,9.433484077453613,,,,
1988,410546.0,134,11000000.0,13000.0,,,8,0,0,0,1,6,0.35820895433425903,,4.8978400230407715,16.21340560913086,,0.3061668872833252,,0,,0,-0.1325979232788086,0.09531021118164062,9.472704887390137,0.03922080993652344,0,-0.007804125547409058,-0.0057294368743896484
1989,410546.0,146,12000000.0,13500.0,,,40,0,0,1,0,28,7.6712327003479,,4.983606815338135,16.300416946411133,,2.160011053085327,,0,,0,0.08576679229736328,0.08701133728027344,9.510444641113281,0.03773975372314453,0,7.313023567199707,1.853844165802002
1987,410547.0,20,2300000.0,20000.0,,10.0,0,0,0,0,0,0,0.0,,2.995732307434082,14.648419380187988,2.3025851249694824,0.0,,0,,0,,,9.903487205505371,,,,
1988,410547.0,23,2500000.0,23000.0,,10.0,0,0,0,0,1,0,0.0,,3.1354942321777344,14.73180103302002,2.3025851249694824,0.0,,0,,0,0.13976192474365234,0.08338165283203125,10.043249130249023,0.13976192474365234,0,0.0,0.0
1989,410547.0,25,3000000.0,25000.0,,10.0,48,0,0,1,0,1,1.9199999570846558,,3.2188758850097656,14.914122581481934,2.3025851249694824,1.07158362865448,,0,,0,0.08338165283203125,0.18232154846191406,10.126630783081055,0.08338165283203125,0,1.9199999570846558,1.07158362865448
1987,410556.0,,,,,,0,0,0,0,0,0,,,,,,,,0,,0,,,,,,,
1988,410556.0,,,,,,0,0,0,0,1,0,,,,,,,,0,,0,,,,,0,,
1989,410556.0,131,7588770.0,16640.0,,,0,0,0,1,0,0,0.0,,4.875197410583496,15.842180252075195,,0.0,,0,,0,,,9.719564437866211,,0,,
1987,410560.0,22,725000.0,9000.0,,,0,0,0,0,0,0,0.0,,3.0910425186157227,13.493927001953125,,0.0,,0,,0,,,9.104979515075684,,,,
1988,410560.0,25,785000.0,9000.0,,,0,0,0,0,1,0,0.0,,3.2188758850097656,13.57343864440918,,0.0,,0,,0,0.12783336639404297,0.07951164245605469,9.104979515075684,0.0,0,0.0,0.0
1989,410560.0,23,785000.0,10000.0,,,0,0,0,1,0,0,0.0,,3.1354942321777344,13.57343864440918,,0.0,,0,,0,-0.08338165283203125,0.0,9.21034049987793,0.1053609848022461,0,0.0,0.0
1987,410561.0,6,501859.0,,,,0,0,0,0,0,0,0.0,,1.7917594909667969,13.12607479095459,,0.0,,0,,0,,,,,,,
1988,410561.0,6,580415.0,,,,0,0,0,0,1,0,0.0,,1.7917594909667969,13.271498680114746,,0.0,,0,,0,0.0,0.14542388916015625,,,0,0.0,0.0
1989,410561.0,9,735442.0,,,,64,0,0,1,0,1,7.111111164093018,,2.1972246170043945,13.508227348327637,,2.0932347774505615,,0,,0,0.40546512603759766,0.23672866821289062,,,0,7.111111164093018,2.0932347774505615
1987,410562.0,15,4000000.0,32000.0,,,10,0,0,0,0,2,1.3333333730697632,,2.70805025100708,15.201805114746094,,0.8472979068756104,,0,,0,,,10.373491287231445,,,,
1988,410562.0,18,5000000.0,34000.0,,,10,0,0,0,1,2,1.1111111640930176,,2.890371799468994,15.424948692321777,,0.7472144365310669,,0,,0,0.18232154846191406,0.2231435775756836,10.434115409851074,0.060624122619628906,0,-0.2222222089767456,-0.10008347034454346
1989,410562.0,19,7000000.0,38000.0,,,25,0,0,1,0,6,7.8947367668151855,,2.944438934326172,15.761420249938965,,2.185459613800049,,0,,0,0.054067134857177734,0.3364715576171875,10.545341491699219,0.11122608184814453,0,6.783625602722168,1.438245177268982
1987,410563.0,73,5300000.0,21500.0,6.0,,0,1,0,0,0,0,0.0,1.7917594909667969,4.290459632873535,15.483217239379883,,0.0,,0,,0,,,9.975808143615723,,,,
1988,410563.0,76,5800000.0,22200.0,7.0,,0,1,0,0,1,0,0.0,1.945910096168518,4.330733299255371,15.573368072509766,,0.0,1.7917594909667969,0,0.1541506052017212,0,0.04027366638183594,0.09015083312988281,10.007847785949707,0.032039642333984375,0,0.0,0.0
1989,410563.0,80,6400000.0,23000.0,5.0,,50,1,0,1,0,8,5.0,1.6094379425048828,4.382026672363281,15.671808242797852,,1.7917594909667969,1.945910096168518,0,-0.33647215366363525,0,0.051293373107910156,0.09844017028808594,10.043249130249023,0.035401344299316406,0,5.0,1.7917594909667969
1987,410564.0,160,,20000.0,,4.300000190734863,20,0,0,0,0,15,1.875,,5.075173854827881,,1.4586150646209717,1.0560526847839355,,0,,0,,,9.903487205505371,,,,
1988,410564.0,150,,21000.0,,4.099999904632568,20,0,0,0,1,20,2.6666667461395264,,5.0106353759765625,,1.4109869003295898,1.2992830276489258,,0,,0,-0.06453847885131836,,9.952278137207031,0.048790931701660156,0,0.7916667461395264,0.24323034286499023
1989,410564.0,150,,22000.0,,4.0,25,0,0,1,0,35,5.833333492279053,,5.0106353759765625,,1.3862943649291992,1.921812653541565,,0,,0,0.0,,9.998797416687012,0.04651927947998047,0,3.1666667461395264,0.6225296258926392
1987,410565.0,90,,20620.0,21.0,,0,1,0,0,0,0,0.0,3.044522523880005,4.499809741973877,,,0.0,,0,,0,,,9.934017181396484,,,,
1988,410565.0,112,21780000.0,20180.0,11.0,,0,1,0,0,1,0,0.0,2.397895336151123,4.718498706817627,16.896503448486328,,0.0,3.044522523880005,0,-0.6466271877288818,0,0.21868896484375,,9.912446975708008,-0.021570205688476562,0,0.0,0.0
1989,410565.0,128,25829000.0,21500.0,0.4000000059604645,,16,1,0,1,0,128,16.0,-0.9162907004356384,4.852030277252197,17.06700897216797,,2.8332133293151855,2.397895336151123,0,-3.3141860961914062,0,0.1335315704345703,0.17050552368164062,9.975808143615723,0.06336116790771484,0,16.0,2.8332133293151855
1987,410566.0,14,2101581.0,14850.0,7.0,,8,0,0,0,0,12,6.857142925262451,1.945910096168518,2.6390573978424072,14.55820083618164,,2.0614230632781982,,0,,0,,,9.605754852294922,,,,
1988,410566.0,16,2400723.0,18100.0,5.0,,3,0,0,0,1,10,1.875,1.6094379425048828,2.7725887298583984,14.691280364990234,,1.0560526847839355,1.945910096168518,0,-0.33647215366363525,0,0.1335313320159912,0.13307952880859375,9.803667068481445,0.19791221618652344,0,-4.982142925262451,-1.0053703784942627
1989,410566.0,13,2470633.0,20500.0,4.5,,4,0,0,1,0,10,3.076923131942749,1.504077434539795,2.5649492740631104,14.719985008239746,,1.4053425788879395,1.6094379425048828,0,-0.10536050796508789,0,-0.20763945579528809,0.02870464324951172,9.928179740905762,0.1245126724243164,0,1.201923131942749,0.3492898941040039
1987,410567.0,40,3000000.0,10000.0,1.0,0.5,0,0,0,0,0,0,0.0,0.0,3.6888794898986816,14.914122581481934,-0.6931471824645996,0.0,,0,,0,,,9.21034049987793,,,,
1988,410567.0,48,3800000.0,11000.0,0.5,0.25,0,0,0,0,1,0,0.0,-0.6931471824645996,3.8712010383605957,15.150511741638184,-1.3862943649291992,0.0,0.0,0,-0.6931471824645996,0,0.18232154846191406,0.23638916015625,9.30565071105957,0.09531021118164062,0,0.0,0.0
1989,410567.0,50,3100000.0,11500.0,0.2800000011920929,0.12999999523162842,16,0,0,1,0,50,16.0,-1.272965669631958,3.9120230674743652,14.94691276550293,-2.0402209758758545,2.8332133293151855,-0.6931471824645996,0,-0.5798184871673584,0,0.04082202911376953,-0.2035989761352539,9.350102424621582,0.04445171356201172,0,16.0,2.8332133293151855
1987,410569.0,20,,26000.0,,,0,0,0,0,0,0,0.0,,2.995732307434082,,,0.0,,0,,0,,,10.165851593017578,,,,
1988,410569.0,24,,28000.0,,,0,0,0,0,1,0,0.0,,3.178053855895996,,,0.0,,0,,0,0.18232154846191406,,10.239959716796875,0.07410812377929688,0,0.0,0.0
1989,410569.0,30,,30000.0,,,0,0,0,1,0,0,0.0,,3.4011974334716797,,,0.0,,0,,0,0.2231435775756836,,10.308952331542969,0.06899261474609375,0,0.0,0.0
1987,410571.0,17,755050.0,10400.0,,0.009999999776482582,25,0,0,0,0,17,25.0,,2.8332133293151855,13.534539222717285,-4.605170249938965,3.25809645652771,,0,,0,,,9.249561309814453,,,,
1988,410571.0,15,1102723.0,10400.0,,0.009999999776482582,25,0,0,0,1,15,25.0,,2.70805025100708,13.91329288482666,-4.605170249938965,3.25809645652771,,0,,0,-0.12516307830810547,0.378753662109375,9.249561309814453,0.0,0,0.0,0.0
1989,410571.0,20,1073785.0,10400.0,,0.009999999776482582,25,0,0,1,0,10,12.5,,2.995732307434082,13.886700630187988,-4.605170249938965,2.602689743041992,,0,,0,0.28768205642700195,-0.026592254638671875,9.249561309814453,0.0,0,-12.5,-0.6554067134857178
1987,410577.0,75,4750000.0,16120.0,1.6799999475479126,1.8899999856948853,3,0,0,0,0,30,1.2000000476837158,0.5187937617301941,4.317488193511963,15.373655319213867,0.6365768313407898,0.7884573936462402,,0,,0,,,9.68781566619873,,,,
1988,410577.0,80,5100000.0,16432.0,1.5700000524520874,1.7599999904632568,4,0,0,0,1,35,1.75,0.45107564330101013,4.382026672363281,15.444750785827637,0.5653138160705566,1.0116009712219238,0.5187937617301941,0,-0.06771811842918396,0,0.06453847885131836,0.07109546661376953,9.706985473632812,0.01916980743408203,0,0.5499999523162842,0.2231435775756836
1989,410577.0,94,5500000.0,16640.0,1.6399999856948853,1.8200000524520874,4,0,0,1,0,35,1.4893616437911987,0.4946962296962738,4.543294906616211,15.520258903503418,0.5988365411758423,0.9120262861251831,0.45107564330101013,0,0.04362058639526367,0,0.1612682342529297,0.07550811767578125,9.719564437866211,0.012578964233398438,0,-0.26063835620880127,-0.09957468509674072
1987,410586.0,116,11000000.0,23500.0,,,47,0,0,0,0,96,38.89655303955078,,4.753590106964111,16.21340560913086,,3.6862900257110596,,0,,0,,,10.0647554397583,,,,
1988,410586.0,114,11000000.0,24000.0,,,47,0,0,0,1,94,38.75438690185547,,4.736198425292969,16.21340560913086,,3.682720184326172,,0,,0,-0.017391681671142578,0.0,10.085808753967285,0.021053314208984375,0,-0.1421661376953125,-0.0035698413848876953
1989,410586.0,119,11000000.0,24600.0,,,47,0,0,1,0,99,39.1008415222168,,4.779123306274414,16.21340560913086,,3.6913974285125732,,0,,0,0.04292488098144531,0.0,10.110501289367676,0.024692535400390625,0,0.3464546203613281,0.008677244186401367
1987,410591.0,25,,12180.0,,,0,0,0,0,0,0,0.0,,3.2188758850097656,,,0.0,,0,,0,,,9.407550811767578,,,,
1988,410591.0,33,,13000.0,,,50,0,0,0,1,1,1.5151515007019043,,3.4965076446533203,,,0.9223330616950989,,0,,0,0.2776317596435547,,9.472704887390137,0.0651540756225586,0,1.5151515007019043,0.9223330616950989
1989,410591.0,37,,14500.0,,,40,0,0,1,0,2,2.1621620655059814,,3.610917806625366,,,1.1512559652328491,,0,,0,0.1144101619720459,,9.581903457641602,0.10919857025146484,0,0.6470105648040771,0.22892290353775024
1987,410592.0,20,,,30.0,40.0,,0,0,0,0,20,,3.4011974334716797,2.995732307434082,,3.6888794898986816,,,0,,0,,,,,,,
1988,410592.0,20,,,24.0,27.0,,0,0,0,1,20,,3.178053855895996,2.995732307434082,,3.295836925506592,,3.4011974334716797,0,-0.2231435775756836,0,0.0,,,,0,,
1989,410592.0,10,,,20.0,15.0,,0,0,1,0,10,,2.995732307434082,2.3025851249694824,,2.70805025100708,,3.178053855895996,0,-0.18232154846191406,0,-0.6931471824645996,,,,0,,
1987,410593.0,5,3500000.0,,1.0,,0,0,0,0,0,0,0.0,0.0,1.6094379425048828,15.068273544311523,,0.0,,0,,0,,,,,,,
1988,410593.0,5,3800000.0,,1.0,,0,0,0,0,1,0,0.0,0.0,1.6094379425048828,15.150511741638184,,0.0,0.0,0,0.0,0,0.0,0.08223819732666016,,,0,0.0,0.0
1989,410593.0,5,4000000.0,,1.0,,0,0,0,1,0,0,0.0,0.0,1.6094379425048828,15.201805114746094,,0.0,0.0,0,0.0,0,0.0,0.051293373107910156,,,0,0.0,0.0
1987,410596.0,8,990400.0,12480.0,10.0,,10,0,0,0,0,8,10.0,2.3025851249694824,2.079441547393799,13.805864334106445,,2.397895336151123,,0,,0,,,9.431882858276367,,,,
1988,410596.0,16,1166100.0,13520.0,6.0,,12,0,0,0,1,16,12.0,1.7917594909667969,2.7725887298583984,13.969175338745117,,2.5649492740631104,2.3025851249694824,0,-0.5108256340026855,0,0.6931471824645996,0.16331100463867188,9.51192569732666,0.08004283905029297,0,2.0,0.1670539379119873
1989,410596.0,20,1815900.0,14560.0,4.0,,14,0,0,1,0,20,14.0,1.3862943649291992,2.995732307434082,14.412092208862305,,2.70805025100708,1.7917594909667969,0,-0.40546512603759766,0,0.2231435775756836,0.4429168701171875,9.58603286743164,0.07410717010498047,0,2.0,0.14310097694396973
1987,410603.0,10,1212478.0,12700.0,,,105,0,0,0,0,4,42.0,,2.3025851249694824,14.008176803588867,,3.761200189590454,,0,,0,,,9.449357032775879,,,,
1988,410603.0,14,1159622.0,13600.0,,,105,0,0,0,1,3,22.5,,2.6390573978424072,13.963604927062988,,3.1570003032684326,,0,,0,0.3364722728729248,-0.044571876525878906,9.51782512664795,0.06846809387207031,0,-19.5,-0.6041998863220215
1989,410603.0,17,1612170.0,14900.0,,,,0,0,1,0,0,,,2.8332133293151855,14.293091773986816,,,,0,,0,0.19415593147277832,0.3294868469238281,9.609116554260254,0.09129142761230469,0,,
1987,410604.0,60,,8320.0,,,0,0,0,0,0,0,0.0,,4.094344615936279,,,0.0,,0,,0,,,9.02641773223877,,,,
1988,410604.0,100,,8940.0,,,0,0,0,0,1,0,0.0,,4.605170249938965,,,0.0,,0,,0,0.5108256340026855,,9.09829044342041,0.07187271118164062,0,0.0,0.0
1989,410604.0,190,,10400.0,,,0,0,0,1,0,0,0.0,,5.247024059295654,,,0.0,,0,,0,0.6418538093566895,,9.249561309814453,0.15127086639404297,0,0.0,0.0
1987,410606.0,124,10507000.0,,0.6600000262260437,,10,0,0,0,0,43,3.4677419662475586,-0.41551539301872253,4.820281505584717,16.167552947998047,,1.4968831539154053,,0,,0,,,,,,,
1988,410606.0,127,12172850.0,14538.0,0.3400000035762787,,8,0,0,0,1,30,1.8897638320922852,-1.0788096189498901,4.844187259674072,16.31471824645996,,1.061174750328064,-0.41551539301872253,0,-0.6632941961288452,0,0.02390575408935547,0.14716529846191406,9.584521293640137,,0,-1.5779781341552734,-0.4357084035873413
1989,410606.0,128,12039550.0,14865.0,0.38999998569488525,,28,0,0,1,0,87,19.03125,-0.9416085481643677,4.852030277252197,16.303707122802734,,2.997293472290039,-1.0788096189498901,0,0.13720107078552246,0,0.007843017578125,-0.011011123657226562,9.606764793395996,0.022243499755859375,0,17.14148712158203,1.936118721961975
1987,410609.0,22,1650831.0,24900.0,,,0,0,0,0,0,0,0.0,,3.0910425186157227,14.316789627075195,,0.0,,0,,0,,,10.122623443603516,,,,
1988,410609.0,37,1817961.0,23000.0,,,0,0,0,0,1,0,0.0,,3.610917806625366,14.413226127624512,,0.0,,0,,0,0.5198752880096436,0.0964365005493164,10.043249130249023,-0.07937431335449219,0,0.0,0.0
1989,410609.0,44,1642441.0,23200.0,,,0,0,0,1,0,0,0.0,,3.7841897010803223,14.311694145202637,,0.0,,0,,0,0.17327189445495605,-0.101531982421875,10.051907539367676,0.008658409118652344,0,0.0,0.0
