male,educ,wage,swage,exper,pexper,lwage,expersq,highgrad,college,grad,polytech,highdrop,lswage,pexpersq,mleeduc,mleeduc0
1,15,28050,16500,11,15,10.241744041442871,121,0,0,0,1,0,9.711115837097168,225,15,1
1,16,100000,44100,11,22,11.512925148010254,121,0,1,0,0,0,10.694214820861816,484,16,2
1,15,49000,20550,11,15,10.799575805664062,121,0,0,0,1,0,9.93061637878418,225,15,1
0,12,16350,10200,11,28,9.701983451843262,121,1,0,0,0,0,9.230142593383789,784,0,0
1,16,70000,21750,11,3,11.156250953674316,121,0,1,0,0,0,9.9873685836792,9,16,2
1,19,55000,34980,11,22,10.915088653564453,121,0,0,1,0,0,10.462532043457031,484,19,5
1,15,28500,14250,11,3,10.257658958435059,121,0,0,0,1,0,9.564512252807617,9,15,1
1,12,28800,18000,11,37,10.2681303024292,121,1,0,0,0,0,9.798127174377441,1369,12,-2
1,19,90625,31250,11,3,11.414484977722168,121,0,0,1,0,0,10.349774360656738,9,19,5
1,16,43650,19500,11,3,10.683959007263184,121,0,1,0,0,0,9.878170013427734,9,16,2
1,19,75000,42510,11,9,11.22524356842041,121,0,0,1,0,0,10.65749454498291,81,19,5
1,15,31650,14250,11,2,10.362493515014648,121,0,0,0,1,0,9.564512252807617,4,15,1
1,19,61875,28740,11,5,11.03287124633789,121,0,0,1,0,0,10.266045570373535,25,19,5
0,12,21750,11250,11,0,9.9873685836792,121,1,0,0,0,0,9.328123092651367,0,0,0
0,12,24300,10950,16,1,10.098231315612793,256,1,0,0,0,0,9.301095008850098,1,0,0
0,12,24750,14250,16,34,10.116580963134766,256,1,0,0,0,0,9.564512252807617,1156,0,0
0,12,22950,11250,16,0,10.041072845458984,256,1,0,0,0,0,9.328123092651367,0,0,0
0,8,25050,10950,16,1,10.128628730773926,256,0,0,0,0,1,9.301095008850098,1,0,0
1,15,25950,17100,16,7,10.16392707824707,256,0,0,0,1,0,9.746833801269531,49,15,1
1,15,31650,15750,16,11,10.362493515014648,256,0,0,0,1,0,9.664595603942871,121,15,1
1,12,24150,14100,16,23,10.092040061950684,256,1,0,0,0,0,9.553930282592773,529,12,-2
1,19,72500,28740,16,2,11.191341400146484,256,0,0,1,0,0,10.266045570373535,4,19,5
1,19,68750,27480,16,1,11.138232231140137,256,0,0,1,0,0,10.221213340759277,1,19,5
0,8,16200,9750,16,0,9.692766189575195,256,0,0,0,0,1,9.185022354125977,0,0,0
0,12,20100,11250,16,4,9.908474922180176,256,1,0,0,0,0,9.328123092651367,16,0,0
0,8,24000,10950,16,1,10.085808753967285,256,0,0,0,0,1,9.301095008850098,1,0,0
0,12,25950,10950,16,0,10.16392707824707,256,1,0,0,0,0,9.301095008850098,0,0,0
0,12,24600,10050,16,8,10.110501289367676,256,1,0,0,0,0,9.215328216552734,64,0,0
0,12,28500,10500,16,1,10.257658958435059,256,1,0,0,0,0,9.259130477905273,1,0,0
1,17,40200,19500,16,29,10.601622581481934,256,0,0,1,0,0,9.878170013427734,841,17,3
1,8,30000,15000,16,25,10.308952331542969,256,0,0,0,0,1,9.615805625915527,625,8,-6
0,12,22050,10950,16,1,10.001068115234375,256,1,0,0,0,0,9.301095008850098,1,0,0
1,15,57000,27000,17,25,10.950806617736816,289,0,0,0,1,0,10.203592300415039,625,15,1
1,16,40200,18750,17,6,10.601622581481934,289,0,1,0,0,0,9.838949203491211,36,16,2
0,8,21900,13200,17,33,9.994241714477539,289,0,0,0,0,1,9.487972259521484,1089,0,0
1,15,45000,21000,17,24,10.714417457580566,289,0,0,0,1,0,9.952278137207031,576,15,1
1,15,32100,13500,17,12,10.376611709594727,289,0,0,0,1,0,9.510444641113281,144,15,1
1,15,36000,18750,17,20,10.491273880004883,289,0,0,0,1,0,9.838949203491211,400,15,1
0,12,21900,9750,17,0,9.994241714477539,289,1,0,0,0,0,9.185022354125977,0,0,0
0,15,27900,12750,17,20,10.236381530761719,289,0,0,0,1,0,9.453286170959473,400,0,0
0,16,30300,16500,17,25,10.318902969360352,289,0,1,0,0,0,9.711115837097168,625,0,0
1,8,28350,12000,17,5,10.252382278442383,289,0,0,0,0,1,9.392662048339844,25,8,-6
1,15,27750,14250,17,6,10.23099136352539,289,0,0,0,1,0,9.564512252807617,36,15,1
0,15,35100,16800,17,24,10.465956687927246,289,0,0,0,1,0,9.729134559631348,576,0,0
1,12,27300,13500,17,11,10.214641571044922,289,1,0,0,0,0,9.510444641113281,121,12,-2
1,12,40800,15000,17,4,10.616436958312988,289,1,0,0,0,0,9.615805625915527,16,12,-2
1,15,46000,14250,17,8,10.736396789550781,289,0,0,0,1,0,9.564512252807617,64,15,1
1,16,103750,27510,17,12,11.549739837646484,289,0,1,0,0,0,10.222305297851562,144,16,2
1,12,42300,14250,17,18,10.652542114257812,289,1,0,0,0,0,9.564512252807617,324,12,-2
1,18,78250,27480,16,8,11.267663955688477,256,0,0,1,0,0,10.221213340759277,64,18,4
1,16,60625,22500,16,8,11.012462615966797,256,0,1,0,0,0,10.021270751953125,64,16,2
1,14,39900,15750,16,10,10.594131469726562,256,0,0,0,1,0,9.664595603942871,100,14,0
1,19,97000,35010,16,12,11.482466697692871,256,0,0,1,0,0,10.46338939666748,144,19,5
1,15,27450,15750,16,8,10.220121383666992,256,0,0,0,1,0,9.664595603942871,64,15,1
1,15,31650,13500,16,3,10.362493515014648,256,0,0,0,1,0,9.510444641113281,9,15,1
1,19,91250,29490,16,4,11.421358108520508,256,0,0,1,0,0,10.2918062210083,16,19,5
0,12,25200,14400,16,14,10.134599685668945,256,1,0,0,0,0,9.574983596801758,196,0,0
0,12,21000,11550,16,19,9.952278137207031,256,1,0,0,0,0,9.354440689086914,361,0,0
1,12,30450,15000,16,9,10.323841094970703,256,1,0,0,0,0,9.615805625915527,81,12,-2
1,15,28350,18000,16,26,10.252382278442383,256,0,0,0,1,0,9.798127174377441,676,15,1
1,16,54875,27480,16,12,10.912813186645508,256,0,1,0,0,0,10.221213340759277,144,16,2
1,14,37800,16500,16,10,10.540064811706543,256,0,0,0,1,0,9.711115837097168,100,14,0
1,15,33450,14100,16,15,10.417806625366211,256,0,0,0,1,0,9.553930282592773,225,15,1
1,15,30300,16500,16,3,10.318902969360352,256,0,0,0,1,0,9.711115837097168,9,15,1
0,12,31500,18750,16,36,10.357743263244629,256,1,0,0,0,0,9.838949203491211,1296,0,0
0,12,31650,14250,16,8,10.362493515014648,256,1,0,0,0,0,9.564512252807617,64,0,0
0,12,25200,14100,16,10,10.134599685668945,256,1,0,0,0,0,9.553930282592773,100,0,0
0,16,37800,15750,16,1,10.540064811706543,256,0,1,0,0,0,9.664595603942871,1,0,0
0,15,18750,10500,16,9,9.838949203491211,256,0,0,0,1,0,9.259130477905273,81,0,0
0,15,32550,13500,16,4,10.390532493591309,256,0,0,0,1,0,9.510444641113281,16,0,0
0,12,33300,15000,16,1,10.413312911987305,256,1,0,0,0,0,9.615805625915527,1,0,0
0,16,38550,16500,16,0,10.559711456298828,256,0,1,0,0,0,9.711115837097168,0,0,0
1,12,27450,15000,16,30,10.220121383666992,256,1,0,0,0,0,9.615805625915527,900,12,-2
1,15,24300,15000,16,33,10.098231315612793,256,0,0,0,1,0,9.615805625915527,1089,15,1
1,12,30750,15000,16,36,10.33364486694336,256,1,0,0,0,0,9.615805625915527,1296,12,-2
0,12,19650,9750,16,40,9.885832786560059,256,1,0,0,0,0,9.185022354125977,1600,0,0
1,17,68750,27510,15,7,11.138232231140137,225,0,0,1,0,0,10.222305297851562,49,17,3
1,20,59375,30000,15,1,10.991628646850586,225,0,0,1,0,0,10.308952331542969,1,20,6
1,15,31500,15750,15,4,10.357743263244629,225,0,0,0,1,0,9.664595603942871,16,15,1
1,12,27300,17250,15,30,10.214641571044922,225,1,0,0,0,0,9.75556755065918,900,12,-2
1,15,27000,15750,15,15,10.203592300415039,225,0,0,0,1,0,9.664595603942871,225,15,1
0,12,26250,10950,15,0,10.175421714782715,225,1,0,0,0,0,9.301095008850098,0,0,0
0,8,20100,13200,15,16,9.908474922180176,225,0,0,0,0,1,9.487972259521484,256,0,0
0,12,22350,13500,15,5,10.014581680297852,225,1,0,0,0,0,9.510444641113281,25,0,0
0,15,35550,13350,15,6,10.4786958694458,225,0,0,0,1,0,9.499271392822266,36,0,0
0,12,28500,13950,15,6,10.257658958435059,225,1,0,0,0,0,9.543234825134277,36,0,0
0,12,24450,13200,15,19,10.104385375976562,225,1,0,0,0,0,9.487972259521484,361,0,0
1,12,26700,13500,15,7,10.192419052124023,225,1,0,0,0,0,9.510444641113281,49,12,-2
1,18,43950,23250,15,32,10.690808296203613,225,0,0,1,0,0,10.054059982299805,1024,18,4
0,15,26550,14250,15,11,10.186784744262695,225,0,0,0,1,0,9.564512252807617,121,0,0
1,12,27600,15000,15,13,10.225570678710938,225,1,0,0,0,0,9.615805625915527,169,12,-2
1,12,25800,15000,15,25,10.158129692077637,225,1,0,0,0,0,9.615805625915527,625,12,-2
1,16,42300,26250,15,22,10.652542114257812,225,0,1,0,0,0,10.175421714782715,484,16,2
0,12,26700,12900,15,3,10.192419052124023,225,1,0,0,0,0,9.464982986450195,9,0,0
0,12,20850,12000,15,28,9.945109367370605,225,1,0,0,0,0,9.392662048339844,784,0,0
1,15,35250,15000,15,9,10.470220565795898,225,0,0,0,1,0,9.615805625915527,81,15,1
1,15,26700,15000,15,10,10.192419052124023,225,0,0,0,1,0,9.615805625915527,100,15,1
0,12,26550,13050,15,2,10.186784744262695,225,1,0,0,0,0,9.476543426513672,4,0,0
0,12,27750,12000,15,2,10.23099136352539,225,1,0,0,0,0,9.392662048339844,4,0,0
0,16,25050,12750,15,21,10.128628730773926,225,0,1,0,0,0,9.453286170959473,441,0,0
1,16,66000,47490,15,26,11.097410202026367,225,0,1,0,0,0,10.768274307250977,676,16,2
1,16,52650,19500,15,3,10.871421813964844,225,0,1,0,0,0,9.878170013427734,9,16,2
1,16,45625,23250,15,10,10.728211402893066,225,0,1,0,0,0,10.054059982299805,100,16,2
1,15,30900,15000,15,4,10.33851146697998,225,0,0,0,1,0,9.615805625915527,16,15,1
0,15,29400,16500,15,4,10.288749694824219,225,0,0,0,1,0,9.711115837097168,16,0,0
0,15,33300,13500,15,4,10.413312911987305,225,0,0,0,1,0,9.510444641113281,16,0,0
0,12,21900,9750,15,27,9.994241714477539,225,1,0,0,0,0,9.185022354125977,729,0,0
0,12,18150,9750,15,13,9.806426048278809,225,1,0,0,0,0,9.185022354125977,169,0,0
0,16,46875,17250,15,3,10.755239486694336,225,0,1,0,0,0,9.75556755065918,9,0,0
1,12,25500,14400,15,6,10.14643383026123,225,1,0,0,0,0,9.574983596801758,36,12,-2
1,12,26550,15000,15,7,10.186784744262695,225,1,0,0,0,0,9.615805625915527,49,12,-2
0,15,29850,15000,15,14,10.303939819335938,225,0,0,0,1,0,9.615805625915527,196,0,0
1,20,69250,42480,15,23,11.145478248596191,225,0,0,1,0,0,10.65678882598877,529,20,6
1,8,26250,15600,15,30,10.175421714782715,225,0,0,0,0,1,9.65502643585205,900,8,-6
0,16,35700,17250,15,3,10.482906341552734,225,0,1,0,0,0,9.75556755065918,9,0,0
0,12,28500,16500,15,12,10.257658958435059,225,1,0,0,0,0,9.711115837097168,144,0,0
0,12,17100,10200,15,13,9.746833801269531,225,1,0,0,0,0,9.230142593383789,169,0,0
1,12,25200,13050,15,5,10.134599685668945,225,1,0,0,0,0,9.476543426513672,25,12,-2
0,12,24000,12750,15,10,10.085808753967285,225,1,0,0,0,0,9.453286170959473,100,0,0
0,12,27450,10200,15,18,10.220121383666992,225,1,0,0,0,0,9.230142593383789,324,0,0
0,12,18450,10200,15,40,9.822819709777832,225,1,0,0,0,0,9.230142593383789,1600,0,0
1,15,39300,15750,15,13,10.5789794921875,225,0,0,0,1,0,9.664595603942871,169,15,1
1,15,38850,15000,15,9,10.567462921142578,225,0,0,0,1,0,9.615805625915527,81,15,1
1,15,37500,20400,15,6,10.532095909118652,225,0,0,0,1,0,9.923290252685547,36,15,1
1,16,58750,21750,15,2,10.981046676635742,225,0,1,0,0,0,9.9873685836792,4,16,2
0,12,34500,18750,15,36,10.448714256286621,225,1,0,0,0,0,9.838949203491211,1296,0,0
0,8,29100,16500,15,6,10.278493881225586,225,0,0,0,0,1,9.711115837097168,36,0,0
1,12,19650,12750,15,31,9.885832786560059,225,1,0,0,0,0,9.453286170959473,961,12,-2
0,12,24750,12000,15,7,10.116580963134766,225,1,0,0,0,0,9.392662048339844,49,0,0
0,15,27150,15750,15,40,10.209132194519043,225,0,0,0,1,0,9.664595603942871,1600,0,0
0,12,26400,12750,15,6,10.181118965148926,225,1,0,0,0,0,9.453286170959473,36,0,0
0,16,23100,12000,15,37,10.047588348388672,225,0,1,0,0,0,9.392662048339844,1369,0,0
1,15,54900,25500,14,9,10.91326904296875,196,0,0,0,1,0,10.14643383026123,81,15,1
1,19,70875,43500,14,27,11.168673515319824,196,0,0,1,0,0,10.680516242980957,729,19,5
1,16,51250,27480,14,12,10.844470977783203,196,0,1,0,0,0,10.221213340759277,144,16,2
1,17,67500,34980,14,2,11.119882583618164,196,0,0,1,0,0,10.462532043457031,4,17,3
1,12,29340,19500,14,26,10.286706924438477,196,1,0,0,0,0,9.878170013427734,676,12,-2
1,15,39600,16500,14,8,10.586584091186523,196,0,0,0,1,0,9.711115837097168,64,15,1
1,12,29100,15000,14,9,10.278493881225586,196,1,0,0,0,0,9.615805625915527,81,12,-2
1,15,33150,16500,14,12,10.408798217773438,196,0,0,0,1,0,9.711115837097168,144,15,1
1,15,27300,17250,14,16,10.214641571044922,196,0,0,0,1,0,9.75556755065918,256,15,1
0,12,24000,11250,14,3,10.085808753967285,196,1,0,0,0,0,9.328123092651367,9,0,0
0,8,19800,10200,14,13,9.893437385559082,196,0,0,0,0,1,9.230142593383789,169,0,0
1,15,30600,16500,14,38,10.328755378723145,196,0,0,0,1,0,9.711115837097168,1444,15,1
1,15,28950,15000,14,19,10.27332592010498,196,0,0,0,1,0,9.615805625915527,361,15,1
1,15,38400,16500,14,11,10.55581283569336,196,0,0,0,1,0,9.711115837097168,121,15,1
0,12,20400,10950,14,2,9.923290252685547,196,1,0,0,0,0,9.301095008850098,4,0,0
0,12,19200,11100,14,1,9.862665176391602,196,1,0,0,0,0,9.31470012664795,1,0,0
1,15,30150,15750,14,13,10.313940048217773,196,0,0,0,1,0,9.664595603942871,169,15,1
1,16,34620,27750,14,26,10.452186584472656,196,0,1,0,0,0,10.23099136352539,676,16,2
1,15,80000,15750,14,6,11.28978157043457,196,0,0,0,1,0,9.664595603942871,36,15,1
1,12,25350,15000,14,6,10.140534400939941,196,1,0,0,0,0,9.615805625915527,36,12,-2
1,12,29850,15750,14,15,10.303939819335938,196,1,0,0,0,0,9.664595603942871,225,12,-2
0,12,24000,13800,14,17,10.085808753967285,196,1,0,0,0,0,9.532423973083496,289,0,0
0,8,22350,10200,14,8,10.014581680297852,196,0,0,0,0,1,9.230142593383789,64,0,0
0,12,16200,10200,14,0,9.692766189575195,196,1,0,0,0,0,9.230142593383789,0,0,0
0,15,21900,12750,14,0,9.994241714477539,196,0,0,0,1,0,9.453286170959473,0,0,0
0,16,23250,15750,14,1,10.054059982299805,196,0,1,0,0,0,9.664595603942871,1,0,0
0,12,33900,12000,14,2,10.431170463562012,196,1,0,0,0,0,9.392662048339844,4,0,0
0,15,25650,14250,14,9,10.152298927307129,196,0,0,0,1,0,9.564512252807617,81,0,0
1,16,40200,21000,14,1,10.601622581481934,196,0,1,0,0,0,9.952278137207031,1,16,2
1,19,55500,33750,14,11,10.924138069152832,196,0,0,1,0,0,10.426735877990723,121,19,5
1,15,26550,15000,14,9,10.186784744262695,196,0,0,0,1,0,9.615805625915527,81,15,1
1,15,50550,19500,14,8,10.830718040466309,196,0,0,0,1,0,9.878170013427734,64,15,1
1,19,75000,31500,14,2,11.22524356842041,196,0,0,1,0,0,10.357743263244629,4,19,5
0,8,27450,12000,14,2,10.220121383666992,196,0,0,0,0,1,9.392662048339844,4,0,0
0,12,22650,11250,14,0,10.027915000915527,196,1,0,0,0,0,9.328123092651367,0,0,0
0,12,27300,11250,14,1,10.214641571044922,196,1,0,0,0,0,9.328123092651367,1,0,0
0,12,27750,11225,14,1,10.23099136352539,196,1,0,0,0,0,9.325899124145508,1,0,0
0,16,54375,18750,14,14,10.90365982055664,196,0,1,0,0,0,9.838949203491211,196,0,0
0,12,40800,18000,14,1,10.616436958312988,196,1,0,0,0,0,9.798127174377441,1,0,0
0,12,23100,10950,14,0,10.047588348388672,196,1,0,0,0,0,9.301095008850098,0,0,0
0,8,22500,10950,14,1,10.021270751953125,196,0,0,0,0,1,9.301095008850098,1,0,0
0,12,26700,11550,14,3,10.192419052124023,196,1,0,0,0,0,9.354440689086914,9,0,0
0,12,24900,11250,14,0,10.122623443603516,196,1,0,0,0,0,9.328123092651367,0,0,0
0,12,19650,10950,14,2,9.885832786560059,196,1,0,0,0,0,9.301095008850098,4,0,0
0,12,22050,10950,14,2,10.001068115234375,196,1,0,0,0,0,9.301095008850098,4,0,0
0,12,25500,12000,14,2,10.14643383026123,196,1,0,0,0,0,9.392662048339844,4,0,0
0,15,28200,12750,14,3,10.247076988220215,196,0,0,0,1,0,9.453286170959473,9,0,0
0,12,23100,11250,14,2,10.047588348388672,196,1,0,0,0,0,9.328123092651367,4,0,0
1,12,25500,11400,14,2,10.14643383026123,196,1,0,0,0,0,9.341368675231934,4,12,-2
0,8,17100,10200,14,0,9.746833801269531,196,0,0,0,0,1,9.230142593383789,0,0,0
1,18,68125,32490,14,5,11.12909984588623,196,0,0,1,0,0,10.388688087463379,25,18,4
1,19,52125,27480,14,38,10.86139965057373,196,0,0,1,0,0,10.221213340759277,1444,19,5
1,19,61875,36750,14,35,11.03287124633789,196,0,0,1,0,0,10.511893272399902,1225,19,5
1,8,21300,11550,14,4,9.966462135314941,196,0,0,0,0,1,9.354440689086914,16,8,-6
0,12,19650,11250,14,1,9.885832786560059,196,1,0,0,0,0,9.328123092651367,1,0,0
0,12,22350,11250,14,1,10.014581680297852,196,1,0,0,0,0,9.328123092651367,1,0,0
0,12,23400,11250,14,3,10.060491561889648,196,1,0,0,0,0,9.328123092651367,9,0,0
0,12,24300,10950,14,1,10.098231315612793,196,1,0,0,0,0,9.301095008850098,1,0,0
0,12,28500,11250,14,1,10.257658958435059,196,1,0,0,0,0,9.328123092651367,1,0,0
0,12,19950,11250,14,1,9.900984764099121,196,1,0,0,0,0,9.328123092651367,1,0,0
0,12,23400,11250,14,0,10.060491561889648,196,1,0,0,0,0,9.328123092651367,0,0,0
0,16,34500,17250,14,1,10.448714256286621,196,0,1,0,0,0,9.75556755065918,1,0,0
0,12,18150,10950,14,0,9.806426048278809,196,1,0,0,0,0,9.301095008850098,0,0,0
1,15,40200,17250,14,7,10.601622581481934,196,0,0,0,1,0,9.75556755065918,49,15,1
1,15,27750,16500,14,10,10.23099136352539,196,0,0,0,1,0,9.711115837097168,100,15,1
1,18,66875,31980,14,5,11.110580444335938,196,0,0,1,0,0,10.372865676879883,25,18,4
1,16,83750,21750,14,2,11.335591316223145,196,0,1,0,0,0,9.9873685836792,4,16,2
1,12,33900,16500,14,16,10.431170463562012,196,1,0,0,0,0,9.711115837097168,256,12,-2
1,16,56500,21000,14,2,10.941995620727539,196,0,1,0,0,0,9.952278137207031,4,16,2
0,16,43000,17490,14,3,10.66895580291748,196,0,1,0,0,0,9.769384384155273,9,0,0
0,8,20850,12000,14,12,9.945109367370605,196,0,0,0,0,1,9.392662048339844,144,0,0
0,12,24450,12000,14,1,10.104385375976562,196,1,0,0,0,0,9.392662048339844,1,0,0
0,12,24750,10950,14,1,10.116580963134766,196,1,0,0,0,0,9.301095008850098,1,0,0
1,14,27900,15000,14,8,10.236381530761719,196,0,0,0,1,0,9.615805625915527,64,14,0
1,19,68125,32010,14,6,11.12909984588623,196,0,0,1,0,0,10.373804092407227,36,19,5
1,19,73500,33000,14,8,11.20504093170166,196,0,0,1,0,0,10.40426254272461,64,19,5
1,15,40050,25500,14,23,10.597884178161621,196,0,0,0,1,0,10.14643383026123,529,15,1
1,16,40350,19500,14,3,10.6053466796875,196,0,1,0,0,0,9.878170013427734,9,16,2
1,15,38700,23730,14,31,10.563594818115234,196,0,0,0,1,0,10.074495315551758,961,15,1
1,17,65000,30750,14,5,11.08214282989502,196,0,0,1,0,0,10.33364486694336,25,17,3
1,18,51450,36240,14,26,10.848365783691406,196,0,0,1,0,0,10.497919082641602,676,18,4
1,14,25950,15000,14,9,10.16392707824707,196,0,0,0,1,0,9.615805625915527,81,14,0
1,15,25050,14250,14,4,10.128628730773926,196,0,0,0,1,0,9.564512252807617,16,15,1
1,12,26700,12750,14,4,10.192419052124023,196,1,0,0,0,0,9.453286170959473,16,12,-2
1,12,26850,15000,14,8,10.198020935058594,196,1,0,0,0,0,9.615805625915527,64,12,-2
0,12,23400,15300,14,36,10.060491561889648,196,1,0,0,0,0,9.635607719421387,1296,0,0
0,12,24600,13500,14,8,10.110501289367676,196,1,0,0,0,0,9.510444641113281,64,0,0
0,15,32550,18000,14,1,10.390532493591309,196,0,0,0,1,0,9.798127174377441,1,0,0
1,16,26550,15000,14,18,10.186784744262695,196,0,1,0,0,0,9.615805625915527,324,16,2
1,12,31500,13500,14,1,10.357743263244629,196,1,0,0,0,0,9.510444641113281,1,12,-2
0,15,25800,13500,14,9,10.158129692077637,196,0,0,0,1,0,9.510444641113281,81,0,0
1,15,30750,16500,13,7,10.33364486694336,169,0,0,0,1,0,9.711115837097168,49,15,1
1,15,34500,18000,13,11,10.448714256286621,169,0,0,0,1,0,9.798127174377441,121,15,1
1,15,26250,15750,13,7,10.175421714782715,169,0,0,0,1,0,9.664595603942871,49,15,1
1,16,44875,21240,13,4,10.711636543273926,169,0,1,0,0,0,9.963641166687012,16,16,2
0,12,22500,12000,13,11,10.021270751953125,169,1,0,0,0,0,9.392662048339844,121,0,0
0,12,25650,14250,13,11,10.152298927307129,169,1,0,0,0,0,9.564512252807617,121,0,0
0,12,21300,11250,13,0,9.966462135314941,169,1,0,0,0,0,9.328123092651367,0,0,0
0,12,29850,13500,13,7,10.303939819335938,169,1,0,0,0,0,9.510444641113281,49,0,0
0,12,34500,12150,13,1,10.448714256286621,169,1,0,0,0,0,9.405084609985352,1,0,0
1,15,27750,15000,13,9,10.23099136352539,169,0,0,0,1,0,9.615805625915527,81,15,1
1,12,27750,11550,13,2,10.23099136352539,169,1,0,0,0,0,9.354440689086914,4,12,-2
1,16,48750,21990,13,11,10.79446029663086,169,0,1,0,0,0,9.998343467712402,121,16,2
1,15,43410,15750,13,2,10.678444862365723,169,0,0,0,1,0,9.664595603942871,4,15,1
0,12,22050,12000,13,1,10.001068115234375,169,1,0,0,0,0,9.392662048339844,1,0,0
0,12,22500,14250,13,16,10.021270751953125,169,1,0,0,0,0,9.564512252807617,256,0,0
0,15,25500,12000,13,1,10.14643383026123,169,0,0,0,1,0,9.392662048339844,1,0,0
0,12,29160,15000,13,4,10.280552864074707,169,1,0,0,0,0,9.615805625915527,16,0,0
0,8,16800,10200,13,13,9.729134559631348,169,0,0,0,0,1,9.230142593383789,169,0,0
1,8,29550,15750,13,25,10.293839454650879,169,0,0,0,0,1,9.664595603942871,625,8,-6
1,12,26700,15750,13,3,10.192419052124023,169,1,0,0,0,0,9.664595603942871,9,12,-2
1,18,55000,32490,13,22,10.915088653564453,169,0,0,1,0,0,10.388688087463379,484,18,4
