e401k,inc,marr,male,age,fsize,nettfa,p401k,pira,incsq,agesq
0,29.399999618530273,1,0,53,2,27.959999084472656,0,1,864.3599853515625,2809
0,16.976999282836914,0,0,35,2,-1.024999976158142,0,0,288.218505859375,1225
0,19.733999252319336,1,0,49,7,-1.2999999523162842,0,0,389.43072509765625,2401
0,14.279999732971191,1,0,43,4,-0.5,0,0,203.91839599609375,1849
0,30.075000762939453,1,0,47,3,4.23199987411499,0,1,904.5056762695312,2209
0,27.0,1,0,46,3,-3.299999952316284,0,0,729.0,2116
1,33.959999084472656,1,0,36,13,10.199999809265137,1,0,1153.281494140625,1296
0,64.5,1,0,47,3,5.900000095367432,0,0,4160.25,2209
0,24.030000686645508,0,0,31,2,-4.0,0,0,577.44091796875,961
0,21.111000061035156,0,0,64,1,2.5,0,0,445.67431640625,4096
0,51.79800033569336,0,0,38,2,41.999000549316406,0,0,2683.032958984375,1444
1,17.36400032043457,1,0,27,2,-37.50400161743164,1,0,301.5085144042969,729
0,19.253999710083008,0,0,28,1,-1.100000023841858,0,0,370.71649169921875,784
0,27.60300064086914,1,0,35,4,7.559000015258789,0,0,761.9256591796875,1225
0,31.440000534057617,0,1,33,1,-1.0,0,0,988.4736328125,1089
0,30.239999771118164,0,0,45,3,0.9200000166893005,0,0,914.4575805664062,2025
0,16.829999923706055,0,1,28,1,0.7400000095367432,0,0,283.2489013671875,784
1,30.231000900268555,1,0,34,4,-0.029999999329447746,1,0,913.9133911132812,1156
0,35.400001525878906,0,1,33,2,2.4749999046325684,0,0,1253.16015625,1089
1,46.154998779296875,1,0,55,5,53.948001861572266,1,1,2130.283935546875,3025
0,27.329999923706055,1,0,50,4,-2.5999999046325684,0,0,746.9288940429688,2500
1,24.67799949645996,0,0,44,3,0.5830000042915344,0,0,609.003662109375,1936
1,36.027000427246094,1,1,59,2,20.249000549316406,1,0,1297.9447021484375,3481
0,13.59000015258789,0,0,32,4,0.0,0,0,184.6881103515625,1024
0,15.741000175476074,0,0,49,2,0.05000000074505806,0,0,247.77908325195312,2401
0,27.46500015258789,1,0,52,4,1.100000023841858,0,0,754.3262329101562,2704
0,54.9630012512207,1,0,55,2,53.69900131225586,0,0,3020.931396484375,3025
0,18.548999786376953,1,0,63,2,19.0,0,0,344.0653991699219,3969
1,21.576000213623047,0,1,39,1,14.5,1,1,465.5237731933594,1521
0,38.7599983215332,1,0,47,3,-0.5,0,0,1502.3375244140625,2209
1,64.66200256347656,1,0,62,2,19.444000244140625,1,1,4181.1748046875,3844
1,43.15800094604492,1,0,46,2,8.0,1,0,1862.613037109375,2116
0,17.8799991607666,0,0,43,3,-3.1510000228881836,0,0,319.6943664550781,1849
1,23.700000762939453,1,0,53,2,13.199999809265137,1,0,561.6900634765625,2809
0,37.755001068115234,1,0,56,2,-1.2000000476837158,0,0,1425.4400634765625,3136
1,40.97100067138672,1,1,29,3,-9.968000411987305,1,0,1678.6229248046875,841
0,13.428000450134277,1,0,28,2,7.178999900817871,0,0,180.3112030029297,784
1,92.99099731445312,1,0,48,5,83.9000015258789,1,1,8647.3251953125,2304
0,35.06100082397461,1,0,41,3,22.0,0,0,1229.2738037109375,1681
0,17.13599967956543,0,1,34,3,0.014999999664723873,0,0,293.6424865722656,1156
0,16.95599937438965,1,0,47,2,0.8259999752044678,0,0,287.50592041015625,2209
1,56.70000076293945,1,0,63,2,94.39900207519531,1,1,3214.89013671875,3969
0,70.2750015258789,1,0,41,4,-2.1570000648498535,0,0,4938.57568359375,1681
0,13.46399974822998,0,0,27,2,0.4000000059604645,0,0,181.27928161621094,729
0,74.64900207519531,1,0,39,4,-8.005000114440918,0,0,5572.4736328125,1521
0,24.011999130249023,0,0,41,3,-9.456000328063965,0,0,576.5761108398438,1681
0,20.55900001525879,0,0,30,3,2.9000000953674316,0,0,422.6724853515625,900
0,39.52799987792969,1,1,55,2,-15.718000411987305,0,1,1562.4627685546875,3025
0,39.303001403808594,0,0,34,1,-12.187999725341797,0,0,1544.7259521484375,1156
0,17.71500015258789,0,1,31,1,4.050000190734863,0,0,313.82122802734375,961
1,55.08000183105469,1,0,54,2,44.042999267578125,1,0,3033.806640625,2916
1,20.760000228881836,0,1,55,1,7.954999923706055,0,0,430.97760009765625,3025
0,14.282999992370605,0,1,40,1,0.02800000086426735,0,0,204.00408935546875,1600
0,20.43600082397461,1,0,31,4,-0.20000000298023224,0,0,417.630126953125,961
0,26.38800048828125,1,0,26,4,0.8659999966621399,0,0,696.3265991210938,676
0,46.104000091552734,1,0,39,3,4.349999904632568,0,0,2125.578857421875,1521
1,49.709999084472656,1,0,42,3,27.097000122070312,0,1,2471.083984375,1764
1,76.80599975585938,1,0,52,2,80.04900360107422,1,0,5899.16162109375,2704
1,39.70500183105469,1,0,39,4,71.56900024414062,0,1,1576.4871826171875,1521
0,11.220000267028809,0,0,30,3,0.0,0,0,125.8884048461914,900
0,18.347999572753906,0,0,50,4,0.30000001192092896,0,0,336.6490783691406,2500
0,13.949999809265137,0,0,49,6,0.0,0,0,194.6024932861328,2401
0,15.215999603271484,1,0,32,10,0.20000000298023224,0,0,231.52664184570312,1024
0,36.150001525878906,1,0,32,4,-2.200000047683716,0,0,1306.8226318359375,1024
0,47.34000015258789,0,1,27,2,-10.430000305175781,0,0,2241.07568359375,729
0,63.224998474121094,1,0,40,6,10.571000099182129,0,1,3997.400390625,1600
1,26.0310001373291,0,0,49,2,0.5,0,0,677.6129760742188,2401
0,20.399999618530273,1,0,36,5,0.0,0,0,416.15997314453125,1296
0,17.92799949645996,0,0,36,3,0.0,0,0,321.4131774902344,1296
1,31.799999237060547,1,0,38,5,12.510000228881836,1,0,1011.2399291992188,1444
0,30.0,1,1,42,2,-15.100000381469727,0,0,900.0,1764
0,26.46299934387207,0,0,43,1,10.01099967956543,0,1,700.2903442382812,1849
1,73.72200012207031,1,0,42,5,3.200000047683716,1,0,5434.93310546875,1764
0,33.41400146484375,1,0,32,4,-4.699999809265137,0,0,1116.4954833984375,1024
1,34.08000183105469,1,0,35,6,5.099999904632568,0,0,1161.446533203125,1225
1,48.900001525878906,0,0,61,1,28.079999923706055,1,1,2391.210205078125,3721
1,21.0,0,1,41,1,-2.3469998836517334,0,0,441.0,1681
1,39.60900115966797,1,0,59,2,48.683998107910156,0,1,1568.8729248046875,3481
1,80.8499984741211,1,0,45,5,132.4250030517578,1,1,6536.72216796875,2025
1,91.76100158691406,1,0,35,4,-3.450000047683716,0,0,8420.0810546875,1225
0,46.71900177001953,1,0,41,5,4.0,0,0,2182.6650390625,1681
0,19.200000762939453,0,1,25,1,0.0,0,0,368.6400146484375,625
1,102.70500183105469,1,0,35,2,56.599998474121094,1,0,10548.3173828125,1225
0,54.965999603271484,1,0,33,3,1.399999976158142,0,0,3021.26123046875,1089
0,12.75,0,1,38,2,0.0,0,0,162.5625,1444
1,52.83599853515625,1,0,50,2,37.650001525878906,1,0,2791.642822265625,2500
0,12.720000267028809,1,0,32,3,0.0,0,0,161.79840087890625,1024
1,26.645999908447266,0,0,28,1,62.67900085449219,1,0,710.0093383789062,784
0,59.66400146484375,1,0,44,5,11.399999618530273,0,1,3559.79296875,1936
0,39.150001525878906,1,0,58,2,189.39999389648438,0,1,1532.72265625,3364
0,21.299999237060547,1,0,47,6,-0.9860000014305115,0,0,453.6899719238281,2209
0,30.8700008392334,0,0,48,3,10.949999809265137,0,1,952.9569702148438,2304
0,16.5,1,0,57,2,23.0,0,0,272.25,3249
0,32.59199905395508,1,0,57,4,-2.0999999046325684,0,0,1062.2384033203125,3249
0,27.344999313354492,1,0,34,5,0.4090000092983246,0,0,747.7489624023438,1156
0,35.417999267578125,1,0,57,5,-5.75,0,0,1254.4346923828125,3249
0,24.299999237060547,0,0,45,1,0.05000000074505806,0,0,590.489990234375,2025
1,52.3650016784668,1,0,46,2,6.0,0,0,2742.093505859375,2116
0,26.864999771118164,1,1,29,4,-1.9450000524520874,0,0,721.7282104492188,841
0,39.47999954223633,1,0,35,3,40.20000076293945,0,1,1558.67041015625,1225
1,45.69300079345703,1,0,40,2,18.576000213623047,1,1,2087.850341796875,1600
0,39.29999923706055,1,0,42,5,-4.900000095367432,0,0,1544.489990234375,1764
0,14.244000434875488,0,0,60,1,120.0,0,1,202.8915557861328,3600
0,43.518001556396484,1,0,27,3,-7.5,0,0,1893.81640625,729
0,10.857000350952148,0,1,27,1,1.0460000038146973,0,0,117.87445831298828,729
0,51.22200012207031,0,0,33,3,1.600000023841858,0,0,2623.693359375,1089
0,34.763999938964844,1,1,63,2,3.0,0,0,1208.53564453125,3969
0,16.958999633789062,1,0,43,7,-0.5,0,0,287.607666015625,1849
0,23.639999389648438,1,0,26,5,-6.000999927520752,0,0,558.8495483398438,676
1,56.30400085449219,1,0,45,4,29.399999618530273,1,0,3170.140625,2025
1,107.09700012207031,1,0,54,2,47.922000885009766,0,0,11469.767578125,2916
1,46.81800079345703,1,0,39,4,1.7999999523162842,1,1,2191.92529296875,1521
0,13.109999656677246,0,0,30,3,0.0,0,0,171.87208557128906,900
0,29.15999984741211,0,0,36,3,4.244999885559082,0,0,850.3056030273438,1296
1,42.540000915527344,1,0,52,2,30.100000381469727,1,0,1809.6517333984375,2704
0,74.30999755859375,1,0,49,6,-5.5,0,0,5521.9755859375,2401
0,27.729000091552734,1,0,31,6,-4.880000114440918,0,0,768.8974609375,961
0,15.0,0,0,42,3,49.53799819946289,0,0,225.0,1764
1,54.722999572753906,1,0,57,2,21.947999954223633,1,0,2994.606689453125,3249
0,61.58100128173828,1,0,44,4,61.36600112915039,0,1,3792.2197265625,1936
1,72.02999877929688,1,0,43,2,21.99799919128418,0,1,5188.32080078125,1849
1,37.3380012512207,1,0,48,7,-18.889999389648438,0,1,1394.1263427734375,2304
0,27.354000091552734,0,0,39,3,2.5999999046325684,0,1,748.2413330078125,1521
1,92.89800262451172,0,1,27,1,30.957000732421875,1,1,8630.0390625,729
0,42.94200134277344,1,0,33,4,-2.2049999237060547,0,0,1844.0155029296875,1089
1,31.017000198364258,1,0,31,5,1.2089999914169312,0,1,962.0543212890625,961
1,23.892000198364258,0,0,35,1,5.249000072479248,1,0,570.8276977539062,1225
1,44.459999084472656,1,0,39,2,38.30699920654297,1,1,1976.6915283203125,1521
0,33.720001220703125,1,1,30,2,-2.552000045776367,0,0,1137.0384521484375,900
0,52.82099914550781,1,0,37,5,3.299999952316284,0,1,2790.057861328125,1369
1,86.4000015258789,1,0,43,4,45.099998474121094,0,1,7464.96044921875,1849
0,14.762999534606934,1,0,31,4,-5.006999969482422,0,0,217.94615173339844,961
1,107.3010025024414,1,0,50,3,371.9010009765625,1,1,11513.5048828125,2500
0,20.385000228881836,0,0,27,1,-0.800000011920929,0,0,415.5482482910156,729
1,41.5260009765625,1,0,35,2,-1.5,0,0,1724.4088134765625,1225
0,27.375,1,0,41,4,-1.2000000476837158,0,0,749.390625,1681
0,24.336000442504883,1,0,42,4,-0.30000001192092896,0,0,592.2409057617188,1764
1,34.42499923706055,1,0,40,4,-6.460000038146973,1,0,1185.08056640625,1600
0,43.13100051879883,1,0,45,2,59.15999984741211,0,1,1860.283203125,2025
1,57.0629997253418,1,0,54,4,138.99899291992188,1,1,3256.18603515625,2916
1,41.53499984741211,0,1,30,1,83.69999694824219,0,1,1725.15625,900
0,61.72200012207031,1,1,32,3,-2.4800000190734863,0,0,3809.605224609375,1024
0,99.15299987792969,1,0,43,2,80.802001953125,0,1,9831.3173828125,1849
0,37.29600143432617,1,0,28,3,-2.0,0,0,1390.99169921875,784
1,27.059999465942383,0,0,38,3,37.099998474121094,1,0,732.2435913085938,1444
0,32.459999084472656,0,0,26,1,-4.489999771118164,0,0,1053.6514892578125,676
1,28.490999221801758,0,1,46,3,4.019999980926514,1,0,811.737060546875,2116
1,19.59600067138672,0,1,41,2,-1.2000000476837158,1,0,384.00323486328125,1681
1,18.540000915527344,0,0,37,5,0.9639999866485596,1,0,343.73162841796875,1369
1,102.43499755859375,1,0,54,2,139.62899780273438,1,1,10492.9287109375,2916
0,26.700000762939453,1,0,39,4,46.0,0,0,712.8900146484375,1521
1,43.78799819946289,0,0,43,3,46.849998474121094,1,1,1917.3887939453125,1849
1,45.869998931884766,1,0,47,2,38.79999923706055,1,1,2104.056884765625,2209
0,38.880001068115234,0,1,61,2,-17.700000762939453,0,0,1511.654541015625,3721
0,17.70599937438965,0,0,43,3,3.3989999294281006,0,0,313.5024108886719,1849
0,21.6299991607666,0,0,63,2,-0.7400000095367432,0,0,467.85687255859375,3969
1,43.4370002746582,1,0,36,3,12.817999839782715,1,1,1886.77294921875,1296
1,57.150001525878906,1,0,34,4,2.200000047683716,1,0,3266.12255859375,1156
1,22.902000427246094,0,1,51,1,61.749000549316406,1,1,524.5016479492188,2601
0,40.7400016784668,1,0,42,5,3.5999999046325684,0,1,1659.7476806640625,1764
0,13.182000160217285,1,0,32,4,-2.372999906539917,0,0,173.76512145996094,1024
0,11.609999656677246,0,0,44,1,0.05000000074505806,0,0,134.79209899902344,1936
1,108.58799743652344,1,0,62,2,84.19599914550781,0,0,11791.353515625,3844
1,29.77199935913086,1,0,53,2,1.1979999542236328,0,0,886.3719482421875,2809
1,67.31999969482422,1,0,45,3,36.19900131225586,1,0,4531.982421875,2025
1,46.236000061035156,1,0,57,3,22.398000717163086,0,1,2137.767822265625,3249
0,32.5890007019043,1,0,31,4,1.2999999523162842,0,0,1062.04296875,961
0,60.49800109863281,1,0,40,2,10.050000190734863,0,1,3660.008056640625,1600
0,30.209999084472656,0,1,30,2,3.0999999046325684,0,1,912.64404296875,900
1,55.125,1,0,35,4,23.9689998626709,1,1,3038.765625,1225
1,56.67599868774414,1,0,56,2,-6.238999843597412,0,0,3212.1689453125,3136
1,70.84500122070312,1,0,57,2,200.0,1,1,5019.01416015625,3249
0,46.814998626708984,0,0,44,3,30.902000427246094,0,1,2191.64404296875,1936
1,14.430000305175781,0,0,27,1,-4.5,0,0,208.22491455078125,729
1,58.17300033569336,1,0,31,2,22.450000762939453,0,0,3384.097900390625,961
1,50.645999908447266,0,0,40,2,45.58399963378906,1,1,2565.017333984375,1600
0,12.206999778747559,0,1,32,1,-0.8429999947547913,0,0,149.01084899902344,1024
0,62.5260009765625,1,0,52,2,69.0999984741211,0,1,3909.500732421875,2704
1,44.702999114990234,1,1,32,5,-14.0,0,0,1998.358154296875,1024
0,85.37999725341797,1,0,25,4,-30.239999771118164,0,0,7289.744140625,625
0,34.64699935913086,0,1,35,1,4.999000072479248,0,0,1200.41455078125,1225
1,27.785999298095703,1,1,41,3,-0.0010000000474974513,0,0,772.061767578125,1681
1,54.45000076293945,1,0,63,2,94.5989990234375,1,1,2964.802490234375,3969
1,19.63800048828125,0,1,52,1,8.5,1,0,385.65106201171875,2704
1,33.3120002746582,0,0,36,2,77.19999694824219,1,0,1109.6893310546875,1296
0,24.534000396728516,1,0,25,3,5.150000095367432,0,0,601.9171752929688,625
0,18.360000610351562,0,1,28,1,0.014999999664723873,0,0,337.0896301269531,784
0,28.739999771118164,0,1,27,1,-1.2000000476837158,0,0,825.9876098632812,729
0,36.167999267578125,1,0,25,3,-1.5010000467300415,0,0,1308.1241455078125,625
0,17.010000228881836,1,0,47,3,4.150000095367432,0,0,289.3401184082031,2209
0,17.41200065612793,0,0,39,3,0.0,0,0,303.1777648925781,1521
0,32.426998138427734,1,0,37,2,0.10000000149011612,0,0,1051.51025390625,1369
0,38.05799865722656,0,1,28,1,5.199999809265137,0,0,1448.4112548828125,784
1,58.31700134277344,1,0,46,3,36.5,0,1,3400.87255859375,2116
0,15.821999549865723,1,0,26,2,11.399999618530273,0,0,250.33566284179688,676
0,43.275001525878906,1,0,26,2,-3.072999954223633,0,0,1872.7257080078125,676
0,17.44499969482422,1,0,34,4,-7.0,0,0,304.3280029296875,1156
1,21.638999938964844,1,0,42,4,0.24899999797344208,0,0,468.2463073730469,1764
0,48.03300094604492,0,0,61,2,32.05500030517578,0,1,2307.169189453125,3721
0,49.08000183105469,1,0,54,2,45.70000076293945,0,1,2408.8466796875,2916
1,35.29199981689453,0,1,61,1,3.0,0,0,1245.5252685546875,3721
0,28.575000762939453,0,0,27,1,1.2489999532699585,0,0,816.5306396484375,729
0,33.36600112915039,0,1,43,1,12.598999977111816,0,0,1113.2900390625,1849
1,35.47200012207031,0,1,51,2,60.39799880981445,1,0,1258.2628173828125,2601
0,42.93000030517578,1,1,35,3,-18.8799991607666,0,0,1842.9849853515625,1225
0,17.579999923706055,1,0,32,2,12.199999809265137,0,1,309.056396484375,1024
0,77.01000213623047,1,0,36,4,26.0,0,1,5930.54052734375,1296
0,37.6619987487793,1,0,37,11,-2.381999969482422,0,0,1418.4261474609375,1369
1,20.43000030517578,1,0,57,1,-1.940000057220459,1,0,417.3849182128906,3249
0,27.84000015258789,0,0,40,2,0.0,0,0,775.0656127929688,1600
0,49.805999755859375,0,0,37,1,110.10299682617188,0,1,2480.6376953125,1369
0,24.67799949645996,1,0,34,3,-0.31200000643730164,0,0,609.003662109375,1156
0,15.8100004196167,1,1,60,3,-3.200000047683716,0,0,249.95611572265625,3600
1,17.628000259399414,1,0,27,4,12.34000015258789,1,0,310.74639892578125,729
0,20.4060001373291,1,0,37,4,-10.515000343322754,0,1,416.40484619140625,1369
0,37.64400100708008,1,1,44,3,-6.656000137329102,0,0,1417.07080078125,1936
0,89.17500305175781,1,1,43,3,-0.20000000298023224,0,0,7952.18115234375,1849
0,30.165000915527344,1,1,56,3,-0.10100000351667404,0,0,909.9273071289062,3136
0,27.29400062561035,0,0,34,2,-2.5,0,0,744.9624633789062,1156
0,34.50899887084961,0,1,39,1,13.300000190734863,0,0,1190.8709716796875,1521
0,28.715999603271484,1,0,30,4,-19.174999237060547,0,0,824.608642578125,900
1,15.0,0,1,38,1,2.8499999046325684,1,0,225.0,1444
1,29.325000762939453,1,0,33,4,5.513000011444092,1,0,859.9556884765625,1089
0,56.91299819946289,1,1,39,3,35.882999420166016,0,1,3239.08935546875,1521
1,51.05099868774414,1,0,29,4,16.600000381469727,1,0,2606.204345703125,841
1,169.1999969482422,1,0,49,2,484.197998046875,1,1,28628.638671875,2401
0,25.70400047302246,0,0,49,1,-0.36899998784065247,0,0,660.6956176757812,2401
0,25.799999237060547,0,0,37,1,13.5,0,1,665.6399536132812,1369
1,110.98500061035156,1,0,36,4,10.800000190734863,1,0,12317.669921875,1296
0,35.625,1,0,34,5,-8.0,0,0,1269.140625,1156
0,45.762001037597656,1,0,39,4,16.069000244140625,0,1,2094.16064453125,1521
1,46.9109992980957,1,0,56,4,9.020000457763672,0,1,2200.641845703125,3136
0,15.906000137329102,0,0,26,4,0.10000000149011612,0,0,253.00083923339844,676
1,50.43299865722656,1,0,29,2,14.12600040435791,1,0,2543.4873046875,841
1,53.84400177001953,1,0,44,4,4.730000019073486,0,1,2899.176513671875,1936
0,28.356000900268555,1,0,26,2,4.591000080108643,0,0,804.0628051757812,676
1,50.400001525878906,0,1,39,2,5.800000190734863,1,0,2540.16015625,1521
1,33.150001525878906,0,0,43,2,24.68000030517578,1,0,1098.922607421875,1849
0,16.488000869750977,1,0,27,6,-1.4220000505447388,0,0,271.85418701171875,729
0,41.775001525878906,0,1,50,1,9.49899959564209,0,1,1745.1507568359375,2500
1,36.14699935913086,1,0,34,4,-0.07100000232458115,1,1,1306.6055908203125,1156
0,34.95000076293945,0,0,41,3,0.5,0,0,1221.5025634765625,1681
1,31.0049991607666,0,1,27,1,0.0,0,0,961.3099975585938,729
1,48.52799987792969,1,0,46,3,3.2200000286102295,0,0,2354.966796875,2116
0,34.68000030517578,1,1,45,4,-57.0,0,0,1202.702392578125,2025
0,12.600000381469727,0,0,42,1,-9.550000190734863,0,0,158.760009765625,1764
0,20.06999969482422,1,1,52,2,-4.0,0,0,402.8049011230469,2704
0,38.319000244140625,1,0,31,3,0.09000000357627869,0,0,1468.3458251953125,961
0,20.729999542236328,1,0,28,4,1.899999976158142,0,0,429.7328796386719,784
0,28.24799919128418,0,1,31,1,15.149999618530273,0,0,797.949462890625,961
0,31.097999572753906,0,0,55,1,20.298999786376953,0,0,967.0855712890625,3025
1,24.996000289916992,0,1,44,1,1.399999976158142,0,0,624.800048828125,1936
0,22.33799934387207,0,1,26,1,0.8920000195503235,0,0,498.9862060546875,676
0,86.79000091552734,1,1,27,4,1.399999976158142,0,0,7532.50439453125,729
0,14.654999732971191,0,0,27,3,0.0,0,0,214.76901245117188,729
1,16.224000930786133,0,0,42,6,-1.5,0,0,263.21820068359375,1764
0,25.184999465942383,0,0,59,1,237.9499969482422,0,1,634.2841796875,3481
0,24.0,0,1,40,1,0.0,0,0,576.0,1600
0,48.027000427246094,0,1,39,1,1.899999976158142,0,1,2306.5927734375,1521
0,17.399999618530273,0,0,35,1,-10.100000381469727,0,0,302.7599792480469,1225
0,18.75,1,0,35,7,0.0,0,0,351.5625,1225
1,30.576000213623047,0,0,31,1,13.5,1,0,934.8917846679688,961
