salary,age,college,grad,comten,ceoten,sales,profits,mktval,lsalary,lsales,lmktval,comtensq,ceotensq,profmarg
270,43,1,0,15,2,150.0,28,713.0,5.598422050476074,5.0106353759765625,6.569481372833252,225,4,18.66666603088379
829,56,1,0,14,8,2200.0,184,1500.0,6.72022008895874,7.6962127685546875,7.313220500946045,196,64,8.363636016845703
300,77,0,0,45,26,6900.0,483,4700.0,5.703782558441162,8.839276313781738,8.455317497253418,2025,676,7.0
1627,62,1,1,13,4,8300.0,596,9100.0,7.394493103027344,9.02401065826416,9.116029739379883,169,16,7.180722713470459
1237,63,1,1,37,9,4600.0,108,6200.0,7.120444297790527,8.43381118774414,8.732304573059082,1369,81,2.3478260040283203
540,61,1,1,37,1,5200.0,549,5600.0,6.291569232940674,8.556413650512695,8.630521774291992,1369,1,10.557692527770996
1798,66,1,1,21,14,24300.0,338,12500.0,7.494430065155029,10.098231315612793,9.433484077453613,441,196,1.3909465074539185
474,40,1,0,18,1,2700.0,117,2000.0,6.16120719909668,7.901007175445557,7.600902557373047,324,1,4.333333492279053
1336,60,1,1,21,13,4500.0,562,4300.0,7.19743537902832,8.411832809448242,8.36637020111084,441,169,12.48888874053955
541,51,1,0,30,4,1400.0,82,1200.0,6.293419361114502,7.244227409362793,7.090076923370361,900,16,5.857142925262451
129,66,1,1,4,4,59.0,28,412.0,4.859812259674072,4.077537536621094,6.021023273468018,16,16,47.45762634277344
1700,54,1,1,21,5,6800.0,1200,20400.0,7.43838357925415,8.824677467346191,9.923290252685547,441,25,17.647058486938477
1750,66,1,1,31,24,16200.0,1400,17900.0,7.467370986938477,9.692766189575195,9.792555809020996,961,576,8.641975402832031
624,61,1,1,21,13,1100.0,109,934.0,6.436150550842285,7.003065586090088,6.839476585388184,441,169,9.909090995788574
791,66,1,0,14,8,2300.0,-60,487.0,6.673297882080078,7.740664482116699,6.188263893127441,196,64,-2.6086957454681396
1487,51,1,0,3,3,22200.0,182,2800.0,7.304515838623047,10.007847785949707,7.937374591827393,9,9,0.8198198080062866
2021,56,1,0,34,3,51300.0,2700,42900.0,7.611347675323486,10.84544563293457,10.666626930236816,1156,9,5.263157844543457
1550,47,1,1,19,3,1100.0,120,4900.0,7.346010208129883,7.003065586090088,8.496990203857422,361,9,10.909090995788574
401,64,1,0,44,8,571.0,57,670.0,5.993961334228516,6.347389221191406,6.507277488708496,1936,64,9.982486724853516
1295,62,1,0,8,8,10700.0,1300,16400.0,7.166265964508057,9.277998924255371,9.705036163330078,64,64,12.149532318115234
449,56,1,0,31,1,661.0,37,538.0,6.107022762298584,6.493753910064697,6.287858486175537,961,1,5.597579479217529
456,56,1,1,9,3,381.0,34,6700.0,6.122492790222168,5.9427995681762695,8.809863090515137,81,9,8.923884391784668
1142,53,1,1,30,1,28000.0,1900,26300.0,7.040536403656006,10.239959716796875,10.177324295043945,900,1,6.785714149475098
577,64,1,0,26,2,3000.0,287,5700.0,6.357842445373535,8.006367683410645,8.648221015930176,676,4,9.566666603088379
600,56,1,1,18,7,11700.0,-40,4000.0,6.396929740905762,9.36734390258789,8.294049263000488,324,49,-0.34188035130500793
649,44,1,1,4,4,336.0,17,475.0,6.475432872772217,5.817111015319824,6.1633148193359375,16,16,5.059523582458496
822,60,1,0,22,20,896.0,77,752.0,6.711740493774414,6.797940254211426,6.62273645401001,484,400,8.59375
1080,52,1,0,18,5,388.0,55,1600.0,6.984716415405273,5.961005210876465,7.377758979797363,324,25,14.175257682800293
1738,54,0,0,34,12,10700.0,842,15400.0,7.4604902267456055,9.277998924255371,9.642123222351074,1156,144,7.869158744812012
581,54,1,0,19,19,408.0,23,403.0,6.364750862121582,6.011267185211182,5.998936653137207,361,361,5.63725471496582
912,54,1,0,9,9,2600.0,239,2400.0,6.815639972686768,7.863266944885254,7.783224105834961,81,81,9.192307472229004
650,69,1,0,37,13,261.0,40,817.0,6.476972579956055,5.564520359039307,6.705638885498047,1369,169,15.32567024230957
2199,52,1,1,8,8,5600.0,475,6300.0,7.695757865905762,8.630521774291992,8.748305320739746,64,64,8.482142448425293
609,53,1,1,15,15,567.0,34,498.0,6.411818504333496,6.340359210968018,6.210599899291992,225,225,5.9964728355407715
1946,73,1,0,25,21,7800.0,484,8000.0,7.573531150817871,8.961878776550293,8.987196922302246,625,441,6.205128192901611
552,52,1,0,30,1,2800.0,308,3500.0,6.3135480880737305,7.937374591827393,8.160518646240234,900,1,11.0
481,59,1,1,26,4,611.0,90,667.0,6.175867080688477,6.415096759796143,6.5027899742126465,676,16,14.729950904846191
526,45,1,0,8,7,2400.0,106,2000.0,6.26530122756958,7.783224105834961,7.600902557373047,64,49,4.416666507720947
471,60,1,0,3,2,160.0,7,425.0,6.154858112335205,5.075173854827881,6.052089214324951,9,4,4.375
630,56,1,0,29,1,1700.0,-55,420.0,6.4457197189331055,7.43838357925415,6.040254592895508,841,1,-3.2352941036224365
622,57,1,0,35,4,2500.0,143,1200.0,6.4329400062561035,7.8240461349487305,7.090076923370361,1225,16,5.71999979019165
999,52,1,0,28,17,159.0,21,398.0,6.906754970550537,5.068904399871826,5.986452102661133,784,289,13.207547187805176
585,60,1,1,36,10,1700.0,33,449.0,6.371612071990967,7.43838357925415,6.107022762298584,1296,100,1.941176414489746
1107,57,1,0,17,6,2200.0,149,1100.0,7.009408950805664,7.6962127685546875,7.003065586090088,289,36,6.7727274894714355
1099,59,1,0,34,10,8600.0,182,1800.0,7.002155780792236,9.059517860412598,7.495542049407959,1156,100,2.116279125213623
425,86,1,1,13,13,36.0,11,644.0,6.052089214324951,3.5835189819335938,6.467698574066162,169,169,30.55555534362793
2792,40,1,0,11,11,534.0,35,888.0,7.934513568878174,6.280395984649658,6.788971900939941,121,121,6.554306983947754
350,54,1,0,31,4,1000.0,46,812.0,5.857933044433594,6.907755374908447,6.699500560760498,961,16,4.599999904632568
363,58,1,1,36,6,717.0,80,880.0,5.894402980804443,6.575075626373291,6.779922008514404,1296,36,11.157601356506348
2265,63,1,1,35,6,18000.0,1700,18800.0,7.725329875946045,9.798127174377441,9.841611862182617,1225,36,9.44444465637207
377,45,1,0,7,5,238.0,57,1200.0,5.932245254516602,5.472270488739014,7.090076923370361,49,25,23.9495792388916
879,63,1,1,21,9,1700.0,212,4900.0,6.77878475189209,7.43838357925415,8.496990203857422,441,81,12.470588684082031
720,49,1,0,12,12,672.0,23,1400.0,6.579251289367676,6.510258197784424,7.244227409362793,144,144,3.422619104385376
950,63,1,0,27,14,2600.0,6,1500.0,6.856462001800537,7.863266944885254,7.313220500946045,729,196,0.23076923191547394
1143,67,0,0,23,3,1800.0,56,918.0,7.041411876678467,7.495542049407959,6.822197437286377,529,9,3.1111111640930176
1064,58,1,0,27,3,3500.0,195,2600.0,6.969790458679199,8.160518646240234,7.863266944885254,729,9,5.5714287757873535
1253,60,1,1,36,5,2600.0,142,3700.0,7.133296012878418,7.863266944885254,8.21608829498291,1296,25,5.461538314819336
462,58,1,1,23,0,1400.0,50,769.0,6.135564804077148,7.244227409362793,6.6450910568237305,529,0,3.5714285373687744
174,69,1,0,13,13,29.0,6,390.0,5.159055233001709,3.367295742034912,5.966146945953369,169,169,20.689655303955078
474,63,1,0,41,4,2200.0,175,2600.0,6.16120719909668,7.6962127685546875,7.863266944885254,1681,16,7.954545497894287
1248,48,1,1,21,7,3500.0,423,7300.0,7.129297733306885,8.160518646240234,8.8956298828125,441,49,12.085714340209961
1101,62,1,1,32,3,954.0,96,1200.0,7.003973960876465,6.860663890838623,7.090076923370361,1024,9,10.06289291381836
348,43,1,1,12,10,586.0,79,1400.0,5.852202415466309,6.373319625854492,7.244227409362793,144,100,13.481228828430176
650,55,1,1,28,5,5700.0,-438,817.0,6.476972579956055,8.648221015930176,6.705638885498047,784,25,-7.684210300445557
875,58,1,1,32,10,5300.0,308,2200.0,6.774223804473877,8.575462341308594,7.6962127685546875,1024,100,5.811320781707764
1600,61,1,0,4,1,12300.0,877,9400.0,7.377758979797363,9.417354583740234,9.148465156555176,16,1,7.1300811767578125
1500,55,1,1,30,4,7900.0,665,4800.0,7.313220500946045,8.974617958068848,8.476370811462402,900,16,8.41772174835205
323,39,1,1,15,3,637.0,63,517.0,5.777652263641357,6.4567694664001465,6.248043060302734,225,9,9.89011001586914
459,59,1,0,33,3,785.0,40,1400.0,6.129050254821777,6.665683746337891,7.244227409362793,1089,9,5.095541477203369
925,56,1,1,26,12,3300.0,67,2200.0,6.829793930053711,8.101677894592285,7.6962127685546875,676,144,2.0303030014038086
375,46,1,1,4,4,599.0,20,501.0,5.926926136016846,6.395261764526367,6.216606140136719,16,16,3.338898181915283
447,53,1,0,4,1,143.0,16,527.0,6.102558612823486,4.9628448486328125,6.267200469970703,16,1,11.188811302185059
1340,55,1,0,13,10,1400.0,131,2900.0,7.200424671173096,7.244227409362793,7.972465991973877,169,100,9.357142448425293
1749,57,1,1,26,11,8100.0,40,10000.0,7.466799259185791,8.999619483947754,9.21034049987793,676,121,0.4938271641731262
491,43,1,1,21,2,561.0,54,521.0,6.196444034576416,6.329720973968506,6.2557501792907715,441,4,9.6256685256958
5299,64,1,0,42,13,2400.0,119,1500.0,8.575273513793945,7.783224105834961,7.313220500946045,1764,169,4.958333492279053
431,58,1,1,33,3,815.0,36,550.0,6.066108226776123,6.703187942504883,6.309918403625488,1089,9,4.417177677154541
729,50,1,1,15,3,2000.0,182,2600.0,6.591673851013184,7.600902557373047,7.863266944885254,225,9,9.100000381469727
1284,54,1,1,32,3,12300.0,1300,19600.0,7.157735347747803,9.417354583740234,9.883284568786621,1024,9,10.569106101989746
1373,57,1,0,36,8,14300.0,1600,23600.0,7.224753379821777,9.568015098571777,10.069002151489258,1296,64,11.188811302185059
989,40,1,0,18,5,439.0,30,582.0,6.896694183349609,6.084499359130859,6.3664703369140625,324,25,6.833713054656982
515,52,1,1,27,1,1100.0,51,889.0,6.244166851043701,7.003065586090088,6.790097236633301,729,1,4.636363506317139
1301,50,1,1,19,15,1800.0,130,1600.0,7.170888423919678,7.495542049407959,7.377758979797363,361,225,7.222222328186035
834,58,1,0,35,1,4400.0,63,890.0,6.72623348236084,8.389359474182129,6.791221618652344,1225,1,1.4318181276321411
849,46,1,1,24,24,538.0,36,473.0,6.744059085845947,6.287858486175537,6.159095287322998,576,576,6.6914496421813965
100,61,1,1,26,26,2700.0,394,10100.0,4.605170249938965,7.901007175445557,9.220291137695312,676,676,14.592592239379883
679,62,1,0,40,6,4900.0,-463,1400.0,6.520621299743652,8.496990203857422,7.244227409362793,1600,36,-9.448979377746582
567,56,1,0,31,10,597.0,65,1700.0,6.340359210968018,6.3919172286987305,7.43838357925415,961,100,10.887772560119629
559,54,1,0,22,2,2100.0,13,686.0,6.3261494636535645,7.649692535400391,6.530877590179443,484,4,0.6190476417541504
704,52,1,1,6,6,50.0,8,903.0,6.556778430938721,3.9120230674743652,6.805722713470459,36,36,16.0
308,45,1,1,14,14,210.0,39,1900.0,5.730099678039551,5.347107410430908,7.549609184265137,196,196,18.571428298950195
1392,48,1,1,6,6,4800.0,51,1100.0,7.238496780395508,8.476370811462402,7.003065586090088,36,36,1.0625
389,55,1,0,29,4,478.0,38,420.0,5.963579177856445,6.169610500335693,6.040254592895508,841,16,7.949790954589844
790,69,1,0,45,37,1200.0,140,3200.0,6.672032833099365,7.090076923370361,8.070905685424805,2025,1369,11.666666984558105
396,80,1,0,58,28,513.0,53,963.0,5.981414318084717,6.240275859832764,6.870053291320801,3364,784,10.33138370513916
398,54,1,0,4,4,633.0,69,1800.0,5.986452102661133,6.450470447540283,7.495542049407959,16,16,10.900473594665527
707,46,1,1,6,1,130.0,26,1200.0,6.561030864715576,4.867534637451172,7.090076923370361,36,1,20.0
984,60,1,0,7,4,1500.0,135,1700.0,6.891625881195068,7.313220500946045,7.43838357925415,49,16,9.0
410,55,1,0,36,20,501.0,34,590.0,6.016157150268555,6.216606140136719,6.380122661590576,1296,400,6.786427021026611
1095,60,1,1,33,5,27600.0,1400,17100.0,6.998509407043457,10.225570678710938,9.746833801269531,1089,25,5.0724639892578125
694,61,1,1,35,19,4200.0,75,1000.0,6.542471885681152,8.342840194702148,6.907755374908447,1225,361,1.7857142686843872
834,61,1,1,32,0,7600.0,364,5300.0,6.72623348236084,8.935903549194336,8.575462341308594,1024,0,4.789473533630371
1630,39,1,1,8,8,227.0,27,822.0,7.396335124969482,5.424950122833252,6.711740493774414,64,64,11.894272804260254
493,55,1,1,4,1,1300.0,80,834.0,6.200509071350098,7.170119762420654,6.72623348236084,16,1,6.153846263885498
625,57,0,0,36,9,1400.0,87,979.0,6.437751770019531,7.244227409362793,6.886531829833984,1296,81,6.214285850524902
483,52,1,1,18,14,1000.0,35,548.0,6.18001651763916,6.907755374908447,6.306275367736816,324,196,3.5
733,60,1,0,8,8,347.0,18,778.0,6.5971455574035645,5.849324703216553,6.656726360321045,64,64,5.187319755554199
2102,67,1,1,41,20,10300.0,1700,45400.0,7.650644779205322,9.239899635314941,10.723267555236816,1681,400,16.504854202270508
853,58,1,0,34,34,818.0,33,411.0,6.748759746551514,6.706862449645996,6.0185933113098145,1156,1156,4.034229755401611
345,54,1,1,33,0,994.0,56,781.0,5.8435444831848145,6.901737213134766,6.660574913024902,1089,0,5.633802890777588
800,57,1,1,12,9,1800.0,32,479.0,6.684611797332764,7.495542049407959,6.171700477600098,144,81,1.7777777910232544
764,55,1,1,31,16,1100.0,145,2100.0,6.638567924499512,7.003065586090088,7.649692535400391,961,256,13.181818008422852
806,59,1,1,3,3,3000.0,257,3900.0,6.692083835601807,8.006367683410645,8.268732070922852,9,9,8.566666603088379
310,40,1,0,18,1,2400.0,60,1300.0,5.736572265625,7.783224105834961,7.170119762420654,324,1,2.5
1119,61,1,0,34,9,2500.0,71,1200.0,7.020190715789795,7.8240461349487305,7.090076923370361,1156,81,2.8399999141693115
1287,59,1,1,4,3,4700.0,222,2700.0,7.160068988800049,8.455317497253418,7.901007175445557,16,9,4.723404407501221
1170,57,1,1,9,3,1900.0,208,5600.0,7.064759254455566,7.549609184265137,8.630521774291992,81,9,10.947368621826172
880,62,1,0,36,12,5300.0,229,4000.0,6.779922008514404,8.575462341308594,8.294049263000488,1296,144,4.320754528045654
1091,33,1,0,9,9,181.0,36,1300.0,6.994850158691406,5.1984968185424805,7.170119762420654,81,81,19.889503479003906
1100,65,1,0,18,6,563.0,-271,544.0,7.003065586090088,6.333279609680176,6.298949241638184,324,36,-48.13499069213867
650,53,1,1,5,4,1482.0,40,557.0,6.476972579956055,7.301147937774658,6.322565078735352,25,16,2.6990554332733154
607,38,1,1,7,3,231.0,38,599.0,6.408528804779053,5.442417621612549,6.395261764526367,49,9,16.45021629333496
1133,63,1,0,9,9,870.0,37,686.0,7.032624244689941,6.768493175506592,6.530877590179443,81,81,4.252873420715332
393,58,1,1,36,6,285.0,40,956.0,5.973809719085693,5.652489185333252,6.862757682800293,1296,36,14.035087585449219
605,53,1,0,16,4,422.0,30,505.0,6.405228614807129,6.0450053215026855,6.224558353424072,256,16,7.109004974365234
1444,59,1,1,2,2,6204.0,401,10700.0,7.275172233581543,8.732949256896973,9.277998924255371,4,4,6.463572025299072
1033,62,1,1,30,1,5400.0,478,7300.0,6.940222263336182,8.594154357910156,8.8956298828125,900,1,8.851851463317871
1142,50,1,1,11,3,2600.0,166,2200.0,7.040536403656006,7.863266944885254,7.6962127685546875,121,9,6.384615421295166
537,46,1,1,20,20,1200.0,17,669.0,6.2859978675842285,7.090076923370361,6.505784034729004,400,400,1.4166666269302368
693,42,1,0,17,12,1400.0,206,3000.0,6.541029930114746,7.244227409362793,8.006367683410645,289,144,14.714285850524902
439,57,1,1,26,12,2600.0,280,3800.0,6.084499359130859,7.863266944885254,8.242755889892578,676,144,10.769230842590332
358,64,1,0,43,11,584.0,45,423.0,5.880533218383789,6.369901180267334,6.047372341156006,1849,121,7.705479621887207
1276,64,1,0,41,17,635.0,52,1300.0,7.151485443115234,6.453625202178955,7.170119762420654,1681,289,8.188976287841797
873,41,1,1,2,2,149.0,21,567.0,6.77193546295166,5.003946304321289,6.340359210968018,4,4,14.09395980834961
537,57,1,1,35,1,11400.0,210,4800.0,6.2859978675842285,9.341368675231934,8.476370811462402,1225,1,1.8421052694320679
713,57,1,1,12,2,1600.0,55,1300.0,6.569481372833252,7.377758979797363,7.170119762420654,144,4,3.4375
1350,68,1,1,5,5,3300.0,92,2100.0,7.207859992980957,8.101677894592285,7.649692535400391,25,25,2.7878787517547607
1268,47,1,0,20,4,1100.0,47,2500.0,7.145195960998535,7.003065586090088,7.8240461349487305,400,16,4.2727274894714355
465,64,1,1,31,3,2400.0,326,2400.0,6.142037391662598,7.783224105834961,7.783224105834961,961,9,13.583333015441895
693,46,1,1,7,3,2200.0,44,533.0,6.541029930114746,7.6962127685546875,6.278521537780762,49,9,2.0
369,49,1,1,4,1,65.0,-132,1200.0,5.910796642303467,4.174387454986572,7.090076923370361,16,1,-203.07691955566406
381,54,1,0,30,2,2700.0,386,4500.0,5.9427995681762695,7.901007175445557,8.411832809448242,900,4,14.296296119689941
467,49,1,1,13,0,513.0,49,534.0,6.146329402923584,6.240275859832764,6.280395984649658,169,0,9.551656723022461
559,57,1,1,34,16,605.0,56,653.0,6.3261494636535645,6.405228614807129,6.481576919555664,1156,256,9.256197929382324
218,57,1,1,33,5,504.0,41,421.0,5.384495258331299,6.222576141357422,6.042633056640625,1089,25,8.134921073913574
264,63,1,0,42,3,334.0,43,480.0,5.575949192047119,5.811141014099121,6.173786163330078,1764,9,12.874251365661621
185,58,1,0,39,1,766.0,49,560.0,5.220355987548828,6.641181945800781,6.32793664932251,1521,1,6.396866798400879
387,71,1,1,32,13,432.0,28,477.0,5.9584245681762695,6.06842565536499,6.167516708374023,1024,169,6.481481552124023
2220,63,1,1,18,18,277.0,-80,540.0,7.705262660980225,5.624017715454102,6.291569232940674,324,324,-28.88086700439453
445,69,1,0,23,0,249.0,31,828.0,6.098074436187744,5.517452716827393,6.719013214111328,529,0,12.449799537658691
